NQUEST,NORD,INTPER,NATTIVITA,PARTIME,CONTRATT,TUTTANNO,MESILAV,ATTEST,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,YLNMC,CONTAZ2_1,CONTAZ2_2,AMMCONTAZ_1,AMMCONTAZ_1_1,AMMCONTAZ_2,AMMCONTAZ_2_1
5416,2,1,1,1,1,1,,1,2,35,2,,9000,2,,,2,2,,,,
5416,3,1,1,2,1,1,,1,1,20,2,,8000,2,,,2,2,,,,
20297,2,1,1,1,1,1,,1,4,48,2,,19200,2,,,2,2,,,,
22173,2,1,1,1,1,1,,1,1,30,2,,15600,2,,,2,2,,,,
22624,1,1,1,1,1,1,,1,3,40,2,,14000,2,,,2,2,,,,
22624,4,2,1,1,1,1,,1,1,42,2,,14200,2,,,2,2,,,,
23797,1,1,1,1,1,1,,1,1,48,2,,18200,2,,,2,2,,,,
23823,2,1,1,1,1,1,,1,1,44,2,,15000,2,,,2,2,,,,
24853,2,1,1,1,1,1,,1,8,24,2,,19000,2,,,2,2,,,,
27238,2,1,1,1,1,1,,1,1,32,2,,12000,2,,,2,2,,,,
27730,3,2,1,2,2,1,,1,1,20,2,,11000,2,,,2,2,,,,
29680,1,1,1,1,1,1,,1,1,44,2,,14500,2,,,2,2,,,,
31625,1,1,1,1,1,1,,1,4,48,2,,25000,1,1400,,2,2,,,,
31695,1,1,1,1,1,1,,1,6,49,1,9,27100,1,1270,"Buono pasto 1,5¤ al giorno",2,2,,,,
31860,1,1,1,1,1,1,,1,8,36,2,,21000,2,,,2,2,,,,
31860,2,1,1,1,1,1,,1,8,20,2,,22000,2,,,2,2,,,,
32320,1,1,1,1,1,1,,1,8,50,2,,30000,2,,,2,2,,,,
32320,2,1,1,1,1,1,,1,6,40,2,,36000,2,,,2,2,,,,
32734,1,1,1,1,1,1,,1,2,40,2,,23000,2,,,2,2,,,,
32822,1,1,1,1,1,1,,1,8,45,1,3,17000,2,,,2,2,,,,
33036,3,1,1,1,1,1,,1,6,42,2,,13500,2,,,2,2,,,,
33038,1,1,1,1,1,1,,1,8,36,2,,19000,2,,,2,2,,,,
33335,1,1,1,1,1,1,,1,8,36,2,,19200,2,,,2,2,,,,
34778,1,1,1,1,1,1,,1,1,40,2,,19000,2,,,2,2,,,,
35022,2,1,1,1,2,1,,1,2,40,2,,16000,2,,,2,2,,,,
36130,2,1,1,1,1,1,,1,4,40,2,,18200,1,200,,2,2,,,,
36186,1,1,1,1,2,2,11,1,1,20,2,,6000,2,,,2,2,,,,
36250,1,1,1,1,1,1,,1,8,36,1,15,15000,2,,,2,1,,,300,
37299,1,1,1,1,1,1,,1,1,36,2,,14000,2,,,2,2,,,,
38095,1,1,1,1,1,1,,1,5,40,2,,19000,2,,,2,2,,,,
38316,1,1,1,1,1,1,,1,2,60,2,,70000,2,,,1,1,,1,,1
39056,2,1,1,1,1,1,,1,8,40,2,,18000,2,,,2,2,,,,
39317,2,1,1,1,1,1,,1,5,35,2,,20000,2,,,2,2,,,,
39317,3,1,1,1,1,1,,1,5,45,2,,25000,2,,,2,2,,,,
50231,2,1,1,1,2,2,8,1,2,28,2,,12000,2,,,2,2,,,,
50231,3,1,1,1,1,1,,1,1,38,2,,15000,2,,,2,2,,,,
53234,3,1,1,1,2,1,,1,5,40,2,,15000,2,,,2,2,,,,
53552,1,1,1,1,1,2,2,1,2,20,2,,2000,2,,,2,2,,,,
55636,1,1,1,1,1,2,8,1,8,18,2,,16000,2,,,2,2,,,,
55636,3,1,1,1,1,1,,1,7,40,2,,21000,2,,,2,2,,,,
55774,3,1,1,1,1,1,,1,1,40,2,,17000,2,,,2,2,,,,
56603,2,1,1,1,1,1,,1,2,40,2,,15000,2,,,2,2,,,,
56761,3,3,1,1,1,1,,1,5,18,1,1,21000,2,,,2,2,,,,
57779,3,1,1,1,1,1,,1,8,40,2,,13000,2,,,2,2,,,,
60078,3,1,1,1,1,1,,1,2,40,2,,14400,2,,,2,2,,,,
91071,1,1,1,1,1,1,,1,5,40,2,,22000,2,,,2,2,,,,
91071,2,2,1,1,1,1,,1,7,40,2,,25000,2,,,2,2,,,,
91071,3,2,1,2,2,1,,1,2,25,2,,9500,2,,,2,2,,,,
91071,4,2,1,1,2,1,,1,4,40,2,,10600,2,,,2,2,,,,
91079,1,1,1,1,1,1,,1,8,36,2,,16000,2,,,2,2,,,,
91079,2,1,1,1,1,1,,1,8,36,2,,13000,2,,,2,2,,,,
91081,1,1,1,1,1,1,,1,1,25,2,,13650,2,,,2,2,,,,
91081,2,2,1,1,2,1,,1,8,18,2,,19500,2,,,2,2,,,,
91081,3,1,1,1,2,1,,1,2,36,2,,15000,2,,,2,2,,,,
91095,1,1,1,1,1,2,3,1,7,40,1,4,7500,2,,,2,2,,,,
500176,3,1,1,2,2,3,,1,3,25,2,,500,2,,,2,2,,,,
500176,3,1,2,2,2,3,,1,4,10,2,,300,2,,,2,2,,,,
500669,2,1,1,2,1,2,10,1,7,22,1,0,9000,2,,,2,2,,,,
502355,1,1,1,1,1,2,10,1,4,40,1,1,13000,2,,,2,2,,,,
503560,2,1,1,2,1,1,,1,2,20,2,,10000,2,,,2,2,,,,
504453,1,1,1,1,1,1,,1,3,40,2,,24700,1,2000,,2,2,,,,
504453,2,1,1,1,1,1,,1,5,40,1,1,22400,2,,,2,2,,,,
504730,3,1,1,1,1,1,,1,4,50,2,,30000,2,,,2,2,,,,
504921,1,1,1,1,1,1,,1,3,36,2,,20000,2,,,2,2,,,,
504921,2,1,1,1,1,1,,1,4,40,2,,25000,2,,,2,2,,,,
505606,2,1,1,1,1,1,,1,1,35,2,,14000,2,,,2,2,,,,
505818,3,1,1,1,1,1,,1,4,40,2,,17000,2,,,2,2,,,,
