NQUEST,NORD,INTPER,NATTIVITA,SOLOATT,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,TIT1,TUTTANNO1,MESILAV1,ORETOT1,TIT2,TUTTANNO2,MESILAV2,ORETOT2,TIT3,TUTTANNO3,MESILAV3,ORETOT3,TIT4,TUTTANNO4,MESILAV4,ORETOT4,TIT5,TUTTANNO5,MESILAV5,ORETOT5,TIT6,TUTTANNO6,MESILAV6,ORETOT6,TIT7,TUTTANNO7,MESILAV7,ORETOT7,TIT8,TUTTANNO8,MESILAV8,ORETOT8,TIT9,TUTTANNO9,MESILAV9,ORETOT9,TIT10,TUTTANNO10,MESILAV10,ORETOT10,TIT11,TUTTANNO11,MESILAV11,ORETOT11,TIT12,TUTTANNO12,MESILAV12,ORETOT12,NUMADD,NUMDIP,FORGIU2,QUOPRO,ETAIMPRESA,FATLOR,YM,DEBATT1,NDEBATT1,DEBATT2,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,TFR,IMMOB,VALAZ,YM2,PARTECIP
22099,1,1,1,1,,,,,,,,,,,,,1,1,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,,40,20000,12000,2,,2,,2,,2,,,1,30000,,
31093,1,1,1,1,,,,,,,,,,,,,1,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,3,80000,40000,2,,2,,2,,2,,5000,2,140000,,
32729,1,1,1,1,,,,,,,,,,,,,1,2,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,42,70000,30000,2,,2,,2,,1,18000,,2,15000,,
33335,2,2,1,1,,,,,,,,,,,,,,,,,1,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,11,7000,4000,2,,2,,2,,2,,,1,40000,,
38316,2,1,1,1,,,,,,,,,,,,,,,,,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,100,38,36000,25000,2,,2,,2,,2,,,1,200000,,
38939,1,1,1,1,,,,,,,,,,,,,1,1,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,29,20000,16000,2,,2,,2,,1,5000,,2,0,,
39086,1,1,1,1,,,,,,,,,,,,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,100,66,0,0,2,,2,,2,,2,,,2,0,,
39227,1,1,1,1,,,,,,,,,,,,,1,1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,30,25000,15000,2,,2,,2,,2,,3000,2,150000,,
39317,1,1,1,1,,,,,,,,,,,,,1,1,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,,17,35000,9000,2,,2,,2,,2,,,1,50000,,
39318,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,50,3,1,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,7,27000,20000,2,,2,,2,,2,,,2,15000,,
