NQUEST,NORD,INTPER,NATTIVITA,TUTTANNO,MESILAV,ORETOT,DOVELAV,ORARIO,FATLOR,YM,YM2
38885,2,2,1,1,,48,1,,,,6000
675265,3,1,1,3,,20,2,3,5000,4000,
686717,2,1,1,3,,2,3,3,2000,1000,
724543,3,1,1,3,,20,1,1,12000,10000,
732013,3,1,1,2,6,25,3,3,2640,2640,
732013,4,1,1,2,6,25,3,3,2640,2640,
803483,1,1,1,3,,4,1,1,2200,1800,
806560,1,1,1,2,8,30,1,1,15000,12000,
806560,1,1,2,1,,2,2,2,4800,3840,
806560,1,1,3,3,,2,2,2,870,700,
814532,1,1,1,1,,12,1,,,,30000
817967,2,1,1,1,,6,2,2,6000,5800,
872633,1,1,1,1,,30,1,1,11000,9000,
874756,1,1,1,3,,5,1,1,5000,3100,
874756,1,1,2,3,,10,1,1,1500,1000,
874961,3,1,1,1,,10,2,2,2000,1000,
879275,1,1,1,1,,20,1,1,22000,20000,
881642,2,1,1,1,,50,2,1,12000,9000,
888455,1,1,1,1,,15,2,,,,50000
896404,1,1,1,3,,8,2,2,1800,1500,
902673,1,2,1,3,,30,1,1,4000,3500,
905220,2,1,1,1,,30,2,,,,13000
910714,1,1,1,3,,30,1,1,625,500,
911164,1,1,1,3,,40,3,3,1900,1500,
911580,1,1,1,1,,40,1,,,,47000
912721,1,1,1,3,,4,2,2,5000,4800,
919492,1,1,1,1,,10,2,2,5000,5000,
919686,1,1,1,1,,4,1,,,,11000
919686,1,1,2,1,,4,3,3,7500,3500,
919686,1,1,3,1,,1,3,1,1000,500,
920353,1,1,1,3,,15,1,1,4000,3500,
920353,2,1,1,3,,30,2,2,4000,4000,
922651,2,1,1,3,,20,2,2,6000,3500,
924793,3,2,1,2,5,25,2,2,2200,2200,
925579,1,1,1,1,,35,1,1,8000,7000,
927704,2,1,1,1,,30,2,2,22000,16000,
928342,1,1,1,3,,5,2,2,400,200,
930201,2,1,1,3,,10,1,2,4800,2400,
930452,2,3,1,1,,50,3,3,18000,12000,
