NQUEST,NORD,INTPER,NATTIVITA,TIPOPEN,ENTEPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
173,1,1,1,1,1,2008,1800,13,2,,80
2886,1,1,1,1,1,2010,1210,13,2,,85
2886,2,1,1,1,1,2016,2200,13,2,,100
3717,1,1,1,2,1,2022,470,13,2,,
5416,1,1,1,1,1,2020,800,13,2,,70
7886,1,1,1,1,1,2008,2000,13,2,,80
20297,1,1,1,5,1,2013,1200,13,2,,
20711,2,1,1,1,1,1996,2060,13,2,,90
22169,1,1,1,1,1,2001,640,13,2,,60
22173,1,1,1,1,1,1996,1000,13,2,,60
22286,1,2,1,1,1,1990,850,13,2,,60
22286,2,2,1,1,1,2007,650,13,2,,60
22657,1,2,1,1,1,2006,1000,13,2,,80
22657,2,2,1,1,1,2018,1700,13,2,,80
23490,1,1,1,1,1,1996,1350,13,2,,90
23821,2,1,1,3,1,2000,680,13,2,,
23823,1,1,1,3,1,2006,500,13,2,,
24147,1,1,1,1,1,2006,1740,13,2,,80
24147,2,1,1,1,1,2018,1200,13,2,,75
24853,1,1,1,1,1,2011,2280,13,2,,105
27238,1,1,1,1,1,2012,1100,13,2,,100
27730,1,1,1,1,1,1996,1500,13,2,,99
27734,1,2,1,1,1,2003,1248,13,2,,100
27739,1,1,1,3,1,1990,360,13,2,,
27742,1,1,1,3,1,2012,640,14,2,,
27912,1,1,1,1,1,2012,1600,13,2,,95
27912,2,1,1,1,1,2018,840,13,2,,70
27923,1,1,1,1,1,2010,1600,13,2,,70
28992,1,1,1,3,1,2020,1600,13,2,,
29140,1,1,1,1,1,2009,1300,13,2,,100
29140,2,1,1,1,1,2011,1100,13,2,,100
29678,1,1,1,1,1,2000,900,13,2,,80
29737,1,1,1,1,1,2017,2500,13,2,,90
29737,2,2,1,1,1,2016,1900,13,2,,90
31220,1,1,1,1,1,1998,1200,13,2,,20
31652,1,1,1,1,1,1994,2000,13,2,,100
31652,2,1,1,1,1,1993,1350,13,2,,80
31757,1,1,1,3,1,1988,860,13,2,,
32471,1,1,1,1,1,2005,530,13,2,,80
32471,1,1,2,3,1,1987,170,13,2,,
32524,1,1,1,1,1,1987,2123,13,2,,66
32524,1,1,2,1,2,1988,466,13,2,,20
32524,2,1,1,1,1,2005,1950,13,2,,75
32524,2,1,2,1,2,2005,108,13,2,,5
32556,1,1,1,1,1,2006,1200,13,2,,80
32556,1,1,2,3,1,1994,200,13,2,,
32765,1,1,1,1,1,2020,1550,13,2,,70
32765,2,2,1,1,1,2020,2000,13,2,,70
32772,1,2,1,1,1,2002,1750,13,2,,80
32839,1,1,1,1,1,2000,1600,13,2,,90
32861,1,1,1,1,1,1996,1500,13,2,,100
32861,2,2,1,1,1,2010,1100,13,2,,90
33036,1,1,1,1,1,2000,850,13,2,,80
33303,1,1,1,1,1,2004,1440,13,2,,75
33303,2,1,1,1,1,1995,1000,13,2,,80
33335,2,2,1,1,1,2017,950,13,2,,80
33451,1,1,1,1,1,2016,1800,13,2,,80
33479,1,1,1,1,1,1995,1700,13,2,,80
33479,2,1,1,1,1,2001,1000,13,2,,80
33839,1,1,1,3,1,2007,550,13,2,,
33882,1,1,1,1,1,2010,1250,13,2,,70
34252,1,1,1,3,1,2018,900,13,2,,
34252,2,1,1,1,1,2007,110,13,2,,60
34778,2,1,1,3,1,2007,620,12,2,,
34825,1,1,1,1,1,2014,2000,13,2,,100
34825,2,1,1,1,1,2017,1550,13,2,,100
35234,1,1,1,1,1,1997,1500,13,2,,90
35234,2,1,1,1,3,2001,150,12,2,,80
35322,1,1,1,3,1,2002,570,13,2,,
35323,1,1,1,1,1,2001,900,12,2,,80
35323,2,2,1,2,1,2000,250,12,2,,
35340,1,1,1,3,1,2009,600,13,2,,
35372,1,1,1,5,1,2010,375,13,2,,
35372,2,2,1,1,1,2017,1450,13,2,,95
35372,3,1,1,5,1,1994,360,13,2,,
35372,3,1,2,5,1,1995,750,12,2,,
35640,1,1,1,1,1,2000,1450,13,2,,90
35640,2,2,1,1,1,1991,1250,13,2,,80
