NQUEST,NORD,INTPER,CASD,CIGRED,CIGORE,CIGMESI,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
35322,1,,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
35323,1,2,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
35372,3,1,,,,,,,,,,,,1,800,2,,2,,,,,,,,,,,,,
52736,1,,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
91079,3,1,,,,,,,,,,,,,,,,,,1,2000,2,,2,,2,,2,,2,
500669,2,1,2,,,,,1,1400,2,,2,,,,,,,,,,,,,,,,,,,
504363,1,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
507282,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
507282,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
507282,5,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
512784,5,1,,,,,,,,,,,,,,,,,,1,600,2,,2,,2,,2,,2,
611412,3,1,,,,,,,,,,,,,,,,,,1,15000,2,,2,,2,,2,,2,
611412,4,1,,,,,,,,,,,,,,,,,,1,3000,2,,2,,2,,2,,2,
631016,1,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
635112,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,12000
635112,3,1,2,,,,,2,,1,511,2,,,,,,,,,,,,,,,,,,,
636289,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,5400
636289,2,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,1500
637701,2,1,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
639013,2,1,,,,,,,,,,,,,,,,,,1,2200,2,,1,500,2,,2,,2,
639971,1,1,2,,,,,2,,1,6800,2,,,,,,,,,,,,,,,,,,,
649054,1,2,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
676844,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,1,130000,2,
676844,2,2,,,,,,,,,,,,2,,1,500,2,,2,,2,,2,,2,,1,120000,2,
676844,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,1,120000,2,
678132,1,,,,,,,,,,,,,,,,,,,2,,1,1200,2,,2,,2,,2,
680143,1,,,,,,,,,,,,,1,7000,2,,2,,,,,,,,,,,,,
680587,1,1,,,,,,,,,,,,1,4800,2,,2,,,,,,,,,,,,,
682360,1,,,,,,,,,,,,,1,6500,2,,2,,,,,,,,,,,,,
682408,3,1,,,,,,,,,,,,1,4000,2,,2,,2,,2,,1,500,2,,2,,2,
682496,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
682737,3,1,,,,,,,,,,,,1,6400,2,,2,,,,,,,,,,,,,
683248,3,1,,,,,,,,,,,,,,,,,,1,2500,2,,2,,2,,2,,2,
684671,1,1,2,,,,,2,,1,4800,2,,,,,,,,,,,,,,,,,,,
685297,2,1,,,,,,,,,,,,1,6500,2,,2,,,,,,,,,,,,,
685905,3,1,,,,,,,,,,,,,,,,,,1,3000,2,,2,,2,,2,,2,
705116,1,1,,,,,,,,,,,,1,2530,2,,2,,,,,,,,,,,,,
706224,3,1,2,,,,,2,,1,400,2,,,,,,,,,,,,,,,,,,,
706234,2,2,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
711014,2,1,,,,,,,,,,,,1,6100,2,,2,,,,,,,,,,,,,
714734,1,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
717669,1,1,1,1,160,3,,2,,2,,2,,,,,,,,,,,,,,,,,,,
719840,4,1,,,,,,,,,,,,1,1680,2,,2,,,,,,,,,,,,,
720117,1,1,,,,,,,,,,,,1,30000,2,,2,,,,,,,,,,,,,
720117,2,1,,,,,,,,,,,,1,8000,2,,2,,,,,,,,,,,,,
723207,1,1,2,,,,,2,,1,5200,2,,,,,,,,,,,,,,,,,,,
723207,2,1,2,,,,,2,,1,6500,2,,,,,,,,,,,,,,,,,,,
724213,1,,1,1,48,12,,2,,2,,2,,,,,,,,,,,,,,,,,,,
724523,1,,,,,,,,,,,,,2,,1,200,1,300,2,,2,,1,200,2,,2,,2,
726906,1,1,,,,,,,,,,,,1,8000,2,,2,,,,,,,,,,,,,
732013,1,1,1,1,32,2,,2,,2,,2,,,,2,,2,,,,,,,,,,,,,
735005,1,,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
735401,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
735401,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
735621,4,1,,,,,,,,,,,,,,,,,,1,1500,2,,2,,2,,2,,2,
736917,1,1,,,,,,,,,,,,1,1800,2,,2,,,,,,,,,,,,,
736957,1,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
800884,1,,,,,,,,,,,,,1,500,2,,1,300,,,,,,,,,,,,
802349,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
810855,1,,,,,,,,,,,,,1,8000,2,,2,,,,,,,,,,,,,
817180,3,1,,,,,,,,,,,,1,6200,2,,2,,,,,,,,,,,,,
827146,1,,,,,,,,,,,,,1,6500,2,,2,,,,,,,,,,,,,
827188,4,1,2,,,,,2,,1,600,2,,,,,,,,,,,,,,,,,,,
852070,1,1,1,2,,,1500,2,,2,,2,,,,,,,,,,,,,,,,,,,
854346,3,1,,,,,,,,,,,,1,1400,2,,2,,,,,,,,,,,,,
855111,3,2,,,,,,,,,,,,,,,,,,1,11000,2,,2,,2,,2,,2,
855135,2,1,2,,,,,2,,1,1800,2,,,,,,,,,,,,,,,,,,,
859573,3,1,2,,,,,2,,1,800,2,,,,,,,,,,,,,,,,,,,
859920,2,1,,,,,,,,,,,,2,,1,2400,2,,,,,,,,,,,,,
860799,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,50000
862416,1,,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
862466,1,1,,,,,,,,,,,,2,,1,2000,2,,,,,,,,,,,,,
863308,1,,,,,,,,,,,,,1,4000,2,,2,,,,,,,,,,,,,
864754,2,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
865481,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,200,2,,2,
865481,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,200,2,,2,
868093,3,1,,,,,,,,,,,,,,,,,,1,480,2,,2,,2,,2,,2,
868098,1,,,,,,,,,,,,,1,550,2,,2,,,,,,,,,,,,,
871533,2,1,2,,,,,2,,2,,1,1000,,,,,,,,,,,,,,,,,,
872122,2,1,2,,,,,2,,1,300,2,,,,,,,,,,,,,,,,,,,
872166,1,,2,,,,,2,,1,9500,2,,,,,,,,,,,,,,,,,,,
872795,1,1,,,,,,,,,,,,1,7200,2,,2,,,,,,,,,,,,,
873042,1,,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
874134,1,,,,,,,,,,,,,2,,1,3000,2,,,,,,,,,,,,,
874670,2,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
875542,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,8400,2,,2,
878103,1,1,,,,,,,,,,,,1,960,2,,2,,,,,,,,,,,,,
878103,2,1,1,,,,2400,2,,2,,2,,,,,,,,,,,,,,,,,,,
878510,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
878518,1,1,2,,,,,2,,1,2400,2,,,,,,,,,,,,,,,,,,,
879229,2,1,,,,,,,,,,,,1,6144,2,,2,,,,,,,,,,,,,
879319,3,1,,,,,,,,,,,,1,360,2,,2,,,,,,,,,,,,,
880040,1,1,1,2,,,7700,2,,2,,2,,,,,,,,,,,,,,,,,,,
881817,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
882143,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3000,2,,2,
882143,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3000,2,,2,
882314,3,1,,,,,,,,,,,,1,430,2,,2,,,,,,,,,,,,,
883762,1,1,2,,,,,2,,1,1200,2,,,,,,,,,,,,,,,,,,,
885047,3,1,,,,,,,,,,,,,,,,,,1,12000,2,,2,,2,,2,,2,
886529,2,1,,,,,,,,,,,,1,8400,2,,2,,,,,,,,,,,,,
886604,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
886604,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
887859,1,,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
887863,3,1,,,,,,,,,,,,2,,1,1000,2,,,,,,,,,,,,,
888606,1,1,,,,,,,,,,,,1,1800,2,,2,,,,,,,,,,,,,
889109,1,,,,,,,,,,,,,1,3000,1,1500,2,,,,,,,,,,,,,
889192,2,1,2,,,,,2,,1,5100,2,,,,,,,,,,,,,,,,,,,
889192,3,1,,,,,,,,,,,,1,6760,2,,2,,,,,,,,,,,,,
889512,1,2,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
889738,1,1,,,,,,,,,,,,1,1790,2,,2,,,,,,,,,,,,,
889738,2,2,2,,,,,2,,1,500,1,800,,,,,,,,,,,,,,,,,,
891317,2,1,,,,,,,,,,,,1,6264,2,,2,,,,,,,,,,,,,
892684,2,1,,,,,,,,,,,,2,,1,3600,2,,,,,,,,,,,,,
892684,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
892684,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
893402,1,1,2,,,,,2,,1,12000,2,,2,,2,,2,,,,,,,,,,,,,
893971,3,1,2,,,,,2,,1,3600,2,,,,,,,,,,,,,,,,,,,
893971,4,1,2,,,,,2,,1,4200,2,,,,,,,,,,,,,,,,,,,
894447,1,1,1,1,15,3,,2,,2,,2,,,,,,,,,,,,,,,,,,,
895624,4,1,,,,,,,,,,,,2,,1,1200,2,,,,,,,,,,,,,
896608,1,,,,,,,,,,,,,,,,,,,2,,2,,1,2000,1,3000,2,,2,
896608,2,,,,,,,,,,,,,,,,,,,2,,2,,1,1200,2,,2,,2,
896608,3,,,,,,,,,,,,,,,,,,,2,,2,,1,1200,2,,2,,2,
898594,1,,,,,,,,,,,,,1,15252,2,,2,,,,,,,,,,,,,
898682,3,1,,,,,,,,,,,,,,,,,,1,2000,2,,1,3000,2,,2,,2,
901402,1,1,,,,,,,,,,,,1,1416,2,,2,,,,,,,,,,,,,
903373,1,1,,,,,,,,,,,,,,,,,,2,,1,250,2,,2,,2,,2,
903373,2,1,,,,,,,,,,,,,,,,,,2,,1,250,2,,2,,2,,2,
903735,1,1,2,,,,,2,,1,3540,2,,,,,,,,2,,1,6000,2,,2,,2,,2,
903735,2,1,,,,,,,,,,,,,,,,,,1,100,2,,2,,2,,2,,2,
904491,1,,2,,,,,2,,1,8000,2,,,,,,,,,,,,,,,,,,,
904888,1,2,,,,,,,,,,,,,,,,,,2,,2,,1,3000,2,,2,,2,
905113,2,2,2,,,,,2,,1,4000,2,,,,,,,,,,,,,,,,,,,
905122,1,2,,,,,,,,,,,,2,,1,400,2,,,,,,,,,,,,,
905122,2,2,,,,,,,,,,,,2,,1,400,2,,,,,,,,,,,,,
906538,3,1,,,,,,,,,,,,,,,,,,1,210,2,,2,,2,,2,,2,
910564,3,1,,,,,,,,,,,,,,,,,,2,,1,3200,2,,2,,2,,2,
910839,1,1,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
910933,1,,,,,,,,,,,,,2,,1,1500,1,2000,,,,,,,,,,,,
911371,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,1,1000,2,
912222,2,1,2,,,,,1,800,2,,2,,,,,,,,,,,,,,,,,,,
912555,2,1,,,,,,,,,,,,1,2250,2,,2,,,,,,,,,,,,,
912891,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,20000,2,,2,,2,
913752,3,1,,,,,,,,,,,,,,,,,,1,3720,2,,2,,2,,2,,2,
913827,1,,2,,,,,2,,1,1900,2,,,,,,,,,,,,,,,,,,,
913950,1,1,,,,,,,,,,,,2,,1,7800,2,,,,,,,,,,,,,
914715,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
914902,1,,1,1,76,12,,2,,2,,2,,,,,,,,,,,,,,,,,,,
915578,1,1,,,,,,,,,,,,1,6160,2,,2,,,,,,,,,,,,,
916149,2,1,,,,,,,,,,,,1,240,2,,2,,,,,,,,,,,,,
917152,1,1,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
917804,4,1,2,,,,,2,,1,400,1,1000,,,,,,,,,,,,,,,,,,
917844,2,1,,,,,,,,,,,,1,3360,2,,2,,,,,,,,,,,,,
917964,1,1,2,,,,,2,,1,4000,2,,,,,,,,,,,,,,,,,,,
918287,3,1,1,1,160,7,,2,,2,,2,,,,,,,,,,,,,,,,,,,
918702,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
918936,1,1,1,2,,,5000,2,,2,,2,,,,,,,,,,,,,,,,,,,
