NQUEST,nordimm,TIPOIMM,QUOPRO,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,PRO10,PRO11,PRO12,ANPOSS,SUPAB,SUPTE,SUPTM,USOIMM,VALABIT,AFFITTO,AFFCHI,AFFMESI,AFFEFF,AFFIMP,POSS1,IMMDOVE,IMMREG,IMMEST
173,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1995,70,,,2,70000,2,,,,2500,3,1,,
2886,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2012,50,,,4,40000,2,,,,2400,4,1,,
2886,2,1,100,1,1,0,0,0,0,0,0,0,0,0,0,1985,30,,,4,30000,2,,,,1200,1,1,,
2886,3,6,100,1,1,0,0,0,0,0,0,0,0,0,0,1990,19,,,2,25000,2,,,,1200,1,1,,
20711,1,7,100,0,1,0,0,0,0,0,0,0,0,0,0,,,1.5,,1,350000,2,,,,4500,3,1,,
22099,1,4,100,1,0,0,0,0,0,0,0,0,0,0,0,1990,35,,,1,50000,2,,,,700,1,1,,
24147,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0,1970,100,,,3,250000,1,1,12,4800,,1,1,,
24147,2,1,50,1,0,0,0,0,0,0,0,0,0,0,0,1970,90,,,3,210000,1,1,12,4600,,3,1,,
24147,3,4,50,1,0,0,0,0,0,0,0,0,0,0,0,1970,250,,,3,400000,1,2,12,7400,,3,1,,
24853,1,1,33,0,1,0,0,0,0,0,0,0,0,0,0,2021,120,,,2,120000,2,,,,5000,3,2,16,
24853,2,7,33,0,1,0,0,0,0,0,0,0,0,0,0,,,4,,2,5000,2,,,,100,3,2,16,
27238,1,7,100,1,0,0,0,0,0,0,0,0,0,0,0,,,1,,2,20000,2,,,,2000,3,1,,
27730,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,1995,65,,,5,120000,2,,,,500,5,1,,
27739,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1990,68,,,3,65000,1,1,12,3600,,3,1,,
27739,2,4,100,1,0,0,0,0,0,0,0,0,0,0,0,1989,60,,,3,25000,1,2,12,3800,,3,1,,
27739,3,4,100,1,0,0,0,0,0,0,0,0,0,0,0,1990,50,,,4,25000,2,,,,300,3,1,,
31220,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1988,110,,,3,120000,1,1,12,3600,,5,1,,
31220,2,3,100,1,0,0,0,0,0,0,0,0,0,0,0,1992,350,,,3,300000,1,2,12,9000,,1,1,,
31220,3,3,100,1,0,0,0,0,0,0,0,0,0,0,0,1992,350,,,3,300000,1,2,12,12000,,1,1,,
31652,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,1977,99,,,3,80000,1,1,12,1296,,3,1,,
31652,2,1,100,1,1,0,0,0,0,0,0,0,0,0,0,1994,200,,,4,40000,2,,,,1200,1,1,,
31652,3,8,33,0,1,0,0,0,0,0,0,0,0,0,0,,,,330,5,30000,2,,,,500,3,1,,
31860,1,1,50,0,1,0,0,0,0,0,0,0,0,0,0,2018,80,,,5,50000,2,,,,4000,3,1,,
32524,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,2017,90,,,4,260000,2,,,,7000,1,1,,
32524,2,1,100,1,1,0,0,0,0,0,0,0,0,0,0,1990,80,,,2,100000,2,,,,1000,1,1,,
32524,3,6,100,1,0,0,0,0,0,0,0,0,0,0,0,2012,18,,,4,25000,2,,,,960,1,1,,
32729,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,2000,180,,,5,400000,2,,,,700,5,1,,
32765,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,1980,70,,,2,150000,2,,,,400,1,1,,
32765,2,1,100,0,1,0,0,0,0,0,0,0,0,0,0,2010,160,,,2,100000,2,,,,400,1,1,,
32839,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1998,80,,,2,170000,2,,,,9000,1,1,,
32887,1,4,100,1,0,0,0,0,0,0,0,0,0,0,0,2020,250,,,3,350000,1,2,12,14000,,3,1,,
32887,2,4,100,1,0,0,0,0,0,0,0,0,0,0,0,2020,60,,,3,125000,1,2,12,6000,,1,1,,
32887,3,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2020,100,,,3,120000,1,1,12,3500,,3,1,,
33335,1,7,100,1,1,0,0,0,0,0,0,0,0,0,0,,,16,,1,150000,2,,,,5000,4,1,,
33839,1,6,100,1,0,0,0,0,0,0,0,0,0,0,0,1981,20,,,4,40000,2,,,,80,1,1,,
33937,1,4,50,1,0,0,0,0,0,0,0,0,0,0,0,1983,300,,,3,300000,1,2,10,20000,2000,5,1,,
34825,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2002,40,,,2,20000,2,,,,100,2,2,9,
34825,2,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2009,64,,,5,100000,2,,,,500,1,1,,
34825,3,7,100,0,1,0,0,0,0,0,0,0,0,0,0,,,1.75,,3,30000,1,1,12,250,,3,2,9,
35322,1,7,33,1,0,0,0,0,0,0,0,0,0,0,0,,,1,,2,15000,2,,,,330,2,1,,
36321,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,2001,80,,,2,80000,2,,,,4800,1,1,,
36333,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0,2013,60,,,3,40000,1,1,12,2100,,3,1,,
36409,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0,2007,60,,,2,50000,2,,,,50,1,1,,
36409,2,1,60,1,0,0,0,0,0,0,0,0,0,0,0,2011,60,,,5,60000,2,,,,600,3,1,,
36409,3,7,50,1,0,0,0,0,0,0,0,0,0,0,0,,,9,,5,1000,2,,,,500,1,1,,
38316,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2010,100,,,2,150000,2,,,,800,3,1,,
38885,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2021,40,,,2,20000,2,,,,1000,1,1,,
38885,2,7,100,1,0,0,0,0,0,0,0,0,0,0,0,,,,200,2,2000,2,,,,100,1,1,,
39056,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2019,80,,,5,170000,2,,,,6500,3,1,,
39086,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,1990,80,,,5,120000,2,,,,600,3,1,,
39086,2,1,33,1,0,0,0,0,0,0,0,0,0,0,0,1990,300,,,5,880000,2,,,,2000,3,1,,
39086,3,4,33,1,0,0,0,0,0,0,0,0,0,0,0,1990,65,,,3,250000,1,2,12,600,,3,1,,
39317,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1990,30,,,1,20000,2,,,,250,1,1,,
39318,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2008,92,,,3,200000,1,1,12,4930,,5,1,,
39318,2,6,100,1,0,0,0,0,0,0,0,0,0,0,0,2008,56,,,1,30000,2,,,,960,5,1,,
39318,3,3,100,1,0,0,0,0,0,0,0,0,0,0,0,2004,180,,,1,30000,2,,,,1200,5,1,,
52718,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2012,60,,,2,30000,2,,,,2400,3,1,,
52718,2,7,50,1,0,0,0,0,0,0,0,0,0,0,0,,,5,,4,4000,2,,,,100,3,1,,
53086,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,2000,300,,,5,500000,2,,,,1000,3,2,13,
53564,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1997,50,,,2,250000,2,,,,20000,3,2,5,
55147,1,3,100,0,1,0,0,0,0,0,0,0,0,0,0,1973,280,,,3,100000,1,1,12,6000,,5,1,,
56582,1,7,33,1,0,0,0,0,0,0,0,0,0,0,0,,,30,,5,500000,2,,,,10000,3,1,,
56721,1,8,100,1,1,0,0,0,0,0,0,0,0,0,0,,,,1800,2,100000,2,,,,100,1,1,,
56762,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,2008,104,,,3,90000,1,1,12,520,,3,1,,
56762,2,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1972,80,,,3,60000,1,1,12,450,,5,1,,
57138,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2010,145,,,5,110000,2,,,,6000,1,1,,
57138,2,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2003,90,,,3,110000,1,1,12,2500,,1,1,,
57138,3,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2005,180,,,4,150000,2,,,,3600,3,1,,
57621,1,8,100,1,1,0,0,0,0,0,0,0,0,0,0,,,,776,2,30000,2,,,,100,3,1,,
57621,2,7,100,1,1,0,0,0,0,0,0,0,0,0,0,,,,1500,2,30000,2,,,,1000,3,1,,
57621,3,7,100,1,1,0,0,0,0,0,0,0,0,0,0,,,,1500,2,30000,2,,,,1000,1,1,,
57779,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0,1965,90,,,4,200000,2,,,,800,3,1,,
60078,1,7,100,0,1,0,0,0,0,0,0,0,0,0,0,,,,5000,2,20000,2,,,,250,3,1,,
91071,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2021,120,,,2,80000,2,,,,2200,3,2,1,
91081,1,4,100,1,0,0,0,0,0,0,0,0,0,0,0,1991,80,,,3,110000,1,2,12,6000,,1,1,,
91095,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2022,150,,,2,200000,2,,,,300,3,1,,
91095,2,1,100,0,1,0,0,0,0,0,0,0,0,0,0,1998,70,,,3,150000,1,1,12,5500,,1,2,12,
91095,3,1,100,1,0,0,0,0,0,0,0,0,0,0,0,2022,70,,,2,150000,2,,,,4000,3,1,,
237003,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,1990,160,,,2,80000,2,,,,500,1,1,,
501082,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,2000,50,,,2,140000,2,,,,3000,3,1,,
502355,1,7,100,0,1,0,0,0,0,0,0,0,0,0,0,,,,750,2,5000,2,,,,100,3,1,,
502355,2,7,100,0,1,0,0,0,0,0,0,0,0,0,0,,,,400,2,1000,2,,,,50,3,1,,
502355,3,7,100,0,1,0,0,0,0,0,0,0,0,0,0,,,,300,2,600,2,,,,50,3,1,,
503561,1,1,100,1,1,0,0,0,0,0,0,0,0,0,0,2002,120,,,2,200000,2,,,,6000,1,1,,
503674,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,1997,75,,,2,120000,2,,,,6000,3,1,,
503931,1,1,50,1,1,0,0,0,0,0,0,0,0,0,0,1990,50,,,1,130000,2,,,,5000,1,1,,
