NQUEST,NORDEB2,QUALEIMM,DEBM2,ANMUTUOI2,MUTUODUI2,MUTUOINI2,DEBGAR2,DEBPERS2,DEBRF2,DEBREFMOT2_1,DEBREFMOT2_2,DEBREFMOT2_2C,DEBMOD2_1,DEBMOD2_2,DEBMOD2_8C,ANRIFIN2,MUTUOFIN2,TIPOTAX2,RATACON2,TAXFIS2,TAXVAR2,TMUTUOAB2,TDEBITA2,DEBCOR
20297,1,7,1,2022,10,50000,4,1,1,,,,,,,,9,1,,5,,8400,41600,
32887,1,2,1,2020,15,120000,4,1,2,,,,,,,,13,1,,2.3,,14000,98000,
633654,1,1,2,2022,6,40000,1,,2,,,,,,,,5,1,,4.5,,8280,34000,
685164,1,1,1,2017,15,80000,1,,2,,,,,,,,9,1,,2.5,,7200,60000,
814889,1,7,2,2019,10,30000,4,1,2,,,,,,,,6,1,,5,,4260,13000,
851703,1,1,1,2008,20,50000,1,,2,,,,,,,,5,1,,4.5,,3840,16000,
873048,1,7,2,2018,10,10000,1,,2,,,,,,,,6,1,,4.5,,2000,5000,
875542,1,7,1,2021,10,190000,1,,2,,,,,,,,9,1,,0.75,,11500,170000,
877285,1,1,1,2014,30,140000,4,1,1,,,,,,,,22,1,,2.15,,4000,67000,
878103,1,1,1,2004,25,35000,4,1,2,,,,,,,,4,1,,1.5,,2700,10800,
878309,1,1,1,2017,15,80000,2,,2,,,,,,,,9,1,,5,,5000,44000,
878617,1,6,1,2022,15,80000,4,1,2,,,,,,,,14,1,,1.5,,6000,74000,
886427,1,1,1,2013,15,200000,1,,1,,,,,,,,5,1,,6,,11700,25000,
886789,1,1,2,2022,10,31000,2,,2,,,,,,,,10,1,,7,,2000,25000,
888606,1,1,1,2020,10,80000,1,,2,,,,,,,,8,1,,1,,5000,75000,
897876,1,1,1,2005,20,110000,4,1,2,,,,,,,,2,3,2,1.5,1.2,5400,16200,
898191,1,1,1,2022,10,60000,1,,2,,,,,,,,9,2,2,,2.5,4000,58000,
901402,1,1,1,2020,20,145000,1,,2,,,,,,,,17,2,2,,3.5,8700,130000,
916537,1,1,1,2022,10,26000,4,1,2,,,,,,,,9,1,,4.5,,500,25500,
919352,1,7,1,2019,5,15000,4,1,2,,,,,,,,1,1,,5,,4680,8000,
