NQUEST,NORDEB3,DEBM3,ANMUTUOI3,MUTUODUI3,MUTUOINI3,DEBGAR3,DEBPERS3,DEBRF3,DEBREFMOT3_1,DEBREFMOT3_2,DEBREFMOT3_2C,DEBMOD3_1,DEBMOD3_2,DEBMOD3_8C,ANRIFIN3,TMUTUOAB3,TDEBITA3,TIPOTAX3,TAEG3,DEBCOR
20297,1,1,2022,10,5000,4,1,2,,,,,,,,480,4520,1,2,
20297,2,3,2022,10,15000,4,1,2,,,,,,,,1440,13560,1,2,
23797,1,4,2012,20,130000,4,2,2,,,,,,,,6300,65000,1,6,
23797,2,4,2014,15,50000,5,1,2,,,,,,,,3600,30000,1,6.25,
31625,1,1,2022,4,20000,1,,2,,,,,,,,5400,19000,2,2,
31860,1,1,2019,5,10000,4,1,2,,,,,,,,2600,8000,1,7,
32729,1,1,2021,5,17000,1,,2,,,,,,,,4200,12000,1,5,
32822,1,2,2018,10,20000,4,2,2,,,,,,,,3600,4000,1,5,1
33303,1,4,2019,10,40000,4,2,2,,,,,,,,3840,25000,1,5,
53373,1,1,2022,4,8000,4,1,2,,,,,,,,3200,7000,1,1.5,
53373,2,2,2022,2,800,4,1,2,,,,,,,,150,800,3,0,
56582,1,1,2020,3,7500,4,1,2,,,,,,,,2640,1100,1,5,
57670,1,1,2021,6,11000,1,,2,,,,,,,,1680,9300,2,10,
60078,1,1,2022,8,12000,4,1,2,,,,,,,,140,11000,1,0,
91071,1,1,2017,7,16000,4,1,2,,,,,,,,3120,6240,1,4,
504921,1,1,2022,4,15000,4,1,2,,,,,,,,4200,10800,1,3,
506628,1,4,2022,2,1339,4,1,2,,,,,,,,55,1284,1,8.5,
507444,1,2,2021,3,3600,4,1,2,,,,,,,,1440,1920,3,0,
507444,2,4,2017,6,15000,4,1,1,,,,,,,,3600,7000,1,3.8,
511757,1,4,2019,10,10000,4,2,2,,,,,,,,1500,7500,1,6,
512784,1,1,2015,10,11000,4,1,2,,,,,,,,2500,4000,1,11,
513406,1,1,2017,6,20000,4,1,2,,,,,,,,3240,5000,1,1,
611614,1,1,2019,7,20000,4,1,2,,,,,,,,3600,10000,1,2,
611614,2,1,2020,4,20000,4,1,2,,,,,,,,2500,15000,1,3,
611614,3,1,2022,2,3000,4,1,2,,,,,,,,1800,1500,1,3,
611614,4,2,2021,1,1200,4,1,2,,,,,,,,1200,0,1,1,
615399,1,1,2019,5,17000,4,1,2,,,,,,,,2160,6200,1,1,
623606,1,1,2021,5,10000,4,1,2,,,,,,,,3000,7000,1,5.6,
632118,1,4,2020,3,1200,4,1,2,,,,,,,,600,1000,1,9,
635112,1,2,2022,1,540,4,1,2,,,,,,,,100,0,3,0,
639013,1,4,2020,5,10000,4,1,1,,,,,,,,3500,3000,1,6,
639013,2,4,2017,5,5000,4,1,2,,,,,,,,1500,1250,1,5,
671152,1,2,2022,1,1200,4,1,2,,,,,,,,1200,120,3,0,
674239,1,1,2021,4,8800,1,,2,,,,,,,,2200,6300,1,3,
674868,1,1,2021,8,28000,4,1,2,,,,,,,,4000,20000,1,6,
676851,1,1,2013,10,15000,4,1,1,,,,,,,,4800,1500,1,3,
680244,1,1,2019,4,12000,4,1,2,,,,,,,,3240,2160,1,4,
680244,2,2,2022,4,4000,4,1,2,,,,,,,,650,3350,1,4,
680587,1,1,2020,7,21000,4,2,2,,,,,,,,3500,10000,1,5,
681499,1,2,2022,6,11000,4,1,2,,,,,,,,3000,9000,1,3,
682359,1,2,2022,1,500,4,1,2,,,,,,,,300,270,1,12,
682812,1,2,2021,2,2000,4,1,2,,,,,,,,1000,850,1,4.8,
683164,1,1,2020,5,10000,1,,2,,,,,,,,3200,7000,1,4.5,
683472,1,4,2020,4,5000,4,1,2,,,,,,,,1300,2500,1,6,
685058,1,1,2020,5,15000,1,,2,,,,,,,,3000,9000,3,2,
685297,1,1,2019,5,13000,4,1,2,,,,,,,,3480,6000,1,4,
685299,1,1,2022,4,9600,4,1,2,,,,,,,,1400,8200,1,6,
685301,1,2,2020,5,10000,4,1,2,,,,,,,,2200,6000,1,7,
685905,1,1,2022,4,8708,4,1,2,,,,,,,,724,7964,1,8,
687070,1,1,2022,7,23000,4,1,2,,,,,,,,3600,19400,1,4,
687321,1,1,2021,4,22000,4,1,2,,,,,,,,4200,9400,1,5,
687987,1,1,2019,6,9000,4,1,2,,,,,,,,1572,5425,1,4,
687987,2,2,2019,6,9000,4,1,2,,,,,,,,1572,7428,1,4,
709420,1,2,2022,1,2000,4,1,2,,,,,,,,700,1300,3,0,
715065,1,1,2019,4,15000,1,,2,,,,,,,,3600,1500,1,6,
723207,1,2,2021,3,1900,4,1,2,,,,,,,,700,500,1,8,
724899,1,1,2021,3,16800,4,1,2,,,,,,,,4200,10150,1,4,
725716,1,1,2018,5,14000,1,,2,,,,,,,,3000,4000,3,0,
725716,2,1,2020,5,14000,1,,2,,,,,,,,3000,10000,3,0,
728306,1,1,2017,6,18000,1,,2,,,,,,,,4500,2200,1,7,
732013,1,1,2015,10,25000,4,1,2,,,,,,,,3180,10000,1,6,
732013,2,2,2022,2,1500,4,1,2,,,,,,,,198,1386,3,0,
733363,1,1,2022,2,6000,4,1,2,,,,,,,,800,4200,3,2,
735143,1,1,2021,3,10000,1,,2,,,,,,,,4200,5000,1,9,
736034,1,5,2020,2,5000,4,1,2,,,,,,,,2500,2000,1,7,
736917,1,1,2019,7,16000,4,1,2,,,,,,,,4000,5000,1,1,
736917,2,1,2021,2,2000,4,1,2,,,,,,,,960,900,3,0,
736935,1,2,2017,7,50000,4,1,2,,,,,,,,7200,14000,1,1.95,
801972,1,4,2016,10,30000,4,2,2,,,,,,,,4200,16800,2,8,
