NQUEST,NORD,NATTIVITA,NORDEB4,DEBM4,ANMUTUOI4,MUTUODUI4,MUTUOINI4,DEBGAR4,DEBRF4,DEBREFMOT41,DEBREFMOT42,DEBREFMOT4_3C,DEBMOD41,DEBMOD42,DEBMOD4_8C,ANRIFIN4,MUTUOFIN4,TMUTUOAB4,TDEBITA4,TAXDEB4
56603,1,1,1,1,2016,8,25000,4,2,,,,,,,,3,4000,12000,0
500669,1,1,1,1,2020,5,22000,4,2,,,,,,,,2,5000,8000,1.6
624781,1,1,1,1,2019,4,6000,4,2,,,,,,,,1,1848,2000,6
670485,1,1,1,1,2020,10,30000,4,2,,,,,,,,7,3360,25000,3.5
671152,2,1,1,1,2020,5,15000,4,3,,,,,,,,2,3000,8000,2.5
671152,2,1,2,2,2022,,10000,4,2,,,,,,,,,4000,4000,2.5
682812,1,1,1,1,2020,5,12000,4,2,,,,,,,,4,2500,11000,5
683373,1,1,1,1,2022,7,50000,4,2,,,,,,,,6,4120,49600,2.5
684937,1,1,1,1,2018,10,10000,4,2,,,,,,,,5,2400,7000,5
806583,1,1,1,1,2020,7,30000,4,2,,,,,,,,5,1700,28000,0.5
863402,1,1,1,1,2019,6,20000,4,2,,,,,,,,2,5200,15000,1
874756,2,1,1,1,2014,10,50000,4,1,,,,,,,,4,8000,50000,11
874756,2,1,2,1,2017,10,70000,4,1,,,,,,,,6,15200,50000,4
874756,2,1,3,1,2020,8,20000,4,2,,,,,,,,5,2800,14000,4
874756,2,1,4,1,2022,2,20000,4,2,,,,,,,,1,3200,17000,4
878873,1,1,1,1,2007,16,95000,2,2,,,,,,,,1,7500,7500,2
878873,1,1,2,1,2020,7,10000,4,2,,,,,,,,5,1700,8700,1.2
879958,1,1,1,2,2020,,7000,4,2,,,,,,,,,2280,800,0
879958,1,1,2,2,2020,,3000,4,2,,,,,,,,,1200,1200,0
884440,1,1,1,1,2013,12,25000,4,2,,,,,,,,2,3700,9000,7
902915,2,1,1,1,2020,6,25000,4,2,,,,,,,,1,3264,21736,1.2
911366,2,1,1,1,2021,6,10000,4,2,,,,,,,,5,2083,7000,7.76
914962,3,1,1,2,2020,,50000,3,2,,,,,,,,,10000,40000,6
914962,3,1,2,2,2021,,15000,4,2,,,,,,,,,4000,11000,4
915234,1,1,1,2,2021,,50000,4,2,,,,,,,,,9600,10000,3.5
917025,1,1,1,1,2014,20,80000,3,2,,,,,,,,11,4600,45000,4
917025,1,1,2,2,2018,,15000,4,2,,,,,,,,,12000,3000,2.5
917162,1,1,1,1,2011,20,100000,3,2,,,,,,,,8,7200,64000,5.5
917375,2,1,1,1,2019,6,30000,4,2,,,,,,,,3,5700,20000,4
919516,2,1,1,1,2020,6,3500,4,2,,,,,,,,4,800,3000,1.5
919547,2,1,1,1,2020,10,50000,4,2,,,,,,,,7,5300,36000,4
919706,1,1,1,1,1997,20,50000,1,1,1,,,5,,,2022,3,1440,5000,2
919706,1,1,2,1,2021,10,10000,4,2,,,,,,,,8,1560,8000,7
919706,1,1,3,2,2021,,5000,4,2,,,,,,,,,1656,3500,10
919727,1,1,1,1,2020,6,3900,4,2,,,,,,,,3,600,3200,1.5
921334,5,1,1,1,2021,15,49000,3,2,,,,,,,,13,4300,46000,3.96
921334,5,1,2,2,2020,,7000,4,2,,,,,,,,,1750,3000,5
924207,1,1,1,1,2020,5,18000,4,2,,,,,,,,3,3600,15000,7
924323,1,1,1,1,2020,5,25000,4,2,,,,,,,,3,4800,15000,0
924323,1,1,2,1,2020,5,25000,4,2,,,,,,,,3,5016,15050,0.5
925204,1,1,1,1,2022,20,300000,4,1,,,,,,,,20,1500,150000,2
927183,1,1,1,2,2021,,5000,4,2,,,,,,,,,2000,1500,8
930424,1,1,1,1,2013,20,200000,1,2,,,,,,,,10,18000,110000,4
930424,2,1,1,2,2022,,5000,4,2,,,,,,,,,3000,2000,4
930424,1,1,2,1,2021,3,45000,4,2,,,,,,,,1,9000,30000,1
930424,1,1,3,1,2021,2,15000,4,1,,,,,,,,2,4000,7500,1
930586,1,1,1,1,2019,3,50000,4,2,,,,,,,,1,12000,10000,8
931049,1,1,1,1,2020,4,15000,4,2,,,,,,,,2,3600,9000,0.8
931153,1,1,1,1,2021,2,20000,4,2,,,,,,,,1,10000,5000,1.3
931209,3,1,1,1,2019,10,110000,4,2,,,,,,,,6,18000,60000,2.5
933926,1,1,1,2,2022,,300000,4,2,,,,,,,,,20000,150000,2
933934,1,1,1,1,2020,8,70000,4,2,,,,,,,,4,12000,40000,3.25
934259,1,1,1,1,2008,20,800000,2,2,,,,,,,,5,60000,260000,1.5
934524,2,1,1,2,2016,,30000,1,2,,,,,,,,,6000,15000,3.5
934524,3,1,1,1,2022,20,40000,4,2,,,,,,,,19,3000,38000,3.5
934524,2,1,2,2,2016,,10000,4,2,,,,,,,,,3000,200,7
934918,1,1,1,1,2020,6,25000,4,2,,,,,,,,4,3600,25000,1
934918,2,1,1,1,2020,6,30000,4,2,,,,,,,,4,5400,30000,1
935449,1,1,1,1,2021,10,15000,4,2,,,,,,,,8,3600,12400,1
935705,1,1,1,1,2020,4,25000,4,2,,,,,,,,2,7200,12000,3
935877,2,1,1,1,2020,5,20000,4,2,,,,,,,,2,7000,8000,3
936664,1,1,1,1,2019,5,750000,4,2,,,,,,,,3,157356,603872,1.3
936783,1,1,1,1,2020,5,25000,4,2,,,,,,,,2,5000,21000,1.5
938109,1,1,1,1,2009,15,700000,2,2,,,,,,,,3,60000,180000,1
938117,1,1,1,1,2020,6,30000,4,2,,,,,,,,4,7200,25000,4
938117,1,1,2,1,2020,6,30000,4,2,,,,,,,,4,6000,20000,1
938183,1,1,1,1,2018,7,100000,4,2,,,,,,,,4,18000,65000,3.7
938652,1,1,1,1,2021,5,50000,4,2,,,,,,,,3,16000,21000,0
939260,1,1,1,1,2019,5,55000,4,2,,,,,,,,2,12000,30000,2
939260,1,1,2,1,2020,6,25000,4,2,,,,,,,,4,2500,21400,0.9
939263,1,1,1,1,2020,7,90000,4,2,,,,,,,,5,7500,82500,1.2
942430,1,1,1,1,2009,22,250000,2,1,,,,,,,,7,13000,70000,2
942430,1,1,2,1,2021,7,30000,4,2,,,,,,,,6,1000,29500,0.5
945735,2,1,1,2,2020,,2500,4,2,,,,,,,,,1200,1300,3
945771,1,1,1,2,2021,,10000,4,2,,,,,,,,,5500,2300,6
946048,2,1,1,1,2016,25,130000,4,2,,,,,,,,19,10800,80000,3
946857,1,1,1,1,2011,20,300000,1,1,1,,,8,,Aumento dei mesi,2017,7,24000,160000,4
946857,1,1,2,1,2016,7,30000,4,2,,,,,,,,1,9600,11000,4
946857,1,1,3,1,2019,8,40000,3,2,,,,,,,,5,12000,32000,4
946857,1,1,4,1,2019,8,30000,3,2,,,,,,,,4,7200,20000,4
946857,1,1,5,1,2021,5,25000,3,2,,,,,,,,4,2800,20000,1
946989,1,1,1,1,2020,4,25000,4,2,,,,,,,,3,4500,18000,0.1
947036,1,1,1,1,2022,4,80000,4,2,,,,,,,,4,2000,78000,4.5
947799,1,1,1,1,2019,6,25000,4,2,,,,,,,,2,6000,10000,1
947813,1,1,1,1,2022,10,1000000,4,1,,,,,,,,10,10000,100000,2
947813,1,1,2,2,2022,,5000,4,1,,,,,,,,,5000,0,1
948356,1,1,1,1,2020,4,25000,4,2,,,,,,,,2,2500,22000,2
948548,2,1,1,1,2022,8,200000,4,2,,,,,,,,8,3000,200000,5
949311,1,1,1,2,2020,,25000,4,2,,,,,,,,,10000,15000,0
949425,2,1,1,1,2019,4,20000,4,2,,,,,,,,1,6900,5184,3
949425,2,1,2,1,2020,10,25000,4,2,,,,,,,,7,2500,22500,1
949711,1,1,1,1,2019,10,50000,4,2,,,,,,,,6,6000,26000,1
950079,2,1,1,1,2020,8,20000,4,2,,,,,,,,5,3000,10000,1
951236,1,1,1,1,2016,20,70000,2,2,,,,,,,,13,3600,45500,1.5
951236,1,1,2,1,2018,10,60000,4,2,,,,,,,,6,7200,43000,8
951236,1,1,3,1,2018,10,40000,4,2,,,,,,,,6,4800,28800,8
951409,3,1,1,1,2016,7,600000,1,2,,,,,,,,1,90000,400000,0
951413,1,1,1,1,2003,40,120000,1,2,,,,,,,,20,8400,80000,2
951466,2,1,1,1,2010,18,200000,2,2,,,,,,,,6,28000,110000,3
951469,1,1,1,1,2002,20,200000,2,2,,,,,,,,1,24000,30000,3
951469,1,1,2,2,2021,,30000,4,2,,,,,,,,,7000,10000,3
951473,1,1,1,1,2014,15,150000,1,2,,,,,,,,6,13000,70000,4
951473,1,1,2,1,2015,20,300000,3,2,,,,,,,,12,19000,200000,5
951473,1,1,3,1,2022,20,135000,3,2,,,,,,,,19,2000,133000,4
951473,1,1,4,1,2017,7,200000,3,2,,,,,,,,1,32000,32000,4
