NQUEST,NORDEB1,DEBM1,ANMUTUOI1,MUTUODUI1,MUTUOINI1,DEBGAR1,DEBPERS1,DEBRF1,DEBREFMOT1_1,DEBREFMOT1_2,DEBREFMOT1_2C,DEBMOD1_1,DEBMOD1_2,DEBMOD1_8C,ANRIFIN1,MUTUOFIN1,TIPOTAX1,RATACON1,TAXFIS1,TAXVAR1,SOSPENS1,SOSPEORA1,RIPPAG1,RIPPAGQUA1,TMUTUOAB1,TDEBITA1,DEBCOR
31695,1,2,2013,15,30000,3,1,1,,,,,,,,5,1,,2,,2,,,,5400,20000,
31860,1,2,2018,10,25000,3,1,2,,,,,,,,5,1,,5.9,,2,,,,3240,16000,
36409,1,1,2020,6,26000,3,2,2,,,,,,,,3,1,,2,,2,,,,5376,15000,
57138,1,1,2021,3,17000,3,1,2,,,,,,,,1,1,,7,,2,,,,6000,6500,
57670,1,2,2007,30,52000,1,,2,,,,,,,,15,1,,6,,2,,,,4080,30000,
91081,1,1,2001,22,135000,1,,2,,,,,,,,1,2,2,,3.8,2,,,,9600,10000,
503560,1,1,2015,20,85000,1,,2,,,,,,,,12,2,1,,4,2,,,,6000,56000,
505839,1,1,2019,25,110000,1,,2,,,,,,,,20,1,,2.8,,2,,,,6480,84000,
506628,1,1,2022,25,176000,1,,2,,,,,,,,24,2,1,,2.5,2,,,,4057,174000,
511757,1,2,2013,10,15000,3,2,2,,,,,,,,1,1,,5,,2,,,,3720,2500,
512452,1,1,2015,10,70000,1,,2,,,,,,,,2,1,,4,,2,,,,13200,25000,
512517,1,2,2010,15,80000,1,,2,,,,,,,,2,1,,2,,2,,,,6840,14250,
512887,1,3,2003,25,65000,1,,2,,,,,,,,5,1,,4,,2,,,,4800,28800,
615399,1,2,2012,12,30000,3,1,2,,,,,,,,2,1,,2,,2,,,,2640,4840,
635112,1,1,2001,20,80000,1,,1,3,,Ristrutturazione e rinegoziazione,4,6,,2009,5,1,,5,,2,,,,8484,43000,
671152,1,1,2005,30,150000,1,,2,,,,,,,,12,2,2,,4.5,2,,,,7200,100000,
673145,1,3,2019,20,100000,1,,2,,,,,,,,17,2,2,,3,2,,,,6600,70000,
674239,1,1,2009,20,100000,1,,1,1,,,1,3,,2012,8,2,2,,1.78,2,,,,8400,60129,
674287,1,1,2011,20,100000,1,,2,,,,,,,,9,1,,2.5,,2,,,,6000,54000,
675265,1,1,2020,20,45000,1,,2,,,,,,,,18,1,,2,,2,,,,4100,37000,
680244,1,1,2022,15,149000,1,,2,,,,,,,,14,2,2,,2,2,,,,4000,148500,
681394,1,1,2022,30,80000,3,2,2,,,,,,,,29,1,,3,,2,,,,3800,75000,1
681520,1,1,2020,20,80000,1,,2,,,,,,,,18,2,1,,5,2,,,,3800,75000,
683164,1,1,2011,25,150000,1,,1,1,,,3,,,2017,13,1,,1.5,,2,,,,6000,100000,
683349,1,1,2016,20,225000,1,,2,,,,,,,,13,2,2,,3.5,2,,,,13000,170000,1
683349,2,2,2020,20,260000,1,,1,1,,,2,5,,2022,19,1,,1,,2,,,,14000,238000,1
685058,1,1,2008,20,50000,1,,2,,,,,,,,6,1,,1.5,,2,,,,4548,27288,
687699,1,1,2015,20,120000,1,,1,1,,,1,3,,2015,10,1,,2.5,,2,,,,6500,60000,1
