NQUEST,nord,INTPER,nattivita,ASS1A,ASS1I,ASS1SI,ASS1P,ASS1S,ASS1M,ASS1V,ASS1R,ASS1K
2886,2,1,1,2019,2,,1,2400,1,2,,
27734,2,2,1,2009,1,110,2,,2,1,2,17000
31625,1,1,1,1995,1,5000,2,,1,1,2,7000
32772,2,2,1,2009,2,,1,2500,2,1,3,28000
36250,1,1,1,2020,2,,1,300,1,1,1,600
36333,1,1,1,2017,1,30000,2,,1,2,,
36443,1,1,1,2022,1,235,1,235,1,1,2,300
37521,1,1,1,2021,1,10000,2,,1,2,,
38316,1,1,1,1993,1,250,1,250,1,1,3,50000
39056,1,1,1,1990,2,,1,350,1,1,1,35000
39086,1,1,1,2013,1,25000,2,,1,1,3,30000
39227,1,1,1,2005,1,200,1,500,1,2,,
39318,1,1,1,2000,2,,1,2400,1,1,1,52000
39318,2,1,1,2000,2,,1,2400,1,1,1,52800
53564,1,1,1,2006,1,2000,1,960,1,1,3,20000
56761,3,3,1,2022,2,,1,430,1,2,,
56762,1,1,1,1980,2,,1,530,1,2,,
56762,1,1,2,1990,1,1000,2,,1,2,,
56762,1,1,3,1995,1,1000,2,,1,2,,
237003,1,1,1,2006,2,,1,3200,1,1,1,50000
237003,2,1,1,2006,2,,1,3200,1,1,1,50000
500669,1,1,1,2000,2,,1,2500,1,1,1,55000
500669,2,1,1,2010,2,,1,2000,1,1,1,24000
503674,1,1,1,2018,2,,1,297,1,1,1,14520
504395,2,2,1,1995,2,,1,1200,1,1,3,65000
505228,1,1,1,2019,2,,1,35,1,1,3,150
505818,1,1,1,2009,2,,1,3000,1,1,1,30000
506628,1,1,1,2017,2,,1,59,1,2,,
507336,2,2,1,2000,1,10000,2,,1,2,,
512963,1,1,1,2000,2,,1,0,1,2,,
512963,2,1,1,2000,2,,1,0,1,2,,
611614,2,2,1,1998,2,,1,1450,1,1,1,35000
611774,1,1,1,2000,2,,1,500,1,2,,
626259,1,1,1,2005,2,,1,800,1,2,,
633412,1,1,1,2010,1,20000,1,20000,1,2,,
634442,1,1,1,2002,1,50000,2,,1,1,1,140000
638339,1,1,1,2019,1,30000,2,,1,1,2,30000
649032,2,2,1,2009,1,60000,2,,1,2,,
671206,1,1,1,1996,2,,1,1000,1,1,1,30000
671698,2,2,1,2017,1,1800,2,,1,1,2,41500
671698,2,2,2,2017,1,150,1,22800,1,1,2,23800
671841,1,2,1,2000,1,3000,1,5000,1,1,2,50000
671841,2,2,1,2005,2,,1,1000,2,1,1,100000
672417,1,1,1,2013,2,,1,1200,1,1,3,6000
673145,1,1,1,2004,2,,1,300,1,2,,
673145,2,2,1,1990,2,,1,0,1,1,2,7000
673145,2,2,2,2005,2,,1,300,1,2,,
673451,1,1,1,1980,2,,1,700,1,1,1,250000
673451,1,1,2,1980,2,,1,700,1,1,1,200000
673451,2,1,1,1980,2,,1,300,1,1,1,50000
674239,1,1,1,2012,2,,1,1200,1,2,,
674842,1,1,1,1998,2,,1,300,1,1,3,111111
674868,2,1,1,2013,2,,1,800,1,2,,
675086,1,1,1,2019,2,,1,300,1,1,3,1000
677167,1,1,1,2012,1,15000,2,,1,1,1,16900
677167,1,1,2,2018,1,45000,2,,1,1,1,48000
678132,1,1,1,2000,2,,1,100,2,1,1,6700
680244,1,1,1,2013,2,,1,500,1,2,,
680537,1,2,1,2012,1,1000,1,1000,1,1,1,15000
680537,2,2,1,2021,2,,1,1000,1,1,1,2200
680537,3,2,1,2002,2,,1,1000,1,2,,
680537,4,2,1,2005,1,1000,2,,1,2,,
680587,1,1,1,2005,1,10000,2,,1,1,1,12500
682897,1,1,1,2022,2,,1,372,1,2,,
683164,1,1,1,2010,1,400,1,400,1,2,,
683164,2,2,1,2012,1,5000,1,650,1,2,,
