NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,SALMIN,SALMIN1,SMARTW2,SMARTWB,ETAPEN,COPPU,B16,B17A,B17B,B17C,B18,B19A,B19B,B19C,ATTIVP,ISCO,NACE,ETALAV2,NASCAREA,NASCREG,IREG,nattivita,b18b,ETA,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,pesofit,pesofit2
173,1,1,1,1,1,1948,1,,,3,5,,44,60,,1968,2,1,1,,,2,15,2,10,1,27,2,,,1,33,0,2,,,,,,,2,2,2,2,1,2,2,2,,0,,,3,18,18,,,74,5,6,3,5,1,1,0,0,1,3,4,2,4,0.2263929079,588.39426743
2886,2,1,1,1,1,1949,1,,,1,5,,37,60,,1970,2,1,1,,,2,15,2,16,1,26,2,,,1,35,0,2,,,,,,,2,2,2,2,1,2,2,2,,0,,,3,13,13,,,73,5,6,3,5,0,1,0,0,2,3,4,2,3,0.0518717882,134.81457131
2886,2,2,2,3,1,1952,1,,,1,6,3,110,110,1,2000,5,1,2,,,2,15,2,17,1,22,2,,,1,44,0,2,,,,,,,2,2,2,2,1,2,2,2,,0,,,3,13,13,,,70,5,6,3,5,1,1,0,0,2,3,4,2,3,0.0518717882,134.81457131
3717,1,1,2,1,1,1954,1,,,2,4,,,,,,,1,1,,,2,16,,,0,,,,,,,,2,,,,,,,2,2,2,2,1,2,2,2,,0,,,3,16,16,,,68,5,6,3,5,1,1,0,0,1,3,4,2,4,0.2621552738,681.34051426
5416,3,1,2,1,1,1958,1,,,3,3,,,,,,,1,1,,,2,15,1,9,3,16,2,,,1,30,0,2,,,,,,,2,2,2,2,1,2,2,2,,0,,,3,20,8,,,64,4,6,3,5,1,1,0,2,3,1,2,2,4,0.3201930047,832.18034599
5416,3,2,2,6,1,1979,1,,,3,5,,68,100,,1998,2,2,2,,,1,1,,,1,19,2,,,1,20,0,1,,,3,,,,1,2,2,2,2,2,2,2,,9112,9,,1,8,8,,,43,2,1,1,4,0,1,1,2,3,1,2,2,4,0.3201930047,832.18034599
5416,3,3,2,6,1,1991,1,,,2,5,,70,100,,2010,2,2,3,,,1,1,,,2,18,2,,,1,8,0,1,,,3,,,,1,2,2,2,2,2,2,2,,8143,3,18,1,8,8,,,31,1,1,1,2,0,1,1,2,3,1,2,2,4,0.3201930047,832.18034599
7886,2,1,1,1,1,1950,1,,,1,5,,36,60,,1969,2,1,1,,,2,15,2,11,1,22,2,,,1,35,0,2,,,,,,,2,2,2,2,1,2,2,2,,0,,,2,9,9,,,72,5,6,3,5,1,1,0,0,1,2,3,0,2,1.5578499259,4048.8457629
7886,2,2,2,2,1,1953,1,,,1,5,,40,60,,1974,2,2,2,,,2,13,,,1,30,2,,,1,10,0,2,,,,,,,2,2,2,2,2,2,2,2,,0,,,2,9,9,,,69,5,7,3,5,0,0,0,0,1,2,3,0,2,1.5578499259,4048.8457629
20297,2,1,1,1,1,1960,1,,,1,3,,,,,,,1,1,,,2,16,,,2,15,2,,,1,39,1,2,,,,,,,2,2,2,2,1,2,2,2,,0,,,1,5,5,,,62,4,6,3,5,0,1,0,1,2,1,2,2,5,0.3725340521,968.2145201
