NQUEST,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB_PROF,RATADEB,PFCOLL,PFNOCOLL
173,,,,,,0,,0,0,0,,,,,,0,0
2886,,,,,,0,,0,0,0,,,,,,0,0
3717,,,,,,0,,0,0,0,,,,,,0,0
5416,,,,,,0,,0,0,0,,,,,,0,0
7886,,,,,,0,,0,0,0,,,,,,0,0
20297,4520,,13560,,,41600,18080,0,0,0,,8400,1920,,10320,0,59680
20711,,,,,,0,,0,0,0,,,,,,0,0
22099,,,,,,0,,0,0,0,,,,,,0,0
22169,,,,,,0,,0,0,0,,,,,,0,0
22173,,,,,,0,,0,0,0,,,,,,0,0
22286,,,,,,0,,0,0,0,,,,,,0,0
22624,,,,,,0,,0,0,0,,,,,,0,0
22657,,,,,,0,,0,0,0,,,,,,0,0
23490,,,,,,0,,0,0,0,,,,,,0,0
23797,,,,95000,,0,95000,0,0,0,,,9900,,9900,0,95000
23821,,,,,,0,,0,0,0,,,,,,0,0
23823,,,,,,0,,0,0,0,,,,,,0,0
24147,,,,,,0,,0,0,0,,,,,,0,0
24853,,,,,,0,,0,0,0,,,,,,0,0
27238,,,,,,0,,0,0,0,,,,,,0,0
27730,,,,,,0,,0,0,0,,,,,,0,0
27734,,,,,,0,,0,0,0,,,,,,0,0
27739,,,,,,0,,0,0,0,,,,,,0,0
27742,,,,,,0,,0,0,0,,,,,,0,0
27912,,,,,,0,,0,0,0,,,,,,0,0
27923,,,,,,0,,0,0,0,,,,,,0,0
28992,,,,,,0,,0,0,0,,,,,,0,0
29140,,,,,,0,,0,0,0,,,,,,0,0
29678,,,,,,0,,0,0,0,,,,,,0,0
29680,,,,,,0,,0,0,0,,,,,,0,0
29737,,,,,,0,,0,0,0,,,,,,0,0
31093,,,,,,0,,0,0,0,,,,,,0,0
31220,,,,,,0,,0,0,0,,,,,,0,0
31625,19000,,,,,0,19000,0,0,0,,,5400,,5400,19000,0
31652,,,,,,0,,0,0,0,,,,,,0,0
31695,,,,,,20000,,0,0,0,5400,,,,5400,0,20000
31757,,,,,,0,,0,0,0,,,,,,0,0
31860,8000,,,,,16000,8000,0,0,0,3240,,2600,,5840,0,24000
32320,,,,,,0,,0,0,0,,,,,,0,0
32471,,,,,,0,,0,0,0,,,,,,0,0
32524,,,,,,0,,0,0,0,,,,,,0,0
32556,,,,,,0,,0,0,0,,,,,,0,0
32729,12000,,,,,0,12000,0,0,1400,,,4200,,4200,12000,1400
32734,,,,,,0,,0,0,0,,,,,,0,0
32765,,,,,,0,,0,0,0,,,,,,0,0
32772,,,,,,0,,0,0,0,,,,,,0,0
32822,,4000,,,,0,4000,0,0,0,,,3600,,3600,0,4000
32839,,,,,,0,,0,0,0,,,,,,0,0
32861,,,,,,0,,0,0,0,,,,,,0,0
32887,,,,,,98000,,0,0,0,,14000,,,14000,0,98000
33036,,,,,,0,,0,0,0,,,,,,0,0
33038,,,,,,0,,0,0,0,,,,,,0,0
33303,,,,25000,,0,25000,0,0,0,,,3840,,3840,0,25000
33335,,,,,,0,,0,0,0,,,,,,0,0
33451,,,,,,0,,0,0,0,,,,,,0,0
33479,,,,,,0,,0,0,0,,,,,,0,0
33839,,,,,,0,,0,0,0,,,,,,0,0
33882,,,,,,0,,0,0,0,,,,,,0,0
33937,,,,,,0,,0,0,0,,,,,,0,0
34252,,,,,,0,,0,0,0,,,,,,0,0
34778,,,,,,0,,0,0,0,,,,,,0,0
34825,,,,,,0,,0,0,0,,,,,,0,0
35022,,,,,,0,,0,0,0,,,,,,0,0
35234,,,,,,0,,0,0,0,,,,,,0,0
35322,,,,,,0,,0,0,0,,,,,,0,0
35323,,,,,,0,,0,0,0,,,,,,0,0
35340,,,,,,0,,0,0,0,,,,,,0,0
35372,,,,,,0,,0,0,0,,,,,,0,0
35640,,,,,,0,,0,0,0,,,,,,0,0
35682,,,,,,0,,0,0,0,,,,,,0,0
35788,,,,,,0,,0,0,0,,,,,,0,0
36130,,,,,,0,,0,0,0,,,,,,0,0
36186,,,,,,0,,0,0,0,,,,,,0,0
36250,,,,,,0,,0,0,0,,,,,,0,0
36321,,,,,,0,,0,0,0,,,,,,0,0
36333,,,,,,0,,0,0,0,,,,,,0,0
36403,,,,,,0,,0,0,0,,,,,,0,0
36409,,,,,,15000,,0,0,0,5376,,,,5376,0,15000
36443,,,,,,0,,0,0,0,,,,,,0,0
36697,,,,,,0,,0,0,0,,,,,,0,0
36893,,,,,,0,,0,0,0,,,,,,0,0
37299,,,,,,0,,0,0,0,,,,,,0,0
37521,,,,,,0,,0,0,0,,,,,,0,0
37810,,,,,,0,,0,0,0,,,,,,0,0
38014,,,,,,0,,0,0,0,,,,,,0,0
38095,,,,,,0,,0,0,0,,,,,,0,0
38106,,,,,,0,,0,0,0,,,,,,0,0
38316,,,,,,0,,0,0,0,,,,,,0,0
38877,,,,,,0,,0,0,0,,,,,,0,0
38885,,,,,,0,,0,0,0,,,,,,0,0
38939,,,,,,0,,0,0,0,,,,,,0,0
39056,,,,,,0,,0,0,0,,,,,,0,0
39086,,,,,,0,,0,0,0,,,,,,0,0
39095,,,,,,0,,0,0,0,,,,,,0,0
39218,,,,,,0,,0,0,0,,,,,,0,0
39227,,,,,,0,,0,0,6000,,,,,,0,6000
39317,,,,,,0,,0,0,0,,,,,,0,0
39318,,,,,,0,,0,0,0,,,,,,0,0
39488,,,,,,0,,0,0,0,,,,,,0,0
39697,,,,,,0,,0,0,0,,,,,,0,0
50231,,,,,,0,,0,0,0,,,,,,0,0
51895,,,,,,0,,0,0,0,,,,,,0,0
52700,,,,,,0,,0,0,0,,,,,,0,0
52718,,,,,,0,,0,0,0,,,,,,0,0
52736,,,,,,0,,0,0,0,,,,,,0,0
53086,,,,,,0,,0,0,0,,,,,,0,0
53202,,,,,,0,,0,0,0,,,,,,0,0
53234,,,,,,0,,0,0,0,,,,,,0,0
53373,7000,800,,,,0,7800,0,0,0,,,3350,,3350,0,7800
53380,,,,,,0,,0,0,0,,,,,,0,0
53552,,,,,,0,,0,0,0,,,,,,0,0
53564,,,,,,0,,5000,0,0,,,,,,0,0
53997,,,,,,0,,0,0,0,,,,,,0,0
55147,,,,,,0,,0,0,0,,,,,,0,0
55425,,,,,,0,,0,0,0,,,,,,0,0
55636,,,,,,0,,0,0,0,,,,,,0,0
55774,,,,,,0,,0,0,0,,,,,,0,0
56563,,,,,,0,,0,0,0,,,,,,0,0
56582,1100,,,,,0,1100,0,0,0,,,2640,,2640,0,1100
56603,,,,,,0,,12000,0,1500,,,,4000,4000,0,13500
56677,,,,,,0,,0,0,0,,,,,,0,0
56721,,,,,,0,,0,0,0,,,,,,0,0
56761,,,,,,0,,0,0,0,,,,,,0,0
56762,,,,,,0,,0,0,0,,,,,,0,0
57042,,,,,,0,,0,0,0,,,,,,0,0
57138,,,,,,6500,,0,0,400,6000,,,,6000,0,6900
57621,,,,,,0,,0,0,0,,,,,,0,0
57670,9300,,,,,30000,9300,0,1718.3865341,0,4080,,1680,,5760,39300,1718.3865341
57779,,,,,,0,,0,0,0,,,,,,0,0
60078,11000,,,,,0,11000,0,0,0,,,140,,140,0,11000
91071,6240,,,,,0,6240,0,0,0,,,3120,,3120,0,6240
91079,,,,,,0,,0,0,0,,,,,,0,0
91081,,,,,,10000,,0,0,0,9600,,,,9600,10000,0
91095,,,,,,0,,0,0,0,,,,,,0,0
111052,,,,,,0,,0,0,0,,,,,,0,0
178001,,,,,,0,,0,0,0,,,,,,0,0
213440,,,,,,0,,0,0,0,,,,,,0,0
224048,,,,,,0,,0,0,0,,,,,,0,0
230029,,,,,,0,,0,0,0,,,,,,0,0
230037,,,,,,0,,0,0,0,,,,,,0,0
237003,,,,,,0,,0,0,0,,,,,,0,0
244013,,,,,,0,,0,0,0,,,,,,0,0
244058,,,,,,0,,0,0,0,,,,,,0,0
250010,,,,,,0,,0,0,0,,,,,,0,0
250039,,,,,,0,,0,0,0,,,,,,0,0
282083,,,,,,0,,0,0,0,,,,,,0,0
310002,,,,,,0,,0,0,0,,,,,,0,0
310005,,,,,,0,,0,0,0,,,,,,0,0
321009,,,,,,0,,0,0,0,,,,,,0,0
333081,,,,,,0,,0,0,0,,,,,,0,0
387029,,,,,,0,,0,0,0,,,,,,0,0
500090,,,,,,0,,0,0,0,,,,,,0,0
500176,,,,,,0,,0,0,0,,,,,,0,0
500669,,,,,,0,,8000,0,0,,,,5000,5000,0,8000
500674,,,,,,0,,0,0,0,,,,,,0,0
501082,,,,,,0,,0,0,0,,,,,,0,0
501694,,,,,,0,,0,0,0,,,,,,0,0
502060,,,,,,0,,0,0,0,,,,,,0,0
502355,,,,,,0,,0,0,0,,,,,,0,0
502364,,,,,,0,,0,0,0,,,,,,0,0
503560,,,,,,56000,,0,0,0,6000,,,,6000,56000,0
503561,,,,,,0,,0,0,0,,,,,,0,0
503593,,,,,,0,,0,0,0,,,,,,0,0
503674,,,,,,0,,0,0,0,,,,,,0,0
503931,,,,,,0,,0,0,0,,,,,,0,0
504157,,,,,,0,,0,0,0,,,,,,0,0
504363,,,,,,0,,0,0,0,,,,,,0,0
504395,,,,,,0,,0,0,0,,,,,,0,0
504453,,,,,,0,,0,0,0,,,,,,0,0
504584,,,,,,0,,0,0,0,,,,,,0,0
504730,,,,,,0,,0,0,0,,,,,,0,0
504792,,,,,,0,,0,0,0,,,,,,0,0
504921,10800,,,,,0,10800,0,0,0,,,4200,,4200,0,10800
505022,,,,,,0,,0,0,0,,,,,,0,0
505228,,,,,,0,,0,0,0,,,,,,0,0
505517,,,,,,0,,0,0,0,,,,,,0,0
505525,,,,,,0,,0,0,0,,,,,,0,0
505534,,,,,,0,,0,0,0,,,,,,0,0
505594,,,,,,0,,0,0,0,,,,,,0,0
505606,,,,,,0,,0,0,0,,,,,,0,0
505681,,,,,,0,,0,0,0,,,,,,0,0
505806,,,,,,0,,0,0,0,,,,,,0,0
505818,,,,,,0,,0,0,0,,,,,,0,0
505839,,,,,,84000,,0,0,0,6480,,,,6480,84000,0
506107,,,,,,0,,0,0,0,,,,,,0,0
506112,,,,,,0,,0,0,0,,,,,,0,0
506402,,,,,,0,,0,0,0,,,,,,0,0
506418,,,,,,0,,0,0,0,,,,,,0,0
506565,,,,,,0,,0,0,0,,,,,,0,0
506628,,,,1284,,174000,1284,0,0,0,4057,,55,,4112,174000,1284
506736,,,,,,0,,0,0,0,,,,,,0,0
