NQUEST,TIPOI,QUEST,NQUESTP,STUPCF,STUMCF,STUPCO,STUMCO,CITPCF,CITMCF,CITPCO,CITMCO,VITGEN,NGEN,FIGLI,NFIGLI,PARNOIT,ANCONV,CONTINT,NCOMP
173,1,3,,,,,,,,,,2,,1,3,2,,2,1
2886,1,3,,,,,,,,,,2,,1,3,,1976,3,2
3717,1,3,,,,,,,,,,2,,2,,2,,2,1
5416,1,3,,,,,,,,,,2,,2,,2,,1,3
7886,1,3,,,,,,,,,,1,1,1,2,,1973,3,2
20297,1,3,,,,,,,,,,1,2,1,2,,2007,2,2
20711,1,3,,,,,,,,,,2,,2,,,1970,1,2
22099,1,3,,,,,,,,,,2,,1,2,2,1981,1,2
22169,1,3,,,,,,,,,,2,,1,4,,,1,1
22173,1,3,,1,1,,,1,1,,,2,,1,3,,,1,3
22286,1,3,,,,,,,,,,2,,2,,,1976,1,2
22624,1,3,,,,,,,,,,2,,1,2,,1980,1,4
22657,1,3,,,,,,,,,,2,,2,,,1973,2,2
23490,1,3,,,,,,,,,,2,,2,,2,,3,1
23797,1,3,,,,,,,,,,2,,1,2,,1984,1,2
23821,1,3,,,,,,,,,,2,,2,,2,,2,2
23823,1,3,,,,,,,,,,2,,1,2,,,1,2
24147,1,3,,,,,,,,,,2,,1,2,,1978,1,2
24853,1,3,,,,,,,,,,2,,1,2,,1985,1,2
27238,1,3,,,,,,,,,,1,2,1,2,,1977,2,2
27730,1,3,,,,,,,,,,2,,2,,,1970,1,4
27734,1,3,,,,,,,,,,2,,1,3,,1971,2,2
27739,1,3,,,,,,,,,,2,,1,4,,,3,1
27742,1,3,,,,,,,,,,2,,1,2,,,1,1
27912,1,3,,,,,,,,,,2,,1,2,,1989,1,2
27923,1,3,,,,,,,,,,2,,1,4,,1978,1,3
28992,1,3,,,,,,,,,,2,,1,3,,,2,1
29140,1,3,,,,,,,,,,2,,1,2,,1978,2,2
29678,1,3,,,,,,,,,,2,,1,2,,1957,2,2
29680,1,3,,,,,,,,,,1,3,1,1,,1989,2,3
29737,1,3,,,,,,,,,,2,,2,,,1984,2,2
31093,1,3,,,,,,,,,,2,,2,,2,,5,1
31220,1,3,,,,,,,,,,2,,1,2,,,1,1
31625,1,3,,,,,,,,,,2,,2,,2,,1,1
31652,1,3,,,,,,,,,,2,,1,1,,1969,3,2
31695,1,3,,,,,,,,,,2,,1,2,,1987,1,2
31757,1,3,,,,,,,,,,2,,1,1,,,2,1
31860,1,3,,,,,,,,,,1,1,1,2,,1984,2,2
32320,1,3,,,,,,,,,,1,2,1,2,,1988,1,2
32471,1,3,,,,,,,,,,2,,1,4,,,1,1
32524,1,3,,,,,,,,,,2,,2,,,1976,3,2
32556,1,3,,,,,,,,,,2,,2,,,,1,1
32729,1,3,,,,,,,,,,2,,1,2,,1986,1,2
32734,1,3,,,,,,,,,,2,,1,2,2,,1,1
32765,1,3,,,,,,,,,,1,2,2,,,1989,2,2
32772,2,3,,,,,,,,,,2,,1,2,,1973,1,2
32822,1,3,,,,,,,,,,2,,2,,2,,5,1
32839,2,3,,,,,,,,,,2,,1,2,,1969,3,2
32861,1,3,,,,,,,,,,2,,1,3,,1974,1,2
32887,1,3,,,,,,,,,,1,2,1,2,,1986,1,2
33036,1,3,,,,,,,,,,2,,1,1,,1959,1,3
33038,1,3,,,,,,,,,,2,,1,3,,1984,1,2
33303,1,3,,,,,,,,,,2,,1,2,,1967,1,2
33335,1,3,,,,,,,,,,1,2,1,2,,1982,2,2
33451,1,3,,,,,,,,,,2,,2,,2,,1,3
33479,1,3,,,,,,,,,,2,,2,,2,,1,2
33839,1,3,,,,,,,,,,2,,1,2,,,2,1
33882,1,3,,,,,,,,,,2,,2,,,1980,1,2
33937,1,3,,,,,,,,,,2,,1,2,,,2,1
34252,1,3,,,,,,,,,,2,,1,4,,,1,2
34778,1,3,,,,,,,,,,2,,2,,2,,1,2
34825,1,3,,,,,,,,,,2,,1,2,,1976,1,2
35022,1,3,,,,,,,,,,1,1,1,2,,1990,2,2
35234,1,3,,,,,,,,,,2,,1,2,,2007,5,2
35322,1,3,,,,,,,,,,2,,1,3,,,7,1
35323,1,3,,,,,,,,,,2,,1,2,,1959,1,2
35340,1,3,,,,,,,,,,2,,1,5,,,2,1
35372,1,3,,,,,,,,,,1,1,1,1,,1973,2,3
35640,1,3,,,,,,,,,,2,,1,2,,1972,3,2
35682,1,3,,,,,,,,,,2,,1,3,,1976,2,2
35788,1,3,,,,,,,,,,2,,1,3,,1977,3,2
36130,1,3,,,,,,,,,,1,1,1,1,,1986,1,2
36186,1,3,,,,,,,,,,2,,1,2,,,1,2
36250,1,3,,,,,,,,,,2,,2,,,,1,1
36321,1,3,,,,,,,,,,2,,1,1,,1976,2,3
36333,1,3,,,,,,,,,,2,,1,2,,,3,1
36403,1,3,,,,,,,,,,2,,1,3,2,,3,1
36409,1,3,,,,,,,,,,2,,1,3,,,2,1
36443,1,3,,,,,,,,,,2,,2,,,1990,2,2
36697,1,3,,,,,,,,,,2,,2,,2,,1,1
36893,1,3,,,,,,,,,,2,,1,2,,1980,2,2
37299,1,3,,,,,,,,,,2,,1,3,,1988,2,2
37521,1,3,,,,,,,,,,2,,2,,2,,3,1
37810,1,3,,,,,,,,,,2,,2,,2,,2,1
38014,1,3,,,,,,,,,,2,,1,3,,1978,1,2
38095,1,3,,,,,,,,,,1,2,1,2,,1985,1,2
38106,1,3,,,,,,,,,,2,,2,,,,2,1
38316,1,3,,,,,,,,,,2,,1,4,,1984,6,2
38877,1,3,,,,,,,,,,2,,1,1,,1973,1,2
38885,1,3,,,,,,,,,,2,,1,2,,1973,1,2
38939,1,3,,,,,,,,,,2,,2,,2,,4,4
39056,2,3,,,,,,,,,,2,,1,2,,1979,3,2
39086,1,3,,,,,,,,,,2,,2,,,1965,1,2
39095,1,3,,,,,,,,,,1,1,1,1,,,2,1
39218,1,3,,,,,,,,,,2,,2,,2,,1,1
39227,1,3,,,,,,,,,,2,,1,2,2,,3,1
39317,1,3,,,,,,,,,,2,,2,,,1990,1,3
39318,1,3,,,,,,,,,,1,2,1,1,,1991,4,2
39488,1,3,,,,,,,,,,2,,1,2,2,,1,1
39697,1,3,,,,,,,,,,1,1,1,1,,1984,1,2
50231,1,3,,,,,,,,,,2,,1,2,,,1,3
51895,1,3,,,,,,,,,,2,,1,3,,1964,1,2
52700,1,3,,,,,,,,,,1,1,1,2,,,2,1
52718,1,3,,,,,,,,,,2,,1,3,,,2,1
52736,1,3,,,,,,,,,,2,,2,,2,,2,1
53086,1,3,,,,,,,,,,2,,2,,2,,1,1
53202,1,3,,,,,,,,,,2,,1,2,,,2,1
53234,1,3,,,,,,,,,,2,,1,3,,1978,1,4
53373,1,3,,,,,,,,,,2,,1,2,,1973,1,2
53380,1,3,,,,,,,,,,2,,1,1,,,1,2
53552,1,3,,,,,,,,,,1,1,1,3,2,,2,1
53564,2,3,,,,,,,,,,2,,2,,2,,4,1
53997,1,3,,,,,,,,,,2,,1,3,,,1,1
55147,1,3,,,,,,,,,,2,,1,2,,1962,2,2
55425,1,3,,,,,,,,,,2,,2,,2,,1,1
55636,1,3,,,,,,,,,,2,,1,2,,1982,1,3
55774,1,3,,,,,,,,,,2,,1,1,,,1,3
56563,1,3,,,,,,,,,,2,,2,,,1957,1,2
56582,1,3,,,,,,,,,,1,1,1,1,,1983,2,2
56603,1,3,,,,,,,,,,1,1,1,1,,1990,4,2
56677,1,3,,,,,,,,,,2,,1,4,,1964,3,2
56721,1,3,,,,,,,,,,2,,2,,,1981,1,2
56761,1,3,,,,,,,,,,2,,2,,,1969,1,6
56762,1,3,,,,,,,,,,2,,1,1,,1983,1,2
57042,1,3,,,,,,,,,,2,,1,2,,,1,1
57138,1,3,,,,,,,,,,2,,1,2,,,3,1
57621,1,3,,,,,,,,,,2,,1,3,,1978,1,2
57670,1,3,,,,,,,,,,2,,1,1,2,,1,1
57779,1,3,,,,,,,,,,2,,1,2,,1976,1,3
60078,1,3,,,,,,,,,,1,1,1,2,,1983,1,3
91071,1,3,,,,,,,,,,1,1,2,,,1995,2,4
91079,1,3,,,,,,,,,,1,1,2,,,1995,1,3
91081,1,3,,,,,,,,,,2,,2,,,1995,3,3
91095,1,3,,,,,,,,,,2,,1,1,,2000,2,3
111052,1,3,,,,,,,,,,2,,1,1,,1970,3,2
178001,1,3,,,,,,,,,,2,,1,1,,,2,1
213440,1,3,,,,,,,,,,2,,1,2,,1973,2,2
224048,1,3,,,,,,,,,,2,,2,,,,2,1
