NQUEST,CTIT,NCTIT,ICTIT,BANCHE,SCOPER,UTSCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,CARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,PAYLAT,PAYLATCOME1,PAYLATCOME2,PAYLATCOME3,PAYLATCOME4,INTERNET,TWEET,DEPOSIT,NDEPOSIT
173,2,,,1,1,2,,,,1,1,1,,,1,2,1000,1,3,3,2,,,,,1,2,1,1
2886,2,,,2,1,2,,,,2,,,,,1,2,300,2,,,2,,,,,1,2,1,3
3717,,,,1,,,,,,2,,,,,2,2,470,2,,,2,,,,,2,,1,1
5416,2,,,1,2,,,,,1,1,1,,,1,2,400,1,3,3,2,,,,,1,2,1,3
7886,2,,,1,1,2,,,,2,,,,,1,1,1500,2,,,2,,,,,1,2,1,2
20297,2,,,1,2,,,,,2,,,,,1,2,300,2,,,2,,,,,1,2,1,1
20711,2,,,1,1,2,,,,2,,,,,1,2,500,2,,,2,,,,,2,,1,1
22099,2,,,1,2,,,,,2,,,,,1,2,800,1,3,3,2,,,,,1,2,1,1
22169,2,,,1,2,,,,,2,,,,,1,2,600,2,,,2,,,,,2,,1,1
22173,2,,,1,2,,,,,2,,,,,1,2,1000,2,,,2,,,,,1,2,1,1
22286,2,,,2,2,,,,,2,,,,,1,2,500,2,,,2,,,,,2,,1,2
22624,2,,,1,2,,,,,2,,,,,1,2,1500,2,,,2,,,,,1,2,1,2
22657,2,,,2,3,,,,,2,,,,,1,2,150,1,3,3,2,,,,,1,2,1,2
23490,2,,,2,3,,,,,2,,,,,1,2,400,2,,,2,,,,,2,,1,2
23797,2,,,1,2,,,,,2,,,,,1,2,1200,1,3,3,2,,,,,1,2,1,1
23821,,,,1,,,,,,2,,,,,2,2,680,2,,,2,,,,,1,2,1,1
23823,2,,,1,2,,,,,2,,,,,1,2,1000,1,3,3,2,,,,,1,2,1,1
24147,2,,,2,3,,,,,1,1,2,,,1,1,300,1,3,3,2,,,,,1,2,1,2
24853,2,,,3,1,2,,,,2,,,,,1,1,550,1,3,3,2,,,,,1,2,1,3
27238,2,,,1,2,,,,,2,,,,,1,1,500,2,,,2,,,,,1,2,1,2
27730,2,,,1,2,,,,,1,1,1,,,1,2,1000,2,,,2,,,,,1,2,1,1
27734,2,,,1,2,,,,,2,,,,,1,1,250,2,,,2,,,,,1,2,1,1
27739,2,,,1,2,,,,,2,,,,,1,2,200,2,,,2,,,,,2,,1,1
27742,2,,,1,3,,,,,2,,,,,1,2,640,2,,,2,,,,,2,,1,1
27912,2,,,2,3,,,,,2,,,,,1,1,800,1,3,3,2,,,,,1,2,1,2
27923,2,,,2,2,,,,,2,,,,,1,2,700,2,,,2,,,,,1,2,1,2
28992,2,,,1,3,,,,,2,,,,,1,2,250,2,,,2,,,,,2,,1,1
29140,2,,,2,1,2,,,,2,,,,,1,2,1000,2,,,2,,,,,2,,1,2
29678,2,,,1,2,,,,,2,,,,,1,2,400,2,,,2,,,,,2,,1,1
29680,2,,,1,2,,,,,1,1,1,,,1,2,600,1,3,3,2,,,,,1,2,1,2
29737,2,,,2,2,,,,,1,1,2,,,1,1,250,1,3,3,2,,,,,1,2,1,2
31093,2,,,1,2,,,,,2,,,,,1,2,1500,2,,,2,,,,,1,2,1,1
31220,1,2,1,2,2,,,,,2,,,,,1,2,250,2,,,2,,,,,2,,1,2
31625,2,,,2,2,,,,,1,1,2,,,1,2,50,1,3,3,2,,,,,1,1,1,2
31652,1,1,1,1,2,,,,,1,1,2,,,1,2,1200,2,,,2,,,,,1,2,1,2
