NQUEST,POS_A3,POS_B,POS_C1,POS_C2,POS_C3,POS_D1,POS_D2,POS_D3,POS_D4,POS_E1,POS_E2,POS_F1,POS_F2,POS_G,POS_H,POS_I,FONDIPOSS,FONDIQUOTA1,FONDIQUOTA2,OBBQUOTA1,OBBQUOTA2,OBBQUOTA3,CRIPTOUSO,PIRPOSS,PIRAMM,PIRDUP,RISFIN,RISMOTBIS2_1,RISMOTBIS2_2,RISINCERT1,RISINCERT2,RISINCERT3,PRECAUZ2,RISPAR,RISPARFINE,EMERG,DOCSEZC,AFA3,AFB,AFC1,AFC2,AFC3,AFD1,AFD2,AFD3,AFD4,AFE1,AFE2,AFF1,AFF2,AFG,AFH,AFI,PDEPOS,AFDEPOS
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,3,2,3,2,6,8,2200,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30000
2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,4,1,4,,,,,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25000
3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,4,2,3,2,1,5,30000,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,3,1,,,,,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10049.249095
7886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,3,3,,,,,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000
20297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,4,2,,2,8,11,5000,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
20711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,4,3,4,,,,,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000
22099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,4,3,,,,,,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
22169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,4,2,3,2,8,6,10000,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150
22173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,4,2,4,2,8,6,3000,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6000
