NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ASCLIMA,ASSISMA,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,TRASFAB,TRASFAB_MOT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,DETRIMM1,DETRIMM2,DETRIMM3,DETRIMM4,DETRIMM5,DETRIMM6,DETRIMM7,PROBCLIMA,REDCLIMA,PATCLIMA,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,FONDGAR,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR2_BIS,FMUTRIF2_BIS,MUTUOE2_BIS,MUTUORIF,REAPMUT2_BIS,MUTUORIC2_BIS,PARMUTUO1,PARMUTUO2,PARMUTES1,PARMUTES2,PARFRA1,PARFRA2,NUMFRA1,NUMFRA2,PARANN,PARDEC,PARDUR,PARDUR_1,PARTAS,PARPOSS,PARPOSSCHI,DOCSEZD
173,2004,1,1,,2,2,2004,1,0,0,0,0,0,0,0,0,1,100000,,,,,,,,600,,160,1980,2,150000,2,,1,1,2,,2,,2,,2,2,2,2,2,2,2,20,3,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
2886,1981,1,1,,2,2,1981,1,1,0,0,0,0,0,0,0,1,23000,,,,,,,,500,,100,1968,2,100000,2,,1,2,1,4,2,,1,1,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
3717,1995,2,,,,,,1,0,0,0,0,0,0,0,0,,,,,440,1,2,,1,,2,130,1980,1,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
5416,1985,2,,,,,,,,,,,,,,,,,,,350,1,1,350,2,,2,60,1958,1,90000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
7886,1986,1,1,,2,2,1986,1,1,0,0,0,0,0,0,0,1,40000,,,,,,,,500,,120,1960,2,300000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,15,2,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
20297,2007,2,,,,,,,,,,,,,,,,,,,370,2,1,600,2,,2,83,1963,1,120000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,4,4,2,,,,,1,1,1,1,2,,1,1,2,,2,,4,4,2,2,,2,,1,1,1,,,2,,2,,,,,,,0,,,,,,,2
20711,1970,1,1,,2,2,1970,0,1,0,0,0,0,0,0,0,3,5000,,,,,,,,500,,80,1938,1,130000,2,,2,,2,,1,1,2,,2,2,2,2,2,2,2,10,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
22099,1982,1,1,,2,2,1982,1,1,0,0,0,0,0,0,0,3,120000,,,,,,,,500,,100,1960,2,190000,2,,2,,1,1,2,,2,,2,2,2,2,2,2,2,40,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
22169,1990,2,,,,,,1,0,0,0,0,0,0,0,0,,,,,400,1,2,,2,,2,60,1950,1,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,60,4,4,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
22173,1971,2,,,,,,,,,,,,,,,,,,,700,1,2,,2,,2,55,1950,1,250000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,60,3,3,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
