NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS32,ASS3S2,DOCSEZF
173,,,,,,,2,,,,,,2,,2,,2
2886,,,,,,,2,1,,,,,2,,1,280,2
3717,2,,,,,,2,,,,,,2,,2,,2
5416,,2,2,,,,2,2,2,,,,2,,2,,2
7886,,2,,,,,2,2,,,,,2,,2,,2
20297,2,2,,,,,2,2,,,,,2,,2,,2
20711,2,,,,,,2,2,,,,,2,,1,180,2
22099,2,2,,,,,2,2,,,,,2,,2,,2
22169,,,,,,,2,,,,,,2,,2,,2
22173,,2,,,,,2,2,2,,,,2,,2,,2
22286,,,,,,,2,2,,,,,2,,2,,2
22624,2,2,2,2,,,2,2,2,2,,,2,,2,,2
22657,,,,,,,2,2,,,,,2,,2,,2
23490,,,,,,,2,,,,,,2,,1,450,1
23797,2,2,,,,,2,2,,,,,2,,2,,2
23821,2,2,,,,,2,2,,,,,2,,2,,2
23823,2,2,,,,,2,2,,,,,2,,2,,2
24147,,,,,,,2,2,,,,,1,490,1,750,2
24853,,2,,,,,2,2,,,,,2,,2,,2
27238,,2,,,,,2,2,,,,,2,,2,,2
27730,,2,2,2,,,2,2,2,2,,,2,,2,,2
27734,,2,,,,,2,1,,,,,1,300,1,390,2
27739,2,,,,,,2,,,,,,2,,1,1000,2
27742,2,,,,,,2,,,,,,2,,2,,2
27912,,,,,,,2,2,,,,,2,,2,,2
27923,,2,2,,,,2,2,2,,,,2,,2,,2
28992,2,,,,,,2,,,,,,2,,2,,2
29140,,,,,,,2,2,,,,,2,,1,220,2
29678,,2,,,,,2,2,,,,,2,,2,,2
29680,2,2,2,,,,2,2,2,,,,2,,2,,2
29737,,,,,,,2,2,,,,,2,,1,360,2
31093,2,,,,,,2,,,,,,2,,2,,2
31220,,,,,,,2,,,,,,2,,1,500,2
31625,2,,,,,,1,,,,,,2,,2,,2
31652,,,,,,,2,2,,,,,2,,1,250,2
31695,2,2,,,,,2,2,,,,,2,,1,680,2
31757,2,,,,,,2,,,,,,2,,2,,2
31860,2,2,,,,,2,2,,,,,1,1000,1,1000,2
32320,1,1,,,,,2,2,,,,,1,250,1,350,1
32471,,,,,,,2,,,,,,2,,2,,2
32524,,,,,,,2,2,,,,,1,360,1,1880,1
32556,,,,,,,2,,,,,,2,,2,,2
32729,2,2,,,,,2,2,,,,,1,380,1,680,2
32734,2,,,,,,2,,,,,,2,,2,,2
32765,,,,,,,2,2,,,,,2,,1,150,2
32772,,2,,,,,2,1,,,,,2,,1,100,2
32822,2,,,,,,2,,,,,,2,,2,,2
32839,,2,,,,,2,2,,,,,2,,1,487,2
32861,,,,,,,2,2,,,,,2,,2,,2
32887,2,2,,,,,2,2,,,,,1,1000,1,100,2
33036,,2,2,,,,2,2,2,,,,2,,2,,2
33038,2,2,,,,,2,2,,,,,2,,2,,2
