NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA11,YTA12,YTA2,YTA3,YTA31,YTA32,YTA6,YM,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
173,33194.077815,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,0,9794.077815,9700,0,9700,94.077814986,94.077814986,0,0,0,6,3
2886,58808.398179,0,0,0,44330,44330,44330,0,0,0,0,0,0,0,0,0,0,0,14478.398179,14400,0,14400,78.398179155,78.398179155,0,0,0,9,5
3717,6110,0,0,0,6110,6110,6110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5416,27431.513713,17000,17000,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,0,31.513713236,0,0,0,31.513713236,31.513713236,0,0,0,5,3
7886,32031.359272,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,0,0,0,6031.3592717,6000,0,6000,31.359271662,31.359271662,0,0,0,6,3
20297,34066.994936,19200,19200,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,-733.005064,0,0,0,-733.005064,9.4077814986,0,0,742.41284549,6,3
20711,32801.95149,0,0,0,26780,26780,26780,0,0,0,0,0,0,0,0,0,0,0,6021.9514902,6000,0,6000,21.951490163,21.951490163,0,0,0,6,3
22099,18009.407781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,6009.4077815,6000,0,6000,9.4077814986,9.4077814986,0,0,0,3,2
22169,8320.4703891,0,0,0,8320,8320,8320,0,0,0,0,0,0,0,0,0,0,0,0.4703890749,0,0,0,0.4703890749,0.4703890749,0,0,0,1,1
22173,28618.815563,15600,15600,0,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,0,18.815562997,0,0,0,18.815562997,18.815562997,0,0,0,5,3
22286,28129.9405,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,0,8629.9404998,8400,0,8400,229.94049977,161.2566459,68.683853866,0,0,5,3
22624,35404.703891,28200,28200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7204.7038907,7200,0,7200,4.7038907493,4.7038907493,0,0,0,6,3
22657,47148.344499,0,0,0,35100,35100,35100,0,0,0,0,0,0,0,0,0,0,0,12048.344499,12000,0,12000,48.344498992,35.570776373,12.773722619,0,0,8,4
23490,22395.586142,0,0,0,17550,17550,17550,0,0,0,0,0,0,0,0,0,0,0,4845.5861423,4800,0,4800,45.58614227,45.58614227,0,0,0,4,2
23797,32617.247599,18200,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14417.247599,14400,0,14400,17.247599414,17.247599414,0,0,0,6,3
23821,13656.306821,0,0,0,8840,8840,8840,0,0,0,0,0,0,0,0,0,0,0,4816.3068213,4800,0,4800,16.306821264,16.306821264,0,0,0,2,1
23823,27532.927235,15000,15000,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,6032.9272352,6000,0,6000,32.927235245,32.927235245,0,0,0,5,3
24147,95856.154062,0,0,0,38220,38220,38220,0,0,0,0,0,0,0,0,0,0,0,57636.154062,55800,37800,18000,1836.1540622,72.126324822,0,1764.0277373,0,10,5
24853,60390.488427,19000,19000,0,29640,29640,29640,0,0,0,0,0,0,0,0,0,0,0,11750.488427,11700,0,11700,50.488427376,50.488427376,0,0,0,9,5
27238,33162.718543,12000,12000,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,0,6862.7185433,6800,0,6800,62.718543324,62.718543324,0,0,0,6,3
27730,35806.271854,11000,11000,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,0,5306.2718543,5300,0,5300,6.2718543324,6.2718543324,0,0,0,7,4
27734,19224.940778,0,0,0,16224,16224,16224,0,0,0,0,0,0,0,0,0,0,0,3000.9407781,3000,0,3000,0.9407781499,0.9407781499,0,0,0,3,2
27739,20846.655376,0,0,0,4680,4680,4680,0,0,0,0,0,0,0,0,0,0,0,16166.655376,16050,15400,650,116.6553759,111.3254144,0,5.3299615018,0,3,2
27742,13161.567964,0,0,0,8960,8960,8960,0,0,0,0,0,0,0,0,0,0,0,4201.5679636,4200,0,4200,1.5679635831,1.5679635831,0,0,0,2,1
27912,37829.757451,0,0,0,31720,31720,31720,0,0,0,0,0,0,0,0,0,0,0,6109.7574508,6000,0,6000,109.75745082,109.75745082,0,0,0,7,4
27923,26319.279636,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,5519.2796358,5400,0,5400,119.27963583,15.679635831,0,103.6,0,5,3
28992,28694.077815,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,7894.077815,7800,0,7800,94.077814986,94.077814986,0,0,0,5,3
29140,37231.359272,0,0,0,31200,31200,31200,0,0,0,0,0,0,0,0,0,0,0,6031.3592717,6000,0,6000,31.359271662,31.359271662,0,0,0,7,4
29678,18974.684018,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,0,7274.684018,7200,0,7200,74.684017954,74.684017954,0,0,0,3,2
29680,20536.474599,14500,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6036.4745991,6000,0,6000,36.474599073,36.474599073,0,0,0,3,2
29737,66659.266014,0,0,0,57200,57200,57200,0,0,0,0,0,0,0,0,0,0,0,9459.2660136,8400,0,8400,1059.2660136,1059.2660136,0,0,0,9,5
31093,47210.975745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,7210.9757451,7200,0,7200,10.975745082,10.975745082,0,0,0,8,4
31220,44869.900515,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,29269.900515,28200,24600,3600,1069.9005153,94.077814986,0,975.8227003,0,8,4
31625,38494.077815,26400,25000,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12094.077815,12000,0,12000,94.077814986,94.077814986,0,0,0,7,4
31652,51973.749002,0,0,0,43550,43550,43550,0,0,0,0,0,0,0,0,0,0,0,8423.7490015,8396,1296,7100,27.749001502,0,0,27.749001502,0,9,5
31695,40025.928049,28370,27100,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11655.928049,12000,0,12000,-344.0719513,12.857301381,0,0,356.92925264,7,4
