NQUEST,NORD,YL1,YL2,YTP1,YTP2,YTA1,YTA11,YTA12,YTA2,YTA31,YCA1,YCA2,YTA32,YTA6,YL,YTP,YTA3,YTA,YT,YM,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
173,1,0,0,23400,0,0,0,0,0,0,0,9700,0,0,0,23400,0,0,23400,0,9700,94.077814986,0,0,0,94.077814986,9794.077815,33194.077815
2886,1,0,0,15730,0,0,0,0,0,0,0,14400,0,0,0,15730,0,0,15730,0,14400,78.398179155,0,0,0,78.398179155,14478.398179,30208.398179
2886,2,0,0,28600,0,0,0,0,0,0,0,0,0,0,0,28600,0,0,28600,0,0,0,0,0,0,0,0,28600
3717,1,0,0,6110,0,0,0,0,0,0,0,0,0,0,0,6110,0,0,6110,0,0,0,0,0,0,0,0,6110
5416,1,0,0,10400,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,10400,0,0,31.513713236,0,0,0,31.513713236,31.513713236,10431.513713
5416,2,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000
5416,3,8000,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,8000
7886,1,0,0,26000,0,0,0,0,0,0,0,6000,0,0,0,26000,0,0,26000,0,6000,31.359271662,0,0,0,31.359271662,6031.3592717,32031.359272
20297,1,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,15600,0,0,15600,0,0,9.4077814986,0,0,742.41284549,-733.005064,-733.005064,14866.994936
20297,2,19200,0,0,0,0,0,0,0,0,0,0,0,0,19200,0,0,0,0,0,0,0,0,0,0,0,0,19200
20711,1,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,6000,21.951490163,0,0,0,21.951490163,6021.9514902,6021.9514902
20711,2,0,0,26780,0,0,0,0,0,0,0,0,0,0,0,26780,0,0,26780,0,0,0,0,0,0,0,0,26780
