NQUEST,NORD,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM
25,1,1,1,1,12,7,45,1,6,45000,2,0
25,2,1,1,1,12,7,18,2,,25000,2,0
34,2,1,1,1,12,7,28,1,1,29500,2,0
123,4,1,1,1,12,2,60,1,6,12000,2,0
126,1,1,1,1,12,1,40,2,,19000,2,0
173,1,1,1,1,12,7,32,1,5,26000,1,2000
304,1,1,1,1,12,7,38,2,,25000,2,0
376,1,1,1,1,12,6,40,1,7,35000,1,700
465,1,1,2,2,9,1,6,2,,15000,2,0
465,2,1,2,2,9,1,6,2,,15000,2,0
558,1,1,1,1,12,5,35,2,,12500,2,0
558,2,1,1,2,6,2,40,2,,10000,2,0
558,3,1,1,1,12,2,40,2,,13000,2,0
629,2,1,1,1,12,2,42,1,2,19000,2,0
629,3,1,1,1,12,3,40,2,,18000,2,0
632,1,1,1,1,12,7,37,1,1,24000,2,0
632,2,1,2,1,12,5,20,2,,12000,2,0
632,3,1,1,2,3,3,42,1,2,3300,2,0
701,1,1,1,1,12,7,38,2,,31200,2,0
823,1,1,1,1,12,4,40,1,0,30000,2,0
905,1,1,1,1,12,7,36,2,,28000,2,0
905,2,1,1,1,12,7,27,2,,21000,2,0
912,2,1,1,1,12,7,36,2,,15000,2,0
1084,1,1,1,1,12,7,35,1,1,26000,2,0
1084,2,1,1,1,12,7,35,1,2,25000,2,0
1120,1,1,1,1,12,6,40,1,5,75000,1,1600
1120,2,1,1,1,12,7,40,2,,55000,2,0
1238,1,1,1,1,12,6,38,2,,21000,2,0
1371,1,1,1,1,12,7,42,2,,29000,2,0
1742,2,1,1,1,12,7,30,2,,15000,2,0
1742,3,1,1,1,12,7,36,2,,16800,2,0
1763,1,1,1,1,12,2,40,2,,14200,2,0
1763,2,1,1,1,12,2,40,1,10,14200,2,0
1927,1,1,1,1,12,2,44,2,,13000,2,0
1946,4,1,1,1,12,2,40,1,2,20000,2,0
2178,1,1,1,1,12,6,40,1,0,17000,2,0
2274,3,1,1,2,4,2,60,2,,10000,2,0
2447,2,1,1,2,10,1,40,1,2,15000,2,0
2579,1,1,1,1,12,7,36,2,,21500,2,0
2579,4,1,1,2,6,2,45,2,,7800,2,0
2875,3,1,1,1,12,7,36,2,,22000,2,0
2886,1,1,1,1,12,7,36,2,,20000,2,0
2886,2,1,1,1,12,7,36,2,,24000,2,0
3166,1,1,1,1,12,7,32,1,2,33500,2,0
3166,3,1,1,1,12,1,40,2,,5400,2,0
3193,1,1,1,1,12,5,40,1,1,40000,1,550
