NQUEST,NORD,ATTIVP,TUTTANNO,MESILAV,NUMADD,PROF,ORETOT,YM,DEBCR951,DEBCR952,DEBCR953,DEBCR954,DEBCR955,MACCHI,VALAZ,AMMORT
34,1,1,1,12,1,1,30,20000,0,10000,0,0,0,2,0,0
123,1,1,1,12,1,3,90,12000,0,0,0,0,0,1,80000,3000
123,3,1,1,12,3,3,60,36000,0,0,0,0,0,1,50000,5000
123,5,1,2,6,1,3,42,6000,0,45000,0,0,0,1,90000,6000
1084,1,2,2,11,1,1,5,8000,0,0,0,0,3000,1,3000,500
1750,1,1,1,12,1,1,40,20000,0,0,0,0,0,2,0,0
1826,1,1,2,11,2,3,40,18000,0,0,0,0,0,2,0,0
2447,1,1,1,12,1,3,50,20000,0,4000,0,0,14600,1,10000,2000
2866,1,1,1,12,1,3,48,24000,0,0,0,6000,4000,1,10000,500
3204,1,1,1,12,1,3,30,31000,0,0,0,0,0,2,0,0
4370,1,2,1,12,1,3,10,3500,0,0,0,0,0,2,0,0
4730,1,1,1,12,1,3,60,18000,0,0,0,1000,0,1,35000,500
4939,1,1,1,12,1,3,45,13000,0,0,0,0,1000,1,10000,1000
7015,1,1,1,12,2,3,50,20000,0,0,0,0,0,1,30000,5000
7089,1,1,1,12,1,3,30,35000,0,0,0,3000,10000,1,2000,400
7098,1,1,1,12,1,3,54,20000,0,0,0,0,0,2,0,0
9249,5,1,1,12,1,3,60,0,0,0,0,0,0,1,50000,1000
9526,1,1,1,12,1,3,60,90000,0,0,0,0,10000,1,100000,20000
9526,3,1,1,12,1,1,40,10000,0,0,0,0,0,2,0,0
20047,1,2,1,12,1,3,45,52000,0,0,0,0,0,2,0,0
20223,1,1,1,12,1,3,60,22000,0,0,0,0,0,1,150000,5000
20231,1,1,1,12,1,3,55,45000,0,60000,0,0,10000,1,100000,3000
20277,1,1,1,12,1,3,38,30000,0,0,0,0,0,1,100000,
20284,1,1,1,12,1,3,72,30000,0,0,0,0,0,1,15000,2000
20372,2,2,2,1,,3,6,3000,0,0,0,0,1200,2,0,0
20375,3,1,2,2,1,3,,1400,0,0,0,0,0,2,0,0
20711,1,2,1,12,13,3,1,1000,0,0,0,0,0,1,30000,3000
20936,2,1,1,12,1,3,45,42000,0,0,0,0,5000,2,0,0
21003,3,1,1,12,1,1,40,24000,0,0,0,0,0,2,0,0
21128,1,1,1,12,1,3,40,15000,0,0,0,0,2500,2,0,0
21384,1,1,1,12,2,3,50,29600,0,0,0,10000,6000,1,100000,2000
21453,2,1,2,6,1,3,45,20000,0,0,0,0,0,2,0,0
21470,1,2,2,1,1,1,,5000,0,0,0,0,0,2,0,0
21639,1,1,2,5,1,3,35,8000,0,0,0,0,0,2,0,0
22099,1,1,1,12,1,3,45,18000,0,0,0,7000,0,1,6000,1200
22155,2,1,1,12,1,1,48,25000,0,0,0,0,0,2,0,0
22168,2,1,1,12,1,3,6,6000,0,0,0,0,0,2,0,0
22169,1,1,2,9,1,3,,20000,0,0,0,0,0,2,0,0
22225,1,1,1,12,60,1,45,76000,0,0,0,0,0,2,0,0
22277,2,1,1,12,2,2,10,25000,0,15000,0,0,10000,1,100000,10000
22279,1,1,1,12,13,3,90,20000,0,0,0,2000,3000,1,50000,1000
22548,1,2,2,2,1,3,8,2500,0,0,0,0,0,2,0,0
22964,1,2,2,6,3,3,47,75000,0,0,0,0,0,1,25000,
22993,1,2,1,12,1,3,6,25000,0,0,0,0,0,2,0,0
22996,1,1,1,12,1,1,40,40000,0,0,0,0,0,2,0,0
22996,2,1,1,12,1,3,30,600,0,0,0,0,0,2,0,0
22996,4,1,1,12,1,3,50,30000,0,0,0,0,0,2,0,0
23342,3,1,1,12,1,3,30,5000,0,0,0,0,0,2,0,0
23384,1,1,1,12,1,3,50,30000,0,0,0,0,15000,2,0,0
23394,2,1,1,12,1,3,40,60000,0,0,0,0,5000,1,20000,
23466,1,1,1,12,5,1,70,170000,0,0,0,0,30000,1,,5000
23675,1,1,1,12,1,3,50,20000,10000,12000,0,0,0,1,50000,6000
23798,1,1,1,12,1,3,50,19500,0,0,0,0,0,2,0,0
23831,1,1,1,12,1,3,40,40000,0,0,0,20000,50000,1,50000,3000
23951,1,1,1,12,2,2,20,40000,0,0,0,0,0,1,100000,40000
23958,1,1,1,12,1,1,42,42000,0,0,0,0,0,1,20000,4000
23958,2,1,1,12,1,3,25,30000,0,0,0,0,0,1,35000,7000
23986,3,1,1,12,1,3,50,10000,0,0,0,0,0,1,30000,1000
24081,1,1,1,12,1,1,20,5000,0,0,0,0,0,2,0,0
24173,1,1,2,6,1,2,30,5000,0,0,0,0,0,2,0,0
24173,2,1,1,12,1,3,15,9000,0,0,0,0,0,2,0,0
24330,1,1,1,12,1,3,60,2000,0,0,0,0,0,2,0,0
24363,2,1,1,12,1,3,48,4000,0,0,0,10000,500,1,70000,3000
24446,2,1,1,12,1,3,40,15000,0,0,0,0,0,1,10000,
24450,1,1,1,12,1,3,50,30000,0,0,0,0,0,2,0,0
24619,1,1,1,12,5,3,40,45000,0,75000,0,0,0,1,80000,10000
24630,1,2,2,1,1,3,2,2000,0,0,0,0,0,1,10000,1000
24645,2,1,1,12,1,3,50,6000,0,0,0,0,0,1,20000,2000
24795,1,1,1,12,2,3,50,30000,0,0,0,0,0,2,0,0
24911,1,1,1,12,1,1,70,10000,0,0,0,0,0,1,400000,
24919,1,2,1,12,1,1,25,17700,0,0,0,0,0,1,6000,1200
24931,2,2,1,12,1,1,10,7000,0,0,0,0,0,1,2000,
24979,1,1,1,12,1,3,50,40000,0,0,0,0,0,2,0,0
25007,1,2,2,6,1,1,10,10000,0,0,0,0,0,2,0,0
25084,1,1,2,5,2,3,40,0,0,0,0,6000,6000,1,5000,
25133,1,1,1,12,2,3,10,11000,0,0,0,0,0,1,70000,2000
25137,1,1,1,12,1,3,60,11000,0,0,0,0,0,1,100000,3000
25145,1,1,1,12,1,3,30,9000,0,0,0,0,0,1,10000,1000
25373,1,1,2,1,1,3,15,5000,0,0,0,0,0,2,0,0
25373,3,1,2,3,6,1,40,3000,0,0,0,0,0,2,0,0
25435,2,1,1,12,1,1,40,70000,0,0,0,0,0,2,0,0
25443,2,1,1,12,1,3,30,40000,0,0,0,0,0,2,0,0
25448,2,1,1,12,1,3,50,21000,0,0,0,0,0,2,0,0
25756,1,1,1,12,1,3,60,18000,0,0,0,0,0,1,50000,
25897,1,1,1,12,1,3,5,12000,0,0,0,0,0,2,0,0
25897,2,1,1,12,1,3,10,12000,0,0,0,0,0,2,0,0
25963,1,1,1,12,1,1,40,28000,0,0,0,0,0,2,0,0
25968,3,2,2,8,1,1,25,6000,0,0,0,0,0,1,25000,0
25975,2,1,2,9,1,3,50,24000,0,0,0,0,20000,1,4000,800
26163,1,2,2,4,1,3,20,5000,0,0,0,0,0,2,0,0
26280,1,1,1,12,1,3,60,24000,0,0,80000,0,45000,1,180000,18000
26283,1,1,1,12,2,3,50,30000,0,0,0,0,0,2,0,0
26310,1,2,1,12,1,3,40,5000,0,0,0,0,0,2,0,0
26310,3,1,1,12,1,1,50,20000,0,0,0,0,0,2,0,0
26592,1,2,1,12,1,1,30,30000,0,0,0,0,0,2,0,0
26684,1,1,1,12,1,3,24,7000,0,0,0,0,0,2,0,0
26687,1,2,2,1,1,3,40,2000,0,0,0,0,0,2,0,0
26690,3,1,2,6,2,3,60,15000,0,0,0,0,,1,30000,1000
