NQUEST,NORD,ATTIVP,TUTTANNO,MESILAV,NUMADD,FORGIU,ORETOT,COMPFISS,DIVIDUT,QUOPRO,PARTE95
325,2,1,1,12,20,4,40,26000,5000,5,
629,1,1,1,12,20,1,50,27600,0,33,400000
3078,1,1,1,12,4,8,70,25000,46000,50,250000
5697,1,1,1,12,4,7,60,32000,0,33,500000
7895,2,1,1,12,3,1,60,25000,25000,5,
20704,1,1,1,12,50,1,60,42000,0,30,
20784,1,1,1,12,20,1,70,3000,0,30,200000
21481,1,1,1,12,3,6,35,0,13000,50,35000
21481,2,1,1,12,3,6,45,0,13000,50,35000
22992,2,1,1,12,8,,50,30000,0,33,100000
23267,1,1,1,12,2,8,40,23000,0,50,20000
23497,1,1,1,12,2,7,48,30000,0,50,600000
24114,1,1,2,9,10,7,70,0,25000,25,350000
24114,1,2,1,12,4,6,2,0,0,26,20000
24114,2,1,2,9,10,7,10,0,25000,25,350000
24171,1,1,1,12,2,7,3,15000,12000,50,150000
24374,3,1,2,9,2,8,15,17000,17000,50,
24616,3,1,1,12,5,6,40,20000,0,2,
24623,1,1,1,12,11,7,50,26000,0,7,3000
24860,1,1,1,12,6,1,48,26000,0,35,100000
24912,2,2,1,12,30,4,3,10000,0,3,
24924,2,1,1,12,2,1,50,0,25000,50,38000
25767,1,1,1,12,15,1,40,12000,0,45,
26592,1,1,1,12,20,7,85,0,0,25,250000
26592,2,1,1,12,20,7,48,0,0,25,250000
29546,3,1,1,12,3,7,50,0,0,25,300000
29561,1,1,1,12,3,7,40,0,0,33,300000
29561,3,1,1,12,3,7,40,0,0,33,300000
29684,1,1,1,12,2,1,10,0,0,85,170000
29684,2,2,2,4,2,1,1,0,0,15,15000
29703,1,1,1,12,5,1,72,1700,0,6,
31081,1,1,1,12,2,7,60,18000,0,50,
31093,1,1,1,12,4,1,50,0,30000,39,150000
31095,1,2,1,12,3,1,3,0,0,50,700000
31174,1,1,2,9,2,8,70,14500,0,50,15000
31409,2,1,1,12,3,7,60,23400,0,33,100000
31686,1,1,1,12,4,1,40,40000,0,50,200000
31689,1,1,1,12,8,1,55,40000,0,50,150000
32015,1,1,1,12,4,7,48,30000,0,50,200000
32016,2,1,1,12,4,7,72,0,0,30,250000
32709,1,1,1,12,14,7,60,0,60000,32,200000
32713,1,1,1,12,6,7,60,12000,0,25,350000
32713,2,1,1,12,6,7,40,1000,0,25,350000
32724,1,1,1,12,3,1,60,80000,40000,20,400000
32755,2,1,2,6,10,6,20,5500,6000,17,300000
32836,2,1,1,12,17,4,40,20000,0,2,
32887,1,1,1,12,3,7,58,0,37000,51,250000
32887,2,1,1,12,3,7,52,0,35000,49,240000
32890,1,1,1,12,24,6,50,17000,0,43,130000
32936,1,1,1,12,2,6,50,0,36000,70,10000
33268,1,1,1,12,3,1,55,35000,0,33,500000
33354,1,1,1,12,8,7,60,1200,45000,25,175000
33354,3,1,1,12,8,7,60,1200,45000,25,175000
33773,1,1,1,12,3,7,45,0,27000,33,40000
33782,1,2,1,12,5,8,10,0,0,8,20000
33941,1,1,1,12,2,7,50,0,27000,60,12000
33941,2,1,2,6,2,7,40,0,18000,40,8000
34005,1,1,1,12,5,8,60,30000,30000,33,350000
34051,1,1,1,12,26,1,40,16000,0,9,0
34224,1,1,1,12,10,7,44,6000,0,50,850000
34258,1,1,1,12,3,7,40,7000,3000,33,25000
34258,2,1,1,12,3,7,36,7000,3000,33,25000
34261,1,1,1,12,3,7,80,22000,0,33,400000
34757,3,1,2,6,10,8,60,7800,0,10,
34993,3,1,1,12,2,7,70,18000,5000,50,
35106,1,1,1,12,3,8,46,0,14000,50,150000
35223,2,2,1,12,2,6,50,0,20000,20,
35433,1,1,1,12,6,7,60,40000,40000,35,
35456,1,1,1,12,3,1,48,0,65000,33,100000
35488,3,1,1,12,2,8,50,0,30000,50,100000
35641,2,1,1,12,3,7,70,24000,0,50,150000
35677,1,1,1,12,2,7,40,26000,0,50,50000
35677,2,1,1,12,2,7,55,26000,0,50,50000
35964,1,2,2,2,12,7,10,0,15000,10,150000
36119,1,1,1,12,4,8,40,16800,0,25,
36391,1,1,2,9,3,7,40,11000,0,50,
36391,4,2,1,12,3,7,40,11000,0,50,
36425,1,1,1,12,4,7,50,20000,20000,30,45000
36488,1,1,1,12,11,7,50,24000,10000,17,250000
36527,1,1,1,12,14,7,60,0,20000,25,400000
37073,1,1,1,12,10,2,55,60000,0,25,70000
37418,1,1,1,12,26,1,80,50000,0,65,1500000
37883,1,2,2,2,3,1,10,0,0,33,7000
38179,1,1,1,12,350,2,60,100000,500000,30,
38328,1,1,1,12,4,7,50,40000,0,50,200000
38328,1,2,1,12,7,1,1,10000,0,33,250000
38328,1,2,1,12,2,1,3,12000,0,50,25000
38328,2,2,1,12,4,6,2,0,25000,50,200000
38328,2,2,1,12,2,1,2,0,0,50,25000
38335,2,2,2,4,3,7,6,3000,3000,33,15000
38729,1,1,1,12,15,1,55,65000,20000,50,
38754,2,1,1,12,2,8,8,25000,5000,50,
39081,3,1,2,3,2,1,70,5000,0,50,25000
39459,1,1,1,12,5,8,60,0,18000,33,100000
39496,3,1,2,7,5,7,50,0,10000,20,10000
39581,1,2,2,2,,6,20,0,6000,1,0
39805,1,1,1,12,8,1,50,40000,0,20,
39961,2,1,1,12,2,6,20,22000,12000,50,150000
50085,1,1,1,12,9,1,50,18650,0,10,
50274,1,1,1,12,2,1,58,12000,12000,50,250000
50372,1,1,1,12,11,7,50,35000,0,60,250000
50372,2,1,2,9,11,7,36,20000,0,20,80000
51063,1,2,1,12,3,6,10,0,10000,42,7000
51094,2,1,1,12,6,1,60,24000,0,10,50000
51199,1,1,1,12,8,8,60,19200,19200,50,130000
51201,1,1,1,12,18,7,40,30000,0,20,
51251,2,1,1,12,4,7,60,30000,0,33,80000
51362,1,1,1,12,2,7,60,50000,50000,50,500000
51364,1,1,1,12,2,7,70,25000,0,50,250000
51364,2,1,1,12,2,7,70,25000,0,50,250000
51420,1,2,2,,3,7,10,2000,2000,33,
51639,1,1,1,12,4,6,40,0,35000,51,300000
51639,3,2,1,12,4,6,20,0,17000,24,150000
51639,4,1,1,12,4,6,40,0,17000,24,150000
51654,1,1,1,12,2,7,44,20000,0,50,50000
51761,3,1,2,7,4,7,50,10500,15000,25,100000
52523,1,1,1,12,9,4,40,13000,0,11,
52787,1,1,1,12,4,1,50,28000,0,50,50000
52800,1,1,1,12,2,1,40,30000,0,50,250000
52859,2,1,1,12,5,7,48,30000,0,33,100000
52968,1,2,1,12,3,6,36,8500,8500,33,150000
52982,1,2,1,12,10,7,40,1000,0,25,50000
52982,2,1,1,12,10,7,40,1000,0,25,50000
52982,3,1,1,12,10,7,40,1000,0,25,50000
53042,3,1,1,12,4,7,45,18000,0,25,5000
53081,3,1,1,12,3,1,50,18000,0,33,100000
53354,1,1,1,12,15,7,50,24000,40000,25,500000
53504,1,1,1,12,2,7,55,15000,0,50,
53587,3,1,2,5,9,7,45,7500,5000,11,
53751,1,1,2,5,2,7,40,18000,8000,50,100000
54183,1,1,1,12,22,1,60,55000,0,50,1000000
54183,1,2,2,1,2,6,0,0,15000,25,100000
54618,1,1,1,12,3,8,40,12000,5000,33,10000
54618,2,1,1,12,3,8,40,12000,5000,33,10000
54627,1,1,1,12,50,4,50,21000,4400,2,0
54644,2,1,1,12,2,7,56,12000,0,50,15000
54686,1,1,1,12,17,7,50,18000,0,15,
54686,2,1,1,12,17,7,40,10000,0,15,
54936,1,2,2,1,3,7,0,0,0,10,10000
55147,1,1,1,12,2,6,10,1500,0,50,
55147,3,1,1,12,2,6,10,1500,0,50,
55205,1,1,1,12,33,7,50,0,50000,50,3000000
55338,1,1,1,12,7,1,55,70000,20000,20,200000
55342,2,1,1,12,2,7,48,3400,3400,50,20000
55362,3,2,1,12,3,1,25,5000,0,80,50000
56074,5,1,2,5,3,8,40,0,0,33,
56080,1,1,2,6,2,8,50,0,14600,50,40000
56500,1,1,1,12,2,7,40,28000,0,50,100000
56572,3,1,1,12,2,7,50,8000,0,40,5000
56577,3,1,2,6,2,7,60,3000,0,50,100000
56608,1,1,1,12,15,1,50,25000,0,11,20000
56656,1,1,1,12,3,7,60,0,0,50,200000
56658,1,1,1,12,5,7,48,0,0,25,400000
57337,2,1,1,12,8,1,50,26000,0,50,250000
57550,1,1,1,12,2,7,50,30000,30000,50,50000
57557,2,1,1,12,2,8,36,0,0,50,50000
58225,1,2,1,12,6,8,2,0,4000,1,200000
91059,2,1,2,6,6,6,70,2000,0,25,70000
91089,1,1,1,12,11,4,48,16000,0,9,50000
101037,1,2,1,12,3,6,4,100000,100000,20,1000000
104005,2,1,1,12,10,7,50,20000,0,50,
107075,1,1,1,12,12,1,50,20000,0,8,2000
116027,1,1,1,12,37,2,57,0,0,50,30000
118012,1,2,1,12,5,7,30,5000,10000,50,200000
118012,4,1,1,12,5,7,30,5000,10000,50,200000
121034,1,1,1,12,5,7,40,22000,0,20,20000
121079,1,2,1,12,3,6,40,2400,0,33,30000
127082,1,1,1,12,4,1,44,0,0,50,200000
127082,2,1,1,12,4,1,40,0,0,10,40000
135061,1,1,1,12,2,7,45,24000,0,50,50000
135063,1,1,1,12,4,8,50,16800,0,50,50000
138571,1,1,1,12,3,7,40,36000,0,33,
141019,1,1,1,12,151,4,2,500,0,33,1000000
144010,1,1,1,12,4,6,44,0,24000,50,250000
146036,3,1,1,12,9,7,48,35000,0,33,500000
147068,3,1,1,12,2,7,50,21600,0,50,65000
152045,1,1,1,12,2,8,45,0,35000,50,50000
167079,3,1,1,12,2,8,,0,0,50,
174058,2,1,1,12,30,1,28,0,80000,50,2500000
177021,2,1,2,10,5,1,60,800,0,20,
184046,1,1,1,12,3,7,40,0,16000,50,50000
185039,1,1,1,12,2,8,75,30000,27000,50,
186048,1,1,1,12,5,1,45,60000,50000,35,1600000
186054,1,1,1,12,2,7,60,15000,0,50,500000
186054,2,1,1,12,2,7,60,15000,0,50,500000
187050,1,1,2,8,4,1,40,20000,0,25,100000
190007,1,1,1,12,2,8,50,22000,0,50,200000
192001,1,2,2,3,2,7,50,0,40000,50,500000
193004,2,2,1,12,2,6,10,8000,8000,50,40000
193040,1,1,1,12,11,7,60,23000,2300,40,65000
193040,2,1,1,12,11,7,48,6000,6000,10,10000
193044,1,1,1,12,10,7,70,0,27000,75,350000
193044,2,1,1,12,10,7,48,0,13500,25,100000
194004,1,1,1,12,2,1,40,0,0,33,7000
194050,1,1,1,12,12,7,55,30000,0,20,80000
199004,1,1,1,12,2,8,48,0,12000,50,0
199063,1,1,1,12,4,1,16,4800,4800,15,
199085,1,2,1,12,2,8,15,8000,8000,50,0
201036,2,1,1,12,2,7,35,10000,10000,50,5000
202179,2,1,1,12,3,8,50,19800,1000,50,50000
202579,1,1,1,12,2,1,60,32000,0,40,80000
205005,1,1,1,12,2,7,80,9000,9000,50,50000
205005,2,1,1,12,2,7,60,9000,9000,50,50000
205026,1,1,1,12,5,1,50,10000,10000,20,6000
208066,1,1,2,4,4,7,48,8000,0,33,125000
213559,2,1,1,12,4,6,45,20000,2000,25,35000
215018,2,1,2,10,2,8,3,3000,0,50,
215052,1,1,2,4,4,7,55,0,0,25,
215052,1,1,2,7,2,8,55,7800,0,50,10000
217025,1,1,1,12,11,7,55,0,40000,30,200000
217025,2,1,1,12,11,7,30,0,25000,20,150000
219030,2,1,1,12,20,1,80,0,0,30,100000
220056,3,1,1,12,27,6,1,700,0,50,150000
220090,2,1,1,12,2,7,40,800,0,50,150000
220090,3,1,1,12,2,7,40,800,0,50,150000
229043,1,1,1,12,6,7,60,30000,0,50,300000
241068,1,1,1,12,2,6,54,20000,0,50,150000
243043,1,1,1,12,4,7,50,19500,0,50,
244027,3,1,1,12,4,6,40,7000,0,10,10000
255031,1,2,1,12,2,8,15,0,25000,50,700000
255035,2,1,1,12,5,7,72,60000,0,50,250000
257138,1,1,1,12,5,1,50,50000,0,30,500000
257332,1,1,1,12,3,7,40,12000,12000,50,150000
257336,2,1,1,12,2,8,60,0,15000,20,
257528,2,2,1,12,3,1,1,0,0,25,
261031,1,1,1,12,2,1,40,18000,0,50,8000
262061,1,1,1,12,3,7,40,0,0,50,
265082,2,2,1,12,2,6,0,0,5000,30,5000
268003,1,1,2,10,2,8,,12000,0,50,200000
268012,1,1,1,12,5,7,90,20000,0,5,25000
268012,6,1,1,12,5,7,60,20000,0,45,225000
268047,1,2,1,12,6,1,40,29000,27000,10,150000
270072,1,2,2,1,7,6,0,0,1500,30,30000
274087,1,1,1,12,3,7,50,18000,0,33,
276030,2,1,1,12,2,7,65,25000,0,50,80000
276041,2,1,1,12,4,7,35,22000,0,50,150000
276071,1,1,1,12,3,7,60,25000,0,50,200000
278076,1,1,1,12,7,6,99,0,0,25,1500000
278076,2,1,1,12,7,6,90,0,0,25,1500000
287057,1,1,1,12,5,1,60,18000,0,40,100000
293542,1,2,2,1,3,7,0,0,300,2,
293542,5,2,2,1,3,7,0,0,300,2,
295027,1,1,1,12,8,7,50,18000,10000,35,1800000
295075,1,1,1,12,6,1,70,26000,62000,50,1500000
298001,1,2,1,12,4,1,48,0,25000,25,100000
303057,2,1,1,12,19,4,32,22100,0,1,
305019,1,1,2,6,2,1,20,0,0,50,
307026,1,1,1,12,5,7,40,30000,0,50,100000
310013,1,1,1,12,3,6,50,26000,0,30,160000
320029,2,1,1,12,4,8,30,6000,10000,25,20000
320031,2,1,1,12,2,7,80,0,0,50,80000
321067,2,1,1,12,8,1,55,55000,0,50,100000
322005,1,2,1,12,20,7,0,0,15000,16,350000
322005,3,2,1,12,20,7,0,0,15000,16,350000
322037,1,1,1,12,6,7,48,0,40000,30,400000
322059,1,1,1,12,2,7,60,15000,0,50,
322059,2,1,1,12,2,7,60,15000,0,50,
323051,2,1,1,12,2,7,40,20000,0,50,60000
324343,1,1,1,12,2,6,70,0,200000,50,500000
324434,3,1,1,12,40,1,35,19500,0,2,
325009,1,1,1,12,3,6,4,0,0,20,30000
325076,2,2,1,12,3,7,6,3000,0,50,80000
328084,1,1,1,12,3,7,50,30000,0,33,20000
330073,1,1,1,12,2,7,40,15000,15000,50,50000
332042,1,1,2,9,5,7,40,9000,0,20,0
332080,1,1,1,12,4,8,40,24000,0,25,6000
335004,1,1,1,12,2,8,50,0,24000,50,
335048,1,1,1,12,20,1,52,35000,0,5,10000
336058,1,1,1,12,5,7,60,40000,0,25,
337085,1,2,1,12,3,7,15,0,0,50,100000
338013,1,1,1,12,5,6,60,6000,0,10,10000
338013,2,1,1,12,5,6,60,6000,0,40,40000
341054,1,1,1,12,2,1,40,6000,0,50,50000
346057,1,1,1,12,2,1,60,54000,0,50,0
346073,1,1,1,12,4,8,65,40000,0,25,40000
346082,1,1,1,12,2,6,60,0,35000,45,135000
346082,2,1,1,12,3,7,20,0,10000,23,23000
354042,1,2,1,12,10,1,10,0,0,33,40000
357028,1,1,1,12,2,6,55,10100,14000,50,250000
367010,1,2,1,12,12,7,18,0,15600,8,10000
373013,1,2,2,4,15,8,,500,0,6,
378002,1,1,1,12,3,6,40,24000,0,34,6000
383025,1,1,1,12,2,7,12,0,3000,25,300000
383033,1,1,1,12,2,7,10,12000,10000,50,50000
385012,1,1,1,12,7,7,60,26400,0,33,160000
