NQUEST,NORD,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
34,1,1,1991,3600,13,2,0,70
38,1,2,1967,620,13,2,0,
38,1,3,1995,810,11,2,0,
123,7,1,1974,650,13,2,0,
123,7,3,1991,90,13,2,0,
325,1,3,1981,1450,13,2,0,
375,1,1,1990,650,13,2,0,40
375,2,1,1985,650,13,2,0,
424,1,5,1988,1800,13,2,0,70
424,1,3,1990,30,13,2,0,
465,1,12,1988,230,13,2,0,
474,1,5,1963,856,13,2,0,60
474,1,3,1975,36,13,2,0,
629,1,3,1983,440,13,2,0,
633,1,8,1986,2000,13,2,0,92
633,2,1,1992,600,13,2,0,45
686,1,5,1976,1500,13,2,0,90
686,1,3,1969,200,13,2,0,
686,1,1,1969,300,13,2,0,
701,2,5,1989,1100,13,2,0,60
824,1,2,1973,600,13,2,0,
824,2,2,1970,600,13,2,0,
824,2,3,1981,139,13,2,0,
923,1,3,1994,630,13,2,0,
1120,3,1,1957,1153,13,2,0,60
1120,3,3,1993,1384,13,2,0,
1137,1,1,1963,900,13,2,0,85
1137,2,4,1993,320,13,2,0,
1361,1,1,1988,4800,13,2,0,75
1361,1,13,1988,600,13,2,0,
1361,2,1,1989,2000,13,2,0,100
1361,2,13,1989,380,13,2,0,
1367,1,1,1982,600,13,2,0,
1367,2,4,1986,420,13,2,0,
1387,1,1,1980,1000,13,2,0,90
1387,2,1,1983,1000,13,2,0,90
1391,1,2,1976,400,12,2,0,
1492,1,1,1965,1250,13,2,0,80
1492,2,4,1991,250,13,2,0,
1742,1,5,1993,1100,12,2,0,90
1759,1,4,1980,600,12,2,0,
1762,1,1,1988,1200,13,2,0,80
1817,1,1,1985,1500,13,2,0,80
1817,2,1,1979,800,13,2,0,
1927,1,3,1993,1050,13,2,0,
1946,1,11,1976,332,13,2,0,
1946,2,9,1985,1200,13,2,0,
1953,1,1,1989,2200,13,2,0,
1953,2,4,1986,630,13,2,0,
1988,1,9,1993,930,13,2,0,
1989,2,1,1986,1300,13,2,0,75
2178,2,1,1985,800,13,2,0,50
2178,3,1,1985,800,13,2,0,50
2274,1,1,1958,650,13,2,0,
2274,2,1,1967,650,13,2,0,
2485,1,3,1974,600,13,2,0,
2577,1,1,1968,1300,13,2,0,70
2875,1,8,1972,1700,13,2,0,90
2875,2,1,1976,650,13,2,0,100
2963,1,1,1986,1150,13,2,0,50
2963,2,1,1987,700,13,2,0,
3203,1,1,1986,1650,13,2,0,85
3389,1,1,1974,1500,13,2,0,70
3389,2,4,1986,350,13,2,0,
3663,1,8,1985,2000,13,1,12650,85
3717,2,8,1970,1400,13,2,0,
3717,3,9,,1100,13,2,0,
3905,1,1,1989,2300,13,2,0,90
4236,1,1,1964,580,13,2,0,
4238,1,1,1986,800,13,2,0,
4238,1,14,1991,1300,13,2,0,
4238,2,4,1983,360,13,2,0,
4266,1,1,1992,1350,13,2,0,80
4266,3,4,1994,375,13,2,0,
4266,4,3,1972,1100,13,2,0,
4297,2,1,1969,1300,13,2,0,80
4297,2,2,1974,216,12,2,0,
4297,2,1,1969,70,12,2,0,
4507,1,8,1987,1700,13,2,0,94
