NQUEST,TIPOIMM,QUOPRO,SUPAB,VALABIT,AFFITTO,AFFEFF,POSS,ANPOSS,MUTUOVEN,NOMUTUO,DONATO
20839,2,12,,320000,2,0,3,1990,0,1,1
20839,3,12,,320000,2,0,3,1990,0,1,1
20849,2,50,100,130000,2,0,3,1993,0,1,1
20849,2,50,100,70000,2,0,3,1993,0,1,1
21481,2,50,85,60000,2,0,2,1985,0,1,1
22525,2,100,80,,2,0,1,,0,1,1
23951,2,20,250,800000,2,0,3,1994,0,1,1
24979,2,100,120,200000,2,0,5,1972,0,1,1
25625,3,50,70,40000,2,0,3,1978,0,1,1
25917,3,100,360,270000,2,0,2,1982,0,1,1
26326,1,100,50,150000,2,0,1,1978,0,1,1
26592,1,100,145,160000,2,0,2,1975,0,1,1
27516,4,20,,40000,2,0,3,1978,0,1,1
31577,1,100,35,100000,2,0,1,1990,0,1,1
31752,3,75,50,55000,1,220,3,1992,0,1,1
32649,2,100,100,50000,2,0,1,1981,0,1,1
32681,2,100,220,350000,2,0,3,1961,0,1,1
32709,5,100,,90000,2,0,1,1990,0,1,1
32936,5,50,,80000,2,0,1,1972,0,1,1
33882,1,100,85,80000,2,0,4,1980,0,1,1
34216,3,100,,50000,2,0,5,1983,0,1,1
34264,3,50,17,10000,2,0,3,1995,0,1,1
34631,4,100,,1700,2,0,4,1980,0,1,1
34825,1,100,100,150000,2,0,1,1985,0,1,1
34862,2,50,80,170000,2,0,1,1986,40000,,1
34927,2,15,90,100000,2,0,4,1975,0,1,1
35371,2,100,150,150000,2,0,5,1981,0,1,2
35643,3,33,50,160000,1,5000,3,1969,0,1,1
35742,1,100,40,120000,2,0,1,1991,90000,,1
36067,3,16,50,30000,2,0,3,1993,0,1,2
36113,4,100,,10000,2,0,1,1980,0,1,1
37892,4,100,,,2,0,3,1979,0,1,1
38144,3,50,15,12000,2,0,3,1995,0,1,1
38567,1,100,75,150000,2,0,1,1970,0,1,1
38587,3,50,180,120000,2,0,2,1990,0,1,1
39496,2,50,50,15000,2,0,3,1985,0,1,1
39802,4,100,,24000,2,0,4,1970,0,1,1
50714,2,100,120,50000,2,0,3,1988,0,1,2
50714,4,100,,300,2,0,3,1988,0,1,2
51078,1,100,55,40000,2,0,1,1988,0,1,1
52538,4,100,,3000,2,0,1,,0,1,1
52671,1,100,100,80000,2,0,2,1966,0,1,1
52968,3,33,130,90000,2,0,2,1986,0,1,1
53564,2,100,100,60000,2,0,2,1983,0,1,1
54635,1,100,87,235000,2,0,1,1986,0,1,1
54723,1,100,120,350000,2,0,2,1985,0,1,1
55196,4,100,,35000,2,0,3,1992,0,1,1
55308,1,100,75,100000,2,0,5,1959,0,1,2
55308,2,100,120,150000,2,0,5,1959,0,1,2
55308,2,100,60,50000,2,0,5,1959,0,1,2
55367,4,100,,60000,2,0,3,1990,0,1,1
56458,2,50,130,35000,2,0,1,1970,0,1,1
57620,2,100,50,55000,2,0,1,1982,0,1,1
57627,5,25,,30000,2,0,3,1986,0,1,1
58081,2,100,60,98000,2,0,4,1985,0,1,1
91029,5,50,,20000,2,0,3,1994,0,1,1
101087,2,100,65,70000,2,0,2,1983,0,1,1
104083,4,100,,8000,2,0,3,1987,0,1,1
105029,2,100,120,100000,2,0,5,1970,0,1,1
133017,1,100,120,275000,2,0,2,1975,0,1,1
135032,5,50,,230000,2,0,1,,0,1,1
138111,2,100,110,330000,2,0,5,1969,0,1,1
138385,2,100,50,130000,2,0,1,1990,50000,,1
138630,2,100,65,250000,2,0,1,1979,0,1,1
183068,2,100,200,200000,2,0,1,1988,0,1,2
186073,1,100,100,240000,2,0,1,1985,0,1,1
192001,3,50,400,180000,1,10000,2,1985,0,1,1
202179,2,50,100,200000,2,0,2,1974,0,1,2
213404,1,100,40,60000,2,0,1,1980,0,1,1
213433,1,100,65,70000,1,2400,3,1994,0,1,1
213445,5,25,,15000,2,0,3,1991,0,1,1
215016,2,50,140,275000,2,0,5,1965,0,1,1
216049,2,70,180,150000,2,0,2,1979,0,1,1
220023,2,50,60,80000,2,0,1,1982,0,1,1
220065,4,100,,100000,2,0,3,1985,0,1,1
245051,1,33,130,70000,2,0,3,1993,0,1,1
246086,3,83,170,35000,2,0,5,1980,0,1,1
246086,4,83,,10000,2,0,2,1972,0,1,1
246086,2,83,300,150000,2,0,5,1969,0,1,1
270071,2,100,120,150000,2,0,1,1990,25000,,2
270071,2,100,150,200000,2,0,1,1976,25000,,2
286089,2,50,90,250000,2,0,3,1967,0,1,2
304048,3,100,50,65000,1,300,3,1978,0,1,1
324151,2,100,30,35000,2,0,1,1992,0,1,1
324451,2,100,35,23000,2,0,6,1978,0,1,1
336066,1,100,100,65000,2,0,5,1989,0,1,1
337019,2,100,60,150000,2,0,2,1990,0,1,1
341032,2,100,90,250000,2,0,3,1978,0,1,1
346057,2,100,120,400000,2,0,5,1980,0,1,1
354047,3,20,30,70000,2,0,3,1994,0,1,1
367024,1,100,55,65000,2,0,3,1993,0,1,1
384020,3,100,100,100000,2,0,3,1985,0,1,1
