NQUEST,NORD,SEX,PARENT,ANASC,MOTENT,NORDP,STACIV,STUDIO,TIPODIP,TIPOLAU,SALUTE,CRONIC,INVALID,APQUAL,ASNONOC,APSETT,INTPER,NCOMP,ETA,IREG,AREA5,AREA3,ACOM4C,CLETA,NPERC,PESOFL,NASCREG,NASCAREA
25,1,1,1,1952,,1,1,5,2,,4,2,2,4,,9,1,5,43,16,4,3,2,3,2,2.0427751909,16,3
25,2,2,2,1954,,2,1,5,2,,4,2,2,3,,9,,5,41,16,4,3,2,3,2,2.0427751909,16,3
25,3,2,3,1978,,3,2,3,,,4,1,2,17,,,,5,17,16,4,3,2,1,2,2.0427751909,16,3
25,4,2,3,1983,,4,2,2,,,4,1,2,17,,,,5,12,16,4,3,2,1,2,2.0427751909,16,3
25,5,2,3,1984,,5,2,2,,,4,1,2,17,,,,5,11,16,4,3,2,1,2,2.0427751909,16,3
34,1,1,1,1943,,1,1,8,,3,5,2,2,15,5,9,1,4,52,8,2,1,2,4,2,0.4559066187,8,1
34,2,2,2,1944,,2,1,7,,9,5,2,2,3,,9,2,4,51,8,2,1,2,4,2,0.4559066187,8,1
34,3,1,3,1971,,3,2,5,2,,5,2,2,17,,,,4,24,8,2,1,2,1,2,0.4559066187,8,1
34,4,1,3,1973,,4,2,5,2,,5,2,2,17,,,,4,22,8,2,1,2,1,2,0.4559066187,8,1
38,1,2,1,1927,,2,4,2,,,2,1,1,16,,,1,1,68,8,2,1,2,5,1,0.5426882924,8,1
123,1,1,1,1940,,1,1,2,,,3,1,2,8,,1,1,7,55,18,4,3,1,4,4,0.4319463992,18,3
123,2,2,2,1946,,2,1,1,,,3,2,2,13,,,,7,49,18,4,3,1,3,4,0.4319463992,18,3
123,3,1,3,1968,,3,2,3,,,5,2,2,8,,2,,7,27,18,4,3,1,1,4,0.4319463992,18,3
123,4,1,3,1971,,4,2,3,,,5,2,2,1,,3,,7,24,18,4,3,1,1,4,0.4319463992,18,3
