IREG,NQUEST,NCOMP,QUEST,MATRINT,INC1,TINCRIM,INC2,TINCRAF,DEC1,TDECRIM,DEC2,TDECRAF,STUPCF,STUMCF,STUPCO,STUMCO,CONPCF,CONMCF,CONPCO,CONMCO,SETPCF,SETMCF,SETPCO,SETMCO,ANAPCF,ANAMCF,ANAPCO,ANAMCO,VITPCF,VITMCF,VITPCO,VITMCO,VITFCF,VITFCO,NFRATCF,NFRATCO,NSORECF,NSORECO,FIGLICF,FIGLICO,NFIGLIFC,NQUESTP
16,25,5,3,15435D,,,,,2,0,2,0,3,3,2,2,2,9,8,9,3,,1,,1927,1931,1914,1913,1,1,2,1,1,1,1,1,0,0,2,2,,
8,34,4,3,20437Q,,,,,,,,,5,3,5,3,6,9,5,9,4,,4,,1913,1922,1911,1921,2,1,2,2,1,1,1,0,3,1,2,2,,
8,38,1,3,20437Q,,,,,2,0,1,12000,1,1,,,1,1,,,,,,,1904,1905,,,2,1,,,1,,1,,0,,1,,1,
18,123,7,3,15994E,1,70000,2,0,,,,,1,1,1,1,8,8,1,8,1,1,2,1,1905,,1904,1921,2,,2,1,1,1,4,2,2,0,2,2,,
18,126,4,3,15994E,,,,,,,,,2,1,2,1,8,9,1,9,4,,4,,1907,1915,1913,1919,2,2,2,1,1,1,1,0,5,3,2,2,,
18,173,4,3,18832N,,,,,,,,,2,2,2,2,2,7,2,9,4,4,4,,1923,1927,1921,1924,2,1,2,1,1,1,1,0,7,1,2,2,,
18,304,3,3,18832N,,,,,,,,,2,1,1,1,1,1,1,1,1,1,2,1,1920,1921,1938,1940,1,1,1,1,1,1,3,0,3,2,2,2,,
8,325,2,3,17851Q,,,,,,,,,1,1,,,1,1,,,1,1,,,1911,1918,,,1,2,,,1,,0,,1,,2,,,
16,375,2,3,18141Z,,,,,,,,,,,3,1,,,1,9,,,3,,,,1892,1893,2,2,2,2,1,1,2,0,0,3,1,1,2,
16,376,4,3,18141Z,,,,,,,,,2,2,2,2,2,9,8,9,3,,,,1908,1916,1917,1921,2,2,1,2,1,1,1,1,0,1,2,2,,
9,424,1,3,17708H,,,,,,,,,2,3,,,2,,,,3,,,,1900,1900,,,2,2,,,1,,2,,4,,1,,1,
8,465,4,3,17851Q,,,,,,,,,2,2,2,2,8,,8,,1,1,1,2,1930,1930,1928,1933,1,1,1,1,2,1,,0,,1,2,2,,
8,474,1,3,17851Q,,,,,,,,,1,1,,,,,,,1,1,,,1888,1888,,,2,2,,,1,,1,,2,,1,,5,
8,558,3,3,15604X,,,,,,,,,3,2,,,1,1,,,4,1,,,1926,1929,,,1,1,,,1,,0,,1,,2,,,
8,561,4,3,15604X,,,,,2,0,2,0,1,1,1,1,1,1,8,8,1,1,1,1,1911,1913,1911,1910,1,1,2,2,2,1,,1,,1,1,1,1,
5,629,3,3,18777E,,,,,,,,,,2,,,,1,,,,1,,,,1915,,,3,1,,,2,,,,,,2,,,
5,632,4,3,18777E,,,,,,,,,2,2,2,2,2,9,8,8,,,,,1911,1916,1923,1930,2,2,2,1,1,1,6,1,2,1,2,2,,
5,633,2,3,18777E,,,,,,,,,2,2,1,2,1,9,8,9,2,,1,,1892,1896,1884,1889,2,2,2,2,1,1,1,1,2,3,1,1,2,
4,686,1,3,10957X,,,,,,,,,3,2,,,8,9,,,4,,,,1881,1889,,,2,2,,,1,,1,,0,,1,,1,
4,701,3,3,10957X,,,,,,,,,2,2,2,,1,9,2,9,3,,3,,1902,1905,1913,1913,2,1,1,2,1,2,0,,5,,2,2,,
5,823,4,3,15908Y,2,0,2,0,,,,,2,3,2,2,1,9,1,9,1,,,,1928,1930,1928,1929,1,1,1,1,1,1,0,0,2,2,2,2,,
5,824,2,3,15908Y,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,2,2,,,1,,0,,1,,2,,,
13,905,4,3,15525F,,,,,,,,,2,2,2,2,1,9,1,9,1,,4,,1926,1930,1927,1938,1,1,1,1,1,1,1,0,1,1,2,2,,
13,912,4,3,15525F,,,,,,,,,2,2,3,2,1,9,8,9,3,,2,,1922,1921,1938,1939,2,1,1,1,1,1,5,2,0,1,2,2,,
13,923,2,3,19960B,,,,,2,0,2,0,2,1,,,1,9,,,3,,,,1895,1900,,,2,2,,,1,,2,,0,,1,,3,
6,1084,4,3,15236M,,,,,,,,,1,1,4,2,1,9,2,9,4,,3,,1918,1912,1922,1924,1,1,1,1,2,1,,0,,2,2,2,,
16,1120,5,3,18141Z,,,,,,,,,4,4,4,3,5,3,2,9,4,3,3,,1913,,1909,1915,2,,2,2,2,1,,2,,1,2,2,,
18,1137,2,3,17012A,,,,,,,,,1,1,1,1,8,9,1,9,1,,,,1884,,1896,1898,2,2,2,2,1,1,0,3,3,5,1,1,11,
15,1238,4,3,17469Z,,,,,2,0,1,5000,2,1,1,2,8,9,8,9,1,,,,1905,1905,1902,1910,2,2,2,2,1,1,1,5,1,2,2,2,,
18,1361,3,3,15994E,,,,,,,,,4,3,4,2,2,9,4,9,4,,4,,1896,1902,1900,1902,2,2,2,2,1,1,3,2,6,2,1,1,1,
18,1367,2,3,15994E,,,,,,,,,2,2,1,1,2,9,1,1,3,,1,1,1901,1907,,1908,2,2,2,1,1,1,1,0,1,2,1,1,3,
18,1371,5,3,15994E,,,,,,,,,1,1,2,1,1,9,8,9,2,,4,,1926,1928,1926,1926,2,1,1,1,1,1,1,2,1,1,2,2,,
16,1387,2,3,17326R,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2,2,2,2,1,1,1,2,2,1,1,1,1,
16,1391,1,3,17326R,,,,,,,,,1,1,,,1,9,,,1,,,,,1905,,,2,1,,,1,,1,,1,,2,,,
5,1492,2,3,15908Y,,,,,,,,,2,2,2,2,8,8,8,8,1,1,1,1,,,,,2,2,2,2,2,2,,,,,1,1,1,
17,1742,4,3,19206C,,,,,,,,,2,2,2,1,1,9,8,9,2,,4,,1906,1910,1909,1915,1,2,1,1,1,1,5,4,1,4,2,2,,
17,1750,1,3,19206C,,,,,2,0,2,0,2,2,,,8,9,,,4,,,,1898,1899,,,2,2,,,1,,0,,4,,2,,,
17,1759,1,3,19206C,,,,,,,,,1,1,,,1,9,,,1,,,,1889,1892,,,2,2,,,2,,,,,,1,,2,
17,1762,1,3,19206C,,,,,,,,,2,2,,,1,9,,,2,,,,1916,1918,,,2,2,,,2,,,,,,2,,,
17,1763,4,3,19206C,,,,,,,,,1,1,2,1,1,9,1,9,1,,1,,1910,1915,1920,1922,2,1,1,1,1,1,2,1,1,1,2,2,,
8,1817,2,3,15604X,,,,,,,,,2,2,2,1,2,9,1,1,1,,1,1,1901,1900,1897,1903,2,2,2,2,2,1,,1,,1,1,1,2,
8,1826,2,3,15604X,,,,,,,,,2,1,2,2,8,1,1,8,4,1,4,4,1900,1899,1896,1900,2,2,2,2,1,1,0,2,1,2,1,1,2,
5,1927,2,3,18827R,,,,,,,,,2,2,,,2,9,,,3,,,,1901,1904,,,2,1,,,1,,0,,2,,1,,1,
5,1946,6,3,13803M,,,,,,,,,3,2,,,4,9,,,3,,,,1919,,,,2,,,,1,,2,,3,,2,,,
5,1953,2,3,14987E,,,,,,,,,,,2,2,,,8,9,,,4,,,,1907,1906,3,3,2,2,1,1,4,2,2,1,1,1,2,
5,1988,1,3,13803M,,,,,,,,,2,2,,,5,9,,,3,,,,,,,,2,2,,,2,,,,,,1,,4,
5,1989,2,3,13803M,,,,,,,,,1,1,1,1,8,9,8,9,1,,1,,1906,1908,1897,1898,2,2,2,2,1,1,0,1,2,4,1,1,2,
9,2178,3,3,10023J,,,,,,,,,2,3,,,1,1,,,2,3,,,,,,,,,,,1,,1,,0,,2,,,
15,2274,3,3,19253A,,,,,,,,,1,1,1,1,8,8,8,8,1,1,1,1,1881,1886,1901,1906,2,2,2,2,1,1,4,5,0,2,1,1,1,
