NQUEST,NORD,CERC,MCERC1,MCERC2,MCERC3,MCERC4,MCERC5,MCERC6,MCERC7,MCERC8,MCERC9,MCERC10,MCERC11,OFFERTE,NOFFERTE,NRIFIUTI,NESPLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,DISOC,CASSINT,DIS1,DIS2,DIS3,DIS4,DIS5,DISTOT,DISTEL,ETAPEN,ETALAV2,NOMALAT,MALAT
25,1,2,,,,,,,,,,,,2,0,0,1,23,1,20,,2,2,,,,,,,,58,,2,30
25,2,2,,,,,,,,,,,,2,0,0,1,25,1,17,,2,2,,,,,,,,60,,2,20
25,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
34,1,2,,,,,,,,,,,,2,0,0,1,24,1,25,,2,2,,,,,,,,,,,
34,2,2,,,,,,,,,,,,2,0,0,1,23,1,32,,2,2,,,,,,,,60,,1,0
34,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
34,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
38,1,2,,,,,,,,,,,,2,0,0,2,14,1,7,,2,2,,,,,,,,,,,
123,1,2,,,,,,,,,,,,2,0,0,3,10,1,36,,2,2,,,,,,,,57,,1,0
123,2,2,,,,,,,,,,,,2,0,0,1,10,1,2,,2,2,,,,,,,,,,,
123,3,2,,,,,,,,,,,,2,0,0,1,14,1,5,,2,2,,,,,,,,65,,1,0
123,4,2,,,,,,,,,,,,2,0,0,1,17,1,7,,2,2,,,,,,,,65,,1,0
123,5,2,,,,,,,,,,,,2,0,0,1,21,1,1,,2,2,,,,,,,,65,,1,0
123,6,2,,,,,,1,,,,1,,2,0,0,0,,,,,,,,,,,,,,,,,
123,7,2,,,,,,,,,,,,2,0,0,1,8,1,30,,2,2,,,,,,,,,,,
126,1,2,,,,,,,,,,,,2,0,0,1,9,1,35,,2,2,,,,,,,,52,,1,0
126,2,2,,,,,,1,,,,,,2,0,0,1,14,1,8,,2,2,,,,,,,,,,,
126,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
126,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
173,1,2,,,,,,,,,,,,2,0,0,1,24,1,24,,2,2,,,,,,,,65,,1,0
173,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
173,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
173,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
304,1,2,,,,,,,,,,,,2,0,0,1,24,1,12,,2,2,,,,,,,,65,,1,0
304,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
325,1,2,,,,,,,,,,,,2,0,0,1,10,1,20,,2,2,,,,,,,,,,,
325,2,2,,,,,,,,,,,,2,0,0,2,16,1,20,,1,2,1,5,3,5,5,5,,65,30,1,0
375,1,2,,,,,,,,,,,,2,0,0,2,13,1,40,,2,2,,,,,,,,,,,
375,2,2,,,,,,,,,,,,2,0,0,1,26,1,16,,2,2,,,,,,,,,,,
376,1,2,,,,,,,,,,,,2,0,0,2,27,1,28,,2,2,,,,,,,,65,,1,0
376,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
376,3,2,,,,,,,,,1,,,1,2,2,0,,,,,,,,,,,,,,,,,
376,4,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
424,1,2,,,,,,,,,,,,2,0,0,2,14,1,47,,2,2,,,,,,,,,,,
465,1,2,,,,,,,,,,,,2,0,0,2,18,1,20,,2,2,,,,,,,,65,30,1,0
465,2,2,,,,,,,,,,,,2,0,0,2,18,1,20,,2,2,,,,,,,,60,30,1,0
465,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
474,1,2,,,,,,,,,,,,2,0,0,1,15,1,38,,2,2,,,,,,,,,,,
558,1,2,,,,,,,,,,,,2,0,0,2,10,1,20,,2,2,,,,,,,,65,37,1,0
558,2,1,,,,,,,,,,,,1,1,0,8,15,1,5,,1,2,3,1,1,1,2,2,,65,21,1,0
558,3,2,,,,,,,,,,,,2,0,0,1,17,1,2,,2,2,,,,,,,,60,,1,0
561,1,2,,,,,,,,,,,,2,0,0,3,22,1,22,,2,2,,,,,,,,70,46,1,0
561,2,2,,,,,,,,,,,,2,0,0,1,13,1,5,,2,2,,,,,,,,,,,
561,3,2,,,,,,,,,,,,2,0,0,2,24,1,2,,2,2,,,,,,,,70,26,1,0
561,4,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
629,1,2,,,,,,,,,,,,2,0,0,1,15,1,42,,2,2,,,,,,,,58,,1,0
629,2,2,,,,,,,,,,,,2,0,0,1,20,1,5,,2,2,,,,,,,,65,,1,0
629,3,2,,,,,,,,,,,,2,0,0,1,14,1,10,,2,2,,,,,,,,65,,1,0
632,1,2,,,,,,,,,,,,2,0,0,1,22,1,25,,2,2,,,,,,,,60,,2,30
632,2,2,,,,,,,,,,,,2,0,0,4,18,1,7,,1,2,5,4,4,4,4,4,,60,37,1,0
632,3,1,,,,,,,,,,,,1,1,0,1,19,1,0.6666666667,8,2,2,,,,,,,,60,,1,0
633,1,2,,,,,,,,,,,,2,0,0,1,25,1,36,,2,2,,,,,,,,,,,
633,2,2,,,,,,,,,,,,2,0,0,3,14,1,15,,2,2,,,,,,,,,,,
686,1,2,,,,,,,,,,,,2,0,0,2,15,1,35,,2,2,,,,,,,,,,,
701,1,2,,,,,,,,,,,,2,0,0,3,22,1,25,,2,2,,,,,,,,60,30,1,0
701,2,2,,,,,,,,,,,,2,0,0,1,19,1,20,,2,2,,,,,,,,,,,
701,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
823,1,2,,,,,,,,,,,,2,0,0,1,20,1,17,,2,2,,,,,,,,60,,2,30
823,2,2,,,,1,,,,,,,,2,0,0,2,16,1,6,,2,2,,,,,,,,,,,
824,1,2,,,,,,,,,,,,2,0,0,2,12,1,12,,2,2,,,,,,,,,,,
824,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
905,1,2,,,,,,,,,,,,2,0,0,3,15,1,23,,2,2,,,,,,,,57,21,1,0
905,2,2,,,,,,,,,,,,2,0,0,2,21,1,10,,1,2,3,3,3,4,2,2,,60,27,1,0
912,1,1,,,,,,,,,,,,2,0,0,1,16,1,15,,1,2,1,2,2,2,3,2,,,,,
912,2,2,,,,,,,,,,,,2,0,0,2,16,1,18,,1,1,3,3,2,2,3,2,,55,32,2,7
923,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
923,2,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
1084,1,2,,,,,,,,,,,,2,0,0,3,27,1,24,,2,2,,,,,,,,65,29,2,7
1084,2,2,,,,,,,,,,,,2,0,0,1,21,1,23,,2,2,,,,,,,,60,,2,4
1084,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
1120,1,2,,,,,,,,,,,,2,0,0,3,28,1,25,,2,2,,,,,,,,60,29,2,3
1120,2,2,,,,,,,,,,,,2,0,0,3,18,1,30,,2,2,,,,,,,,60,40,1,0
1120,3,2,,,,,,,,,,,,2,0,0,1,,,,,2,2,,,,,,,,,,,
1120,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
1137,1,2,,,,,,,,,,,,2,0,0,3,12,1,30,,2,2,,,,,,,,,,,
1137,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1238,1,1,,,,,,,,,,,,2,0,0,3,15,1,25,,2,1,4,4,3,4,4,3,,65,39,1,0
1238,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1238,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1238,4,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
1361,1,2,,,,,,,,,,,,2,0,0,2,19,1,40,,2,2,,,,,,,,,,,
