NQUEST,DEPBANC,DEPBANR,DEPPOSC,DEPPOSR,NDEPBANC,NDEPBANR,NDEPPOSC,NDEPPOSR,IDEPBANC,IDEPBANR,IDEPPOSC,IDEPPOSR,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,TAXCC,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,ASSBANE1,ASSBANE2,ASSBANE3,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BANCOMAT,NBANCOMA,NPREL1,PRELMED1,BANCOME1,BANCOME2,BANCOME3,PAGAM4U,PAGAM4,POSE1,POSE2,POSE3,CARTA,CARTE,PCARTE,NPAGCART,CARTEE1,CARTEE2,CARTEE3,MINCON,NPREL2,PRELMED2,PRELE1,PRELE2,PRELE3,VERSAM,NVERS,VERSMED,VERSE1,VERSE2,VERSE3,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,SCORTA,SPESECON
25,1,2,2,2,2,,,,2,,,,2,2,2,,,,1,,,,,,,6,,1,15000,1,4,,,,1,2,1,2,,,,,,,,,,1,2,,,,1,2,4,500,,,,1,0.25,,,,1,4,2,5,,,,50,2,1000,,,,1,8,1500,,,,1,1,1,2,2,10,80,10,0,0,500,2500
34,1,2,2,2,4,,,,4,,,,2,2,3,,1,,,,,,,1,,,6,1,25000,1,8,,,,1,2,2,1,,,,,,,,,,1,5,,,,1,2,2,300,,,,2,0,,,,2,0,0,,,,,200,3,1000,,,,1,3,2000,,,,1,1,1,2,2,19,80,1,0,0,500,4000
38,1,2,2,2,1,,,,1,,,,1,1,4,1,,,1,,,,,,,,6,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,0,4,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,50,0.0833333333,10000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,200,800
123,1,1,2,2,1,1,,,2,2,,,1,1,4,1,,,,,,,,,,,6,1,10000,1,6,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,0.25,2000,,,,1,7,2000,,,,1,2,1,2,2,50,0,50,0,0,1000,2000
126,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,300,1500
173,1,2,2,2,1,,,,2,,,,1,1,3,,,,,,1,,,,,,2,1,5000,1,5,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,2,500,,,,2,0,,,,2,0,0,,,,,200,5,500,,,,1,20,2000,,,,2,1,2,2,2,0,100,0,0,0,500,3500
304,2,2,2,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2,300,,,,1,12,1700,,,,1,2,2,2,2,100,0,0,0,0,600,1700
325,1,2,2,2,1,,,,1,,,,1,1,4,,,,,,1,,,,,,2,2,0,2,0,,,,2,2,2,2,0,0,0,1,0,0,1,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,2,500,,,,1,12,1000,,,,1,1,2,2,2,20,80,0,0,0,500,1000
375,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,700,1000
376,1,2,2,2,2,,,,2,,,,1,1,4,,,,,,,1,,,,7,,1,5000,1,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,2,5,200,,,,2,0,,,,1,1,1,0,,,,50,1,600,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,300,2000
424,1,2,2,2,1,,,,1,,,,1,1,3,,,,,,1,,,,,,3,1,1500,1,3,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,0,,,,,2,0,,,,2,0,0,,,,,200,1,500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,300,250
465,1,1,2,2,1,3,,,1,1,,,2,2,4,,,,,,1,,,,,7,,2,0,2,0,,,,2,2,2,2,0,0,0,0,0,0,1,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,800,1,2500,,,,2,0,,,,,1,1,2,2,2,90,10,0,0,0,500,2000
474,1,2,2,2,1,,,,1,,,,1,1,4,,1,,,1,,,,,,5,,2,0,1,1,,,,1,1,1,1,,,,,,,,,,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,50,2,500,,,,1,2,1500,,,,1,1,2,2,2,10,90,0,0,0,900,900
558,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,,4,2,0,1,0.4166666667,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,4,300,,,,2,0,,,,2,0,0,,,,,300,1,1600,,,,2,0,,,,,2,1,1,2,2,0,40,60,0,0,1000,2800
561,1,2,2,2,2,,,,3,,,,2,2,4,1,,,,,,,,,,,2,1,10000,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,1,1,1,0,,,,100,1,1000,,,,1,16,1500,,,,1,1,1,2,2,30,10,60,0,0,1000,1800
629,1,2,2,2,2,,,,3,,,,2,2,4,1,,,,,,,,,,,2,3,,2,0,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,1,1,1,500,,,,1,4,,,,2,0,0,,,,,100,0,,,,,2,0,,,,,2,2,1,2,2,0,0,100,0,0,800,1000
632,1,2,2,2,2,,,,3,,,,2,2,4,,,,,,,1,,,,,2,3,,1,1,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,2,2,300,,,,1,2,,,,2,0,0,,,,,400,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,400,2000
633,1,2,2,2,1,,,,2,,,,1,1,4,,1,,,,,,,,,,3,1,10000,1,3,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,1,1,0.5,,,,,2,0,,,,2,0,0,,,,,100,1,1000,,,,1,2,1500,,,,1,1,2,2,2,25,75,0,0,0,300,1200
686,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,6,2,0,1,1,,,,1,2,2,1,,,,,,,,,,2,0,,,,1,1,3,300,,,,2,0,,,,2,0,0,,,,,0,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,1000
701,1,1,2,2,1,1,,,2,1,,,1,1,4,1,,,,,,,,,,,3,2,0,2,0,,,,1,2,2,1,,,,,,,,,,2,0,,,,1,1,5,500,,,,2,0,,,,2,0,0,,,,,0,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,3000
823,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,4,2,0,1,,,,,2,2,1,2,0,0,0,0,0,0,0,0,2,2,0,,,,2,0,,,,,,,,,,,1,1,1,3,,,,1000,1,1000,,,,1,12,1500,,,,1,2,2,2,2,100,0,0,0,0,1000,800
824,1,1,2,2,1,1,,,2,2,,,1,1,4,1,,,,,,,,,,7,,3,,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,0,4,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,400,,,,1,3,1000,,,,1,2,2,2,2,100,0,0,0,0,500,1000
905,1,1,2,2,1,1,,,2,2,,,1,1,4,,,,,,1,,,,,5,,2,0,1,0.3333333333,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,5,300,,,,2,0,,,,2,0,0,,,,,400,0.1666666667,2000,,,,1,3,2000,,,,1,1,2,2,2,60,40,0,0,0,1500,1700
912,2,1,2,2,,1,,,,1,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0.25,400,,,,1,5,500,,,,1,2,1,2,2,30,0,70,0,0,600,1000
923,1,1,2,2,1,1,,,1,1,,,1,1,4,,1,,1,,,,,,,,6,1,3000,1,2,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,0.5,400,,,,1,6,1000,,,,1,1,2,2,2,75,25,0,0,0,500,600
1084,1,2,2,1,2,,,1,2,,,2,2,2,3,1,,,,,,1,,,,6,,1,2000,1,2,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,500,2,1500,,,,1,10,1000,,,,1,1,1,2,2,20,70,10,0,0,1800,3500
1120,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,12,,1,30000,1,10,,,,1,2,1,1,,,,,,,,,,1,10,,,,1,2,3,500,,,,1,2,,,,1,1,1,2,,,,1000,2,500,,,,1,12,2000,,,,2,1,1,2,2,0,70,30,0,0,1000,1500
1137,2,1,2,2,,1,,,,1,,,1,1,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1,300,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,1200,1000
1238,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,600,1200
1361,1,1,2,2,2,1,,,2,2,,,1,1,4,,,,,,,1,,,,,6,1,6000,1,15,,,,1,2,1,2,,,,,,,,,,1,2,,,,2,0,,,,,,,,,,,1,3,2,3,,,,500,0,,,,,1,2,2000,,,,2,1,2,2,2,0,100,0,0,0,600,5000
1367,2,1,2,2,,1,,,,1,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,1000,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,500,1000
1371,1,1,2,2,1,3,,,1,3,,,1,1,4,1,,,,,1,,,,,,2,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,500,1,1500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,800,1600
1387,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,1000,1500
1391,2,1,2,2,,1,,,,2,,,1,1,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,200,400
1492,2,1,2,2,,2,,,,2,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,700,,,,1,14,1000,,,,1,2,2,2,2,100,0,0,0,0,900,1700
1742,1,2,2,2,2,,,,1,,,,1,1,3,,,,,,,,,,1,,3,3,,2,0,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,1000,2,300,,,,1,7,300,,,,2,1,2,1,2,0,70,0,30,0,500,650
1750,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,1800,1800
1759,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,300,500
1762,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,0,0,0,100,0,600,300
