NQUEST,GIUDINT1,GIUDINT5,GIUDINT2,GIUDINT3,GIUDINT4
25,5,1,4,3,5
34,5,1,4,3,5
38,4,2,4,4,5
123,4,2,4,4,4
126,4,2,5,4,5
173,4,2,4,3,4
304,4,1,1,3,3
325,5,1,4,3,5
375,4,2,2,4,4
376,5,2,4,4,4
424,4,1,2,3,5
465,5,1,4,3,5
474,5,1,5,4,5
558,3,2,4,3,4
561,4,1,4,3,4
629,4,3,4,3,4
632,4,1,4,4,5
633,4,2,4,4,5
686,4,3,4,3,4
701,3,3,4,3,4
823,5,1,4,3,4
824,2,3,2,3,4
905,4,3,3,3,5
912,4,3,2,2,4
923,3,3,3,3,5
1084,5,1,2,3,4
1120,5,1,4,3,5
1137,2,2,2,3,5
1238,2,3,2,2,2
1361,5,2,4,3,5
1367,5,2,5,4,5
1371,4,1,4,4,5
1387,2,3,3,3,4
1391,3,3,2,3,4
1492,1,3,2,3,4
1742,2,3,1,2,1
1750,4,3,4,2,4
1759,4,4,4,4,4
1762,1,3,1,3,2
1763,2,3,3,3,2
1817,4,2,3,3,4
1826,3,3,3,3,4
1927,4,1,2,4,5
1946,5,1,4,4,5
1953,5,1,5,4,5
1988,4,3,4,4,4
1989,4,2,3,4,4
2178,4,1,4,3,5
2274,3,2,3,2,3
2447,4,2,5,4,5
2485,3,3,4,3,5
2577,2,3,1,3,4
2579,5,1,3,3,5
2866,4,2,4,3,5
2875,4,2,5,4,5
2886,5,2,5,4,5
2963,1,5,1,3,4
2970,2,2,3,2,4
3078,5,1,2,3,4
3166,4,2,4,3,5
3193,4,2,3,3,3
3203,4,1,4,3,4
3204,5,1,3,2,4
3299,3,2,5,3,5
3389,2,3,1,2,1
3663,4,1,4,4,5
3717,4,1,2,3,4
3905,2,2,2,2,3
4236,2,3,3,4,4
4238,1,3,2,3,3
4266,4,2,3,3,4
4297,4,2,2,3,5
4304,3,3,3,3,4
4370,5,1,4,3,4
4507,2,3,2,3,5
4704,3,2,3,4,5
