NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YC,YCR,YCR1,YCR2,YCR3,YCF,YCF1,YCF2,YCF3,YCF4
25,91968.398265,70000,70000,0,0,0,0,0,0,0,0,0,0,0,0,21968.398265,20400,0,6000,14400,1568.3982645,2306.6566935,5111.7415711,0,5850
34,120137.31327,29500,29500,0,46800,46800,46800,0,0,0,0,0,20000,20000,0,23837.313268,30000,0,0,30000,-6162.686732,337.31326795,0,0,6500
38,17648.549301,0,0,0,16970,16970,16970,0,0,0,0,0,0,0,0,678.54930105,0,0,0,0,678.54930105,678.54930105,0,0,0
123,64867.55949,12000,12000,0,9620,9620,9620,0,0,0,0,0,40000,54000,14000,3247.5594901,14400,0,0,14400,-11152.44051,547.55949009,0,0,11700
126,23800,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,0,0,4800,0,0,0,0,0
173,17571.091446,28000,26000,2000,0,0,0,0,0,0,0,0,0,0,0,-10428.90855,6026.2352306,0,0,6026.2352306,-16455.14378,184.85621543,0,0,16640
304,30136.899287,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,5136.8992868,4400,0,0,4400,736.89928681,736.89928681,0,0,0
325,61375.425154,0,0,0,18850,18850,18850,0,0,0,0,0,31000,31000,0,11525.425154,10200,0,0,10200,1325.4251544,1325.4251544,0,0,0
375,22866.030843,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,5966.0308435,5966.0308435,0,0,5966.0308435,0,0,0,0,0
376,45848.403761,35700,35000,700,0,0,0,0,0,0,0,0,0,0,0,10148.403761,10000,0,0,10000,148.40376075,148.40376075,0,0,0
424,60276.347183,0,0,0,23790,23790,23790,0,0,0,0,0,0,0,0,36486.347183,34440,0,25800,8640,2046.3471835,207.03645537,1839.3107281,0,0
465,40428.53924,30000,30000,0,3190,2990,2990,0,200,0,200,0,0,0,0,7238.5392398,6600,0,0,6600,638.53923984,496.72373772,0,141.81550211,0
474,40283.110669,0,0,0,14596,11596,11596,0,3000,0,0,3000,0,0,0,25687.110669,21000,0,0,21000,4687.1106695,331.47770942,4355.6329601,0,0
558,44098.663437,35500,35500,0,0,0,0,0,0,0,0,0,0,0,0,8598.6634367,7800,0,0,7800,798.66343666,123.88592811,674.77750854,0,0
561,83781.009355,0,0,0,0,0,0,0,0,0,0,0,73500,75000,1500,10281.009355,9000,0,0,9000,1281.0093553,1355.7354135,2265.2739418,0,2340
629,85526.18143,37000,37000,0,5720,5720,5720,0,0,0,0,0,27600,27600,0,15206.18143,9600,0,0,9600,5606.1814299,5606.1814299,0,0,0
632,63886.085258,39300,39300,0,0,0,0,0,0,0,0,0,0,0,0,24586.085258,16000,0,4000,12000,8586.0852583,183.2451787,8402.8400796,0,0
633,44547.735932,0,0,0,33800,33800,33800,0,0,0,0,0,0,0,0,10747.735932,8100,0,0,8100,2647.7359324,215.11230121,2432.6236311,0,0
686,32501.979027,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,6501.9790269,6000,0,0,6000,501.97902688,501.97902688,0,0,0
701,59189.678097,31200,31200,0,14300,14300,14300,0,0,0,0,0,0,0,0,13689.678097,9600,0,0,9600,4089.6780967,539.24210823,3550.4359885,0,0
823,54378.832662,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,24378.832662,21100,0,0,21100,3278.832662,3278.832662,0,0,0
824,33112.640208,0,0,0,17407,17407,17407,0,0,0,0,0,0,0,0,15705.640208,15300,0,0,15300,405.64020798,405.64020798,0,0,0
905,71298.926278,49000,49000,0,1000,0,0,0,1000,0,0,1000,0,0,0,21298.926278,21600,0,0,21600,-301.073722,576.45339195,1722.4728861,0,2600
912,23121.356516,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,8121.356516,7000,0,0,7000,1121.356516,82.473005877,1038.8835101,0,0
923,32073.572499,0,0,0,8190,8190,8190,0,0,0,0,0,0,0,0,23883.572499,23600,0,12000,11600,283.57249947,283.57249947,0,0,0
1084,94667.139494,51000,51000,0,0,0,0,0,0,0,0,0,7500,8000,500,36167.139494,30500,0,6500,24000,5667.139494,3418.433717,2248.7057771,0,0
1120,190494.19618,131600,130000,1600,42581,32981,32981,0,9600,9600,0,0,0,0,0,16313.196177,16000,0,0,16000,313.19617667,191.52698623,936.35701953,485.31217091,1300
1137,19490.133108,0,0,0,15860,15860,15860,0,0,0,0,0,0,0,0,3630.1331077,3600,0,0,3600,30.133107728,30.133107728,0,0,0
1238,27000,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,0,0,6000,0,0,0,0,0
1361,117257.7796,0,0,0,101140,101140,101140,0,0,0,0,0,0,0,0,16117.779603,15600,0,0,15600,517.77960269,517.77960269,0,0,0
1367,18918.010432,0,0,0,13260,13260,13260,0,0,0,0,0,0,0,0,5658.0104317,3850,0,0,3850,1808.0104317,8.8280250546,1799.1824066,0,0
1371,36252.831928,29000,29000,0,0,0,0,0,0,0,0,0,0,0,0,7252.8319284,6000,0,0,6000,1252.8319284,1252.8319284,0,0,0
1387,34000,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,8000,8000,0,0,8000,0,0,0,0,0
1391,7301.9580922,0,0,0,4800,4800,4800,0,0,0,0,0,0,0,0,2501.9580922,2400,0,0,2400,101.95809224,101.95809224,0,0,0
1492,22159.243175,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,2659.2431746,1760,0,0,1760,899.24317461,98.368541197,800.87463342,0,0
1742,49605.460237,31800,31800,0,13200,13200,13200,0,0,0,0,0,0,0,0,4605.4602366,4100,0,0,4100,505.46023661,505.46023661,0,0,0
1750,30050,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,10050,12000,0,0,12000,-1950,0,0,0,1950
1759,10800,0,0,0,7200,7200,7200,0,0,0,0,0,0,0,0,3600,3600,0,0,3600,0,0,0,0,0
1762,18000,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,2400,2400,0,0,2400,0,0,0,0,0
1763,34795.517343,28400,28400,0,0,0,0,0,0,0,0,0,0,0,0,6395.5173426,4800,0,0,4800,1595.5173426,1595.5173426,0,0,0
1817,34833.263147,0,0,0,29900,29900,29900,0,0,0,0,0,0,0,0,4933.2631466,0,0,0,0,4933.2631466,447.70172036,4485.5614263,0,0
1826,28524.584601,0,0,0,0,0,0,0,0,0,0,0,18000,18000,0,10524.584601,9000,0,1500,7500,1524.5846014,1524.5846014,0,0,0
1927,32748.079232,13000,13000,0,18600,13650,13650,0,4950,0,0,4950,0,0,0,1148.0792316,0,0,0,0,1148.0792316,83.752079459,1064.3271521,0,0
1946,40282.565638,20000,20000,0,19916,19916,19916,0,0,0,0,0,0,0,0,366.56563791,0,0,0,0,366.56563791,366.56563791,0,0,0
1953,47387.219541,0,0,0,36790,36790,36790,0,0,0,0,0,0,0,0,10597.219541,7200,0,0,7200,3397.2195405,411.67125241,2344.89318,640.65510809,0
1988,17566.37526,0,0,0,12090,12090,12090,0,0,0,0,0,0,0,0,5476.3752604,4800,0,0,4800,676.37526037,676.37526037,0,0,0
1989,20179.73009,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,3279.7300903,3000,0,0,3000,279.73009033,279.73009033,0,0,0
2178,56582.973568,17000,17000,0,20800,20800,20800,0,0,0,0,0,0,0,0,18782.973568,18000,0,0,18000,782.97356836,782.97356836,0,0,0
2274,33801.755461,10000,10000,0,16900,16900,16900,0,0,0,0,0,0,0,0,6901.7554609,6800,0,0,6800,101.75546092,101.75546092,0,0,0
2447,44794.954085,15000,15000,0,0,0,0,0,0,0,0,0,18000,20000,2000,11794.954085,11700,0,0,11700,94.954084873,94.954084873,0,0,0
2485,14211.209018,0,0,0,9300,7800,7800,0,1500,0,0,1500,0,0,0,4911.2090176,4800,0,0,4800,111.20901757,111.20901757,0,0,0
2577,16924.678331,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,24.678331178,0,0,0,0,24.678331178,24.678331178,0,0,0
2579,29300,29300,29300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2866,46801.28472,0,0,0,0,0,0,0,0,0,0,0,23500,24000,500,23301.28472,22900,0,0,22900,401.28472015,401.28472015,0,0,0
2875,61895.240089,22000,22000,0,30550,30550,30550,0,0,0,0,0,0,0,0,9345.2400887,4800,0,0,4800,4545.2400887,1519.5080413,3025.7320475,0,0
2886,51479.09089,44000,44000,0,625,0,0,0,625,0,625,0,0,0,0,6854.0908902,6000,0,0,6000,854.0908902,854.0908902,0,0,0
2963,33973.301598,0,0,0,24050,24050,24050,0,0,0,0,0,0,0,0,9923.301598,9300,0,0,9300,623.30159797,623.30159797,0,0,0
2970,30107.157631,0,0,0,0,0,0,0,0,0,0,0,25800,26000,200,4307.1576312,4100,0,0,4100,207.15763124,207.15763124,0,0,0
3078,73926.376408,0,0,0,0,0,0,0,0,0,0,0,71000,71000,0,2926.3764081,0,0,0,0,2926.3764081,2926.3764081,0,0,0
3166,47983.122696,38900,38900,0,0,0,0,0,0,0,0,0,0,0,0,9083.122696,8400,0,0,8400,683.12269604,683.12269604,0,0,0
3193,47844.162093,40550,40000,550,0,0,0,0,0,0,0,0,0,0,0,7294.1620928,7200,0,0,7200,94.162092812,94.162092812,0,0,0
3203,75192.69165,21000,21000,0,22020,21450,21450,0,570,570,0,0,0,0,0,32172.69165,13800,0,0,13800,18372.69165,668.61376585,7893.0858756,9810.9920083,0
3204,61180.423558,20000,20000,0,0,0,0,0,0,0,0,0,31000,31000,0,10180.423558,9600,0,0,9600,580.42355848,64.941355467,515.48220301,0,0
3299,72973.188991,66800,66800,0,0,0,0,0,0,0,0,0,0,0,0,6173.1889914,6000,0,0,6000,173.1889914,173.1889914,0,0,0
3389,25335.490898,0,0,0,24050,24050,24050,0,0,0,0,0,0,0,0,1285.4908976,1200,0,0,1200,85.490897598,85.490897598,0,0,0
3663,49924.36585,0,0,0,38650,38650,26000,12650,0,0,0,0,0,0,0,11274.36585,6000,0,0,6000,5274.3658504,598.92552977,4675.4403206,0,0
3717,44213.054085,0,0,0,32500,32500,32500,0,0,0,0,0,0,0,0,11713.054085,0,0,0,0,11713.054085,11713.054085,0,0,0
3905,42210.324651,0,0,0,29900,29900,29900,0,0,0,0,0,0,0,0,12310.324651,9600,0,0,9600,2710.3246511,328.96587924,2381.3587718,0,0
4236,7822.6106861,0,0,0,7540,7540,7540,0,0,0,0,0,0,0,0,282.61068611,0,0,0,0,282.61068611,282.61068611,0,0,0
4238,40799.228621,0,0,0,31980,31980,31980,0,0,0,0,0,0,0,0,8819.2286212,7200,0,0,7200,1619.2286212,1619.2286212,0,0,0
4266,61816.834921,0,0,0,36725,36725,36725,0,0,0,0,0,0,0,0,25091.834921,27000,0,3000,24000,-1908.165079,458.54205533,753.29286581,0,3120
4297,32850.966363,0,0,0,20332,20332,20332,0,0,0,0,0,0,0,0,12518.966363,12000,0,0,12000,518.96636264,518.96636264,0,0,0
4304,81010.625347,72506,72506,0,0,0,0,0,0,0,0,0,0,0,0,8504.6253475,14400,0,0,14400,-5895.374653,1177.8213714,2026.803976,0,9100
4370,78965.814849,51000,51000,0,0,0,0,0,0,0,0,0,3500,3500,0,24465.814849,24000,0,0,24000,465.81484854,546.06140579,0,1999.7534427,2080
4507,31773.070811,0,0,0,26780,26780,26780,0,0,0,0,0,0,0,0,4993.0708107,12124.455855,0,0,12124.455855,-7131.385045,668.61495541,0,0,7800
4704,12155.152519,0,0,0,10800,10800,10800,0,0,0,0,0,0,0,0,1355.152519,1300,0,0,1300,55.152518998,55.152518998,0,0,0
4730,21168.463226,0,0,0,0,0,0,0,0,0,0,0,17500,18000,500,3668.4632259,3600,0,0,3600,68.463225881,68.463225881,0,0,0
4732,21200,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,0,0,1200,0,0,0,0,0
4939,26823.640808,0,0,0,6500,6500,6500,0,0,0,0,0,12000,13000,1000,8323.6408084,7800,0,0,7800,523.64080841,523.64080841,0,0,0
4941,35050.046057,25700,25700,0,3000,0,0,0,3000,3000,0,0,0,0,0,6350.0460567,6000,0,0,6000,350.04605667,350.04605667,0,0,0
5027,20400,12000,12000,0,2400,2400,2400,0,0,0,0,0,0,0,0,6000,6000,0,0,6000,0,0,0,0,0
5028,21000,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5416,47056.278059,47000,47000,0,0,0,0,0,0,0,0,0,0,0,0,56.278058801,0,0,0,0,56.278058801,56.278058801,0,0,0
5686,33400,0,0,0,28600,28600,28600,0,0,0,0,0,0,0,0,4800,4800,0,0,4800,0,0,0,0,0
5697,42327.968187,0,0,0,0,0,0,0,0,0,0,0,32000,32000,0,10327.968187,9600,0,0,9600,727.96818693,727.96818693,0,0,0
5816,30788.756519,0,0,0,24635,24635,24635,0,0,0,0,0,0,0,0,6153.7565187,4800,0,0,4800,1353.7565187,48.094238028,1305.6622806,0,0
6013,10623.503859,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,1523.503859,1200,0,0,1200,323.50385897,323.50385897,0,0,0
6090,33415.276172,7000,7000,0,18798,18798,18798,0,0,0,0,0,0,0,0,7617.276172,7200,0,0,7200,417.27617201,417.27617201,0,0,0
6107,63680.534236,49400,49400,0,0,0,0,0,0,0,0,0,0,0,0,14280.534236,13200,0,0,13200,1080.5342358,1080.5342358,0,0,0
6110,105540.19233,36200,36200,0,26320,26320,26000,320,0,0,0,0,0,0,0,43020.192333,38000,0,0,38000,5020.1923327,5020.1923327,0,0,0
6501,30501.8138,29000,29000,0,0,0,0,0,0,0,0,0,0,0,0,1501.8137998,0,0,0,0,1501.8137998,161.15277953,1340.6610203,0,0
6522,21665.148545,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,665.14854511,0,0,0,0,665.14854511,665.14854511,0,0,0
7015,19662.057734,0,0,0,0,0,0,0,0,0,0,0,15000,20000,5000,4662.0577341,4294.8686535,0,0,4294.8686535,367.18908059,367.18908059,0,0,0
7016,12075.960159,0,0,0,9600,9600,9600,0,0,0,0,0,0,0,0,2475.960159,2400,0,0,2400,75.960159039,75.960159039,0,0,0
7089,54580.349657,0,0,0,19100,19100,19100,0,0,0,0,0,34600,35000,400,880.34965705,0,0,0,0,880.34965705,880.34965705,0,0,0
7091,48123.364902,20000,20000,0,23100,23100,23100,0,0,0,0,0,0,0,0,5023.364902,4800,0,0,4800,223.36490202,223.36490202,0,0,0
7097,32213.647386,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,7213.6473864,6000,0,0,6000,1213.6473864,218.42826406,995.21912234,0,0
7098,27739.900926,0,0,0,0,0,0,0,0,0,0,0,20000,20000,0,7739.9009255,7200,0,0,7200,539.90092552,539.90092552,0,0,0
7155,58596.616815,44140,44000,140,0,0,0,0,0,0,0,0,0,0,0,14456.616815,14400,0,0,14400,56.616815094,56.616815094,0,0,0
7160,49888.879305,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,42088.879305,37100,0,18100,19000,4988.8793054,1361.2083182,0,3627.6709871,0
7165,65667.051733,53200,52000,1200,0,0,0,0,0,0,0,0,0,0,0,12467.051733,12000,0,0,12000,467.05173324,467.05173324,0,0,0
7166,111559.28722,49960,49660,300,33800,33800,33800,0,0,0,0,0,0,0,0,27799.287216,27600,0,0,27600,199.28721572,1499.2872157,0,0,1300
7781,14146.500592,0,0,0,8060,8060,8060,0,0,0,0,0,0,0,0,6086.5005922,3304.2233565,0,0,3304.2233565,2782.2772357,871.20390269,1911.073333,0,0
7886,57851.911423,46800,45000,1800,0,0,0,0,0,0,0,0,0,0,0,11051.911423,12000,0,0,12000,-948.0885769,351.91142307,0,0,1300
7895,109713.16285,41610,40000,1610,0,0,0,0,0,0,0,0,50000,50000,0,18103.162848,18000,0,0,18000,103.16284799,103.16284799,0,0,0
8168,43570.287859,18200,18200,0,15600,15600,15600,0,0,0,0,0,0,0,0,9770.2878587,8400,0,0,8400,1370.2878587,625.6632588,744.62459986,0,0
8331,233336.65466,132000,132000,0,56000,56000,56000,0,0,0,0,0,0,0,0,45336.654661,36000,0,0,36000,9336.6546606,1381.71781,9016.5886768,3228.3481737,4290
8332,9169.6958588,0,0,0,9074,9074,9074,0,0,0,0,0,0,0,0,95.695858791,0,0,0,0,95.695858791,95.695858791,0,0,0
8481,10555.105018,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,555.10501796,360,0,0,360,195.10501796,195.10501796,0,0,0
8578,33584.576394,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,10184.576394,7200,0,0,7200,2984.5763936,1732.4700793,1252.1063143,0,0
8591,32476.361653,0,0,0,30420,30420,30420,0,0,0,0,0,0,0,0,2056.3616535,0,0,0,0,2056.3616535,2056.3616535,0,0,0
