NQUEST,Y,CN,CD1,CD2,CD,C,S
25,91968.398265,50400,0,10000,10000,60400,31568.398265
34,120137.31327,84000,0,20000,20000,104000,16137.313268
38,17648.549301,13848,0,0,0,13848,3800.549301
123,64867.55949,50400,0,0,0,50400,14467.55949
126,23800,22800,0,4300,4300,27100,-3300
173,17571.091446,38026.235231,0,0,0,38026.235231,-20455.14378
304,30136.899287,24800,0,0,0,24800,5336.8992868
325,61375.425154,24600,0,0,0,24600,36775.425154
375,22866.030843,21566.030843,0,0,0,21566.030843,1300
376,45848.403761,34700,0,0,0,34700,11148.403761
424,60276.347183,20640,0,0,0,20640,39636.347183
465,40428.53924,30600,1800,300,2100,32700,7728.5392398
474,40283.110669,31800,0,0,0,31800,8483.1106695
558,44098.663437,43800,8500,0,8500,52300,-8201.336563
561,83781.009355,30600,0,350,350,30950,52831.009355
629,85526.18143,45600,0,15000,15000,60600,24926.18143
632,63886.085258,36000,0,0,0,36000,27886.085258
633,44547.735932,26100,5500,1300,6800,32900,11647.735932
686,32501.979027,18000,0,0,0,18000,14501.979027
701,59189.678097,39600,0,0,0,39600,19589.678097
823,54378.832662,33100,0,0,0,33100,21278.832662
824,33112.640208,27300,0,0,0,27300,5812.640208
905,71298.926278,43200,0,0,0,43200,28098.926278
912,23121.356516,19000,0,0,0,19000,4121.356516
923,32073.572499,18800,0,0,0,18800,13273.572499
1084,94667.139494,60000,0,2000,2000,62000,32667.139494
1120,190494.19618,53600,0,0,0,53600,136894.19618
1137,19490.133108,15600,0,0,0,15600,3890.1331077
1238,27000,13200,0,0,0,13200,13800
1361,117257.7796,75600,0,1000,1000,76600,40657.779603
1367,18918.010432,15850,0,0,0,15850,3068.0104317
1371,36252.831928,25200,11000,0,11000,36200,52.831928419
1387,34000,28400,6000,0,6000,34400,-400
1391,7301.9580922,7200,0,0,0,7200,101.95809224
1492,22159.243175,23360,0,0,0,23360,-1200.756825
1742,49605.460237,19700,0,0,0,19700,29905.460237
1750,30050,36000,0,0,0,36000,-5950
1759,10800,10800,0,0,0,10800,0
1762,18000,10800,0,0,0,10800,7200
1763,34795.517343,26400,0,0,0,26400,8395.5173426
1817,34833.263147,24600,0,0,0,24600,10233.263147
1826,28524.584601,19500,0,0,0,19500,9024.5846014
1927,32748.079232,33000,10000,0,10000,43000,-10251.92077
1946,40282.565638,38520,0,0,0,38520,1762.5656379
1953,47387.219541,31200,0,0,0,31200,16187.219541
1988,17566.37526,14400,0,0,0,14400,3166.3752604
1989,20179.73009,16200,0,0,0,16200,3979.7300903
2178,56582.973568,39600,0,0,0,39600,16982.973568
2274,33801.755461,30800,0,0,0,30800,3001.7554609
2447,44794.954085,35700,0,0,0,35700,9094.9540849
2485,14211.209018,12000,0,0,0,12000,2211.2090176
2577,16924.678331,21900,0,0,0,21900,-4975.321669
2579,29300,28800,0,0,0,28800,500
2866,46801.28472,46900,0,1300,1300,48200,-1398.71528
2875,61895.240089,40800,20000,800,20800,61600,295.24008873
2886,51479.09089,42000,0,500,500,42500,8979.0908902
2963,33973.301598,21300,0,0,0,21300,12673.301598
2970,30107.157631,28100,0,0,0,28100,2007.1576312
3078,73926.376408,27480,0,2000,2000,29480,44446.376408
3166,47983.122696,39600,0,0,0,39600,8383.122696
3193,47844.162093,31750,0,0,0,31750,16094.162093
3203,75192.69165,45000,0,0,0,45000,30192.69165
3204,61180.423558,27600,0,950,950,28550,32630.423558
3299,72973.188991,39000,0,0,0,39000,33973.188991
3389,25335.490898,19200,0,0,0,19200,6135.4908976
3663,49924.36585,30000,0,0,0,30000,19924.36585
3717,44213.054085,33600,0,0,0,33600,10613.054085
3905,42210.324651,36000,0,0,0,36000,6210.3246511
4236,7822.6106861,6600,0,1000,1000,7600,222.61068611
4238,40799.228621,28800,0,2500,2500,31300,9499.2286212
4266,61816.834921,48000,0,2000,2000,50000,11816.834921
4297,32850.966363,27600,0,0,0,27600,5250.9663626
4304,81010.625347,38400,30000,0,30000,68400,12610.625347
4370,78965.814849,60000,0,20000,20000,80000,-1034.185151
4507,31773.070811,24124.455855,0,0,0,24124.455855,7648.6149554
4704,12155.152519,13300,0,0,0,13300,-1144.847481
4730,21168.463226,21600,0,0,0,21600,-431.5367741
4732,21200,19200,0,0,0,19200,2000
4939,26823.640808,31800,0,700,700,32500,-5676.359192
4941,35050.046057,27600,0,0,0,27600,7450.0460567
5027,20400,20400,0,0,0,20400,0
5028,21000,25380,0,0,0,25380,-4380
5416,47056.278059,37800,0,0,0,37800,9256.2780588
5686,33400,26400,0,0,0,26400,7000
5697,42327.968187,39600,10000,0,10000,49600,-7272.031813
5816,30788.756519,27600,0,0,0,27600,3188.7565187
6013,10623.503859,6000,0,0,0,6000,4623.503859
6090,33415.276172,15600,0,800,800,16400,17015.276172
6107,63680.534236,39600,0,0,0,39600,24080.534236
6110,105540.19233,95600,0,4000,4000,99600,5940.1923327
6501,30501.8138,20400,0,0,0,20400,10101.8138
6522,21665.148545,13920,0,0,0,13920,7745.1485451
7015,19662.057734,22294.868653,0,0,0,22294.868653,-2632.810919
7016,12075.960159,7200,0,0,0,7200,4875.960159
7089,54580.349657,34200,20000,0,20000,54200,380.34965705
7091,48123.364902,26400,0,0,0,26400,21723.364902
7097,32213.647386,30000,0,3000,3000,33000,-786.3526136
7098,27739.900926,28800,4000,0,4000,32800,-5060.099074
7155,58596.616815,32540,0,0,0,32540,26056.616815
7160,49888.879305,61000,0,0,0,61000,-11111.12069
7165,65667.051733,25200,0,0,0,25200,40467.051733
7166,111559.28722,54300,26000,0,26000,80300,31259.287216
7781,14146.500592,10744.223356,0,0,0,10744.223356,3402.2772357
7886,57851.911423,49800,0,0,0,49800,8051.9114231
7895,109713.16285,53210,0,0,0,53210,56503.162848
8168,43570.287859,25200,0,0,0,25200,18370.287859
8331,233336.65466,108000,0,2000,2000,110000,123336.65466
8332,9169.6958588,12960,0,0,0,12960,-3790.304141
8481,10555.105018,12360,0,0,0,12360,-1804.894982
8578,33584.576394,26400,0,0,0,26400,7184.5763936
8591,32476.361653,20400,0,0,0,20400,12076.361653
8754,24000,31200,0,1400,1400,32600,-8600
8868,105997.93638,66600,19000,700,19700,86300,19697.936375
8915,90374.713731,55200,0,750,750,55950,34424.713731
8952,33649.090227,26400,0,0,0,26400,7249.0902272
8954,81429.592541,48000,0,0,0,48000,33429.592541
8955,93786.244118,50400,0,0,0,50400,43386.244118
9248,77970.184717,29800,0,1500,1500,31300,46670.184717
