NQUEST,NORD,GIU1,GIU2,GIU3,GIU4,GIU5,GIU6,GIUTOT,GIUTEL
25,1,2,3,3,4,1,3,3,
25,2,3,1,4,3,4,1,3,2
123,1,4,4,5,5,3,1,5,
123,3,2,3,1,4,5,1,2,
123,4,4,3,4,4,4,2,3,
123,5,4,2,5,5,3,2,5,
173,1,3,5,5,5,5,1,3,
465,1,5,3,5,5,3,1,5,
465,2,5,3,5,3,3,1,5,
558,1,3,4,3,4,4,3,4,
558,2,4,3,4,4,4,1,3,
558,3,3,2,4,4,4,1,4,
632,1,2,2,5,5,4,1,5,
632,2,2,2,5,3,4,3,3,
632,3,3,3,5,4,4,2,4,
701,1,4,4,5,5,5,,5,
823,1,5,1,3,5,4,1,5,
905,1,3,3,4,4,5,1,4,
905,2,4,2,4,5,4,1,4,
1120,1,1,5,5,5,1,5,1,
1120,2,1,2,5,4,3,1,3,2
1371,1,2,5,5,4,4,1,4,
1750,1,5,1,5,5,4,1,5,
2274,3,3,2,3,2,4,3,2,
2970,1,3,2,4,4,3,2,4,
2970,3,3,3,4,4,3,3,3,3
3078,1,4,4,5,5,2,3,3,
3166,1,4,3,5,3,4,1,3,
3166,3,5,1,5,5,3,2,4,
3193,1,2,2,4,4,2,4,4,
4304,1,4,3,4,5,4,1,4,
4304,2,4,4,4,5,4,1,4,
4304,3,3,3,4,4,4,5,4,
4941,2,4,4,4,4,4,1,4,2
5027,1,3,2,2,3,4,5,4,
5028,1,4,1,5,5,5,1,3,
5416,1,3,3,5,2,5,1,3,
5416,2,5,1,5,5,5,1,5,2
5697,1,5,1,4,5,5,1,5,
6090,2,4,1,4,4,1,2,4,
6107,2,5,3,5,4,5,5,3,
6107,3,5,3,5,4,3,5,3,
7089,1,3,3,3,4,4,2,5,
7091,3,3,3,4,5,,2,5,
7098,1,4,1,4,3,3,2,3,
7165,1,4,2,4,4,4,1,4,
7165,2,4,2,4,4,4,4,4,
7886,1,4,1,3,3,3,1,3,
7895,1,3,4,5,5,,5,5,
7895,2,5,1,5,5,,3,5,
8168,2,4,1,5,5,5,1,4,2
8331,1,5,1,5,5,5,1,5,
8331,2,4,3,4,4,4,2,4,
8331,3,3,3,5,5,5,2,4,
8331,4,5,1,5,5,3,2,4,
8481,1,5,5,4,3,5,5,3,
8868,1,4,1,5,5,4,1,5,
8868,2,4,1,4,4,4,1,3,
9248,1,5,4,5,5,4,1,5,
9249,1,2,2,4,4,3,3,4,
9402,3,4,1,3,3,4,3,3,
9402,4,4,1,5,5,5,3,4,4
11972,1,4,1,3,3,3,1,5,
11972,2,4,1,3,3,3,1,4,
11972,3,4,2,4,5,2,1,4,
20297,1,3,4,5,4,5,,4,
20387,1,2,4,4,4,3,2,4,
20387,3,2,3,4,2,3,4,2,3
20503,1,3,3,5,5,5,2,5,
20704,1,4,1,5,5,5,1,4,
20711,1,3,3,4,4,4,1,4,
20711,3,3,3,4,4,4,1,4,
20711,4,3,3,4,4,4,1,4,
20711,5,3,3,4,4,4,1,4,
20767,2,3,3,3,3,3,3,3,
20784,1,3,3,5,5,4,3,4,
20784,2,4,1,5,5,4,5,4,
20839,1,4,2,4,4,4,2,3,
20845,2,3,2,3,4,4,3,3,
20846,1,5,1,3,3,3,1,3,
20846,2,3,2,3,3,3,4,1,
20862,2,3,1,4,5,3,4,5,
20862,3,3,1,5,5,4,2,5,
20936,1,5,2,4,4,4,2,4,
20936,2,5,2,5,5,4,3,4,
20944,1,4,4,5,5,5,2,4,
20944,2,4,4,5,5,5,2,5,
21003,3,4,5,4,5,5,1,5,
21128,1,3,1,4,5,3,3,1,
21368,1,5,1,3,3,4,1,3,
21368,2,3,1,5,5,4,1,5,
21384,1,3,1,5,5,2,3,1,
21474,1,5,3,4,5,4,3,5,
21627,1,3,5,5,3,3,5,4,
21639,1,4,1,4,3,4,4,2,
21639,2,3,1,5,4,4,3,3,2
21693,1,2,2,4,3,4,3,3,
21859,3,4,3,4,4,4,1,3,
21875,1,4,1,5,5,5,1,3,
21875,2,4,1,5,3,3,1,3,
21877,1,3,1,5,3,3,1,2,
21877,2,3,1,5,4,3,1,2,
21879,1,4,4,3,4,4,1,2,
22099,1,3,2,3,4,4,1,4,
22164,2,5,3,5,4,3,5,5,
22164,3,4,2,5,5,5,3,5,
22167,1,2,2,5,5,5,3,3,
22168,2,5,2,3,4,4,5,2,
22173,1,3,1,5,5,3,2,5,
22203,1,4,2,3,3,2,3,,
22203,3,4,2,3,3,3,2,3,
22203,4,4,2,3,3,3,2,3,
22279,1,5,1,5,5,5,1,5,
22286,1,3,5,5,4,5,3,3,
22374,1,5,1,5,5,5,3,5,
22374,2,5,1,5,5,5,3,5,
22516,1,2,4,3,4,2,1,3,
22516,2,3,3,5,4,4,2,5,
22528,2,4,1,5,5,4,2,5,
22533,1,3,1,5,5,5,1,5,
22533,2,4,1,3,5,3,1,4,
22571,1,4,2,3,4,4,3,3,
22571,2,3,1,3,3,4,3,3,
22586,3,5,1,4,5,5,5,5,
22669,2,1,2,4,4,3,3,3,
22685,1,4,2,4,5,4,4,5,
22685,2,5,1,4,4,4,3,5,2
22807,1,5,1,3,4,3,1,4,
22901,3,5,1,4,5,4,3,4,
22903,1,1,4,5,5,2,5,3,
22904,1,3,3,4,3,3,5,3,
22992,1,4,2,3,3,3,1,3,
22992,2,3,3,5,5,1,1,5,
22993,1,4,1,5,5,4,1,5,
22993,2,4,1,4,4,3,1,4,
22996,1,4,1,4,4,4,2,4,
