NQUEST,NORD,SITUAT,PENSVOL,PROBLAV,MINLAV,MAXLAV,PROBTEL,PROBLTX
34,2,1,2,100,29000,30000,,0
126,1,1,1,,,,,
304,1,1,2,100,25000,30000,,40
304,2,3,,0,10000,20000,,100
325,2,1,2,100,24000,28000,,50
376,1,1,2,100,35000,40000,,10
561,1,1,2,100,40000,80000,,80
561,3,1,2,100,40000,80000,,80
629,1,4,,,,,,
629,2,1,2,70,20000,22000,,10
629,3,1,2,90,20000,22000,,10
912,1,2,,40,,,,
912,2,1,2,50,7500,8000,,50
1084,1,1,2,100,35000,36000,,50
1084,2,1,2,100,33000,34000,,50
1238,1,2,,0,24000,28000,,60
1238,3,3,,20,20000,22000,,40
1238,4,3,,20,20000,22000,,40
1742,2,1,2,100,14000,16000,,50
1742,3,1,2,70,14000,,,
1763,1,1,2,100,20000,30000,,60
1763,2,1,2,80,20000,30000,,40
1763,3,3,,40,20000,30000,,50
1763,4,3,,40,20000,30000,,50
1826,1,4,,,,,,
1927,1,4,,,,,,
1946,3,2,,30,8000,15000,,90
1946,4,1,2,100,20000,22000,4,10
2178,1,1,2,100,17000,17000,,50
2447,1,1,2,90,20000,20000,,10
2447,2,1,2,90,17000,17000,,10
2579,1,1,2,90,21500,22000,,20
2579,3,3,,20,12000,14000,,70
2579,4,2,,40,10000,12000,,60
2866,1,1,2,100,20000,25000,,50
2866,3,3,,50,18000,25000,,80
2875,3,1,2,100,22000,24000,,20
2886,1,1,2,100,20000,21000,,50
2886,2,1,2,100,20000,21000,2,60
3203,2,2,,100,18000,22000,,20
3204,1,1,2,100,30000,31000,,70
3204,2,1,2,100,,,,
3299,1,1,2,100,25000,28000,,0
3299,3,1,2,20,16000,18000,,60
3299,4,1,2,90,15000,17000,,10
3299,5,1,2,20,16000,18000,,50
3905,3,3,,40,12000,24000,3,30
4266,5,3,,20,,,,
4370,1,1,2,100,35000,45000,,30
4370,2,1,2,100,11000,11000,,50
4730,1,1,2,100,18000,20000,,40
4732,1,1,2,90,18000,22000,,30
4939,1,1,2,90,12000,15000,,60
6110,1,1,2,100,36000,40000,,50
6501,1,1,2,90,29000,39000,,70
7015,1,1,2,90,20000,24000,,50
7097,1,1,2,100,25000,25000,,50
7155,1,1,2,100,30000,35000,,30
7155,3,1,2,100,25000,40000,,30
7155,4,2,,80,12000,15000,,50
7166,2,1,2,100,25000,28000,,0
7166,3,1,2,100,28000,30000,,10
8754,1,1,2,100,24000,24000,,100
8915,3,1,2,90,16800,19800,,40
8915,4,1,2,50,8500,12000,,20
8952,2,1,2,100,17000,18000,,50
8954,1,1,2,100,29000,30000,,50
8954,2,1,2,100,29000,30000,,50
9526,1,1,2,100,50000,70000,,50
9526,3,1,2,100,35000,60000,,50
11810,1,1,2,100,22000,22000,,20
11810,2,1,2,100,2700,4500,,90
11810,3,2,,10,,,,
11810,4,3,,10,,,,
11810,5,3,,10,,,,
11810,6,3,,10,,,,
11810,7,3,,10,,,,
11810,8,3,,10,,,,
11940,3,1,2,80,10000,12000,,50
20011,1,1,2,100,42000,42000,,50
20020,1,1,2,100,35000,35000,,50
20020,2,1,2,100,20000,26000,,50
20047,3,1,2,100,21000,23000,,50
20047,4,1,2,100,16000,18000,,50
20111,3,3,,0,,,,
20111,4,3,,0,20000,40000,,100
20111,5,3,,0,24000,50000,,100
20112,1,3,,0,8000,10000,,90
20112,3,3,,40,16000,36000,,40
20112,4,3,,40,18000,36000,,40
20154,1,1,2,90,30000,34000,,90
20154,2,1,2,90,28000,30000,,60
20154,3,1,2,90,22000,25000,,60
20174,1,1,1,,,,,
20178,1,1,2,60,23000,28000,,60
20179,1,1,2,100,30000,34000,,70
20179,2,1,2,90,30000,36000,,100
20223,1,1,1,,,,,
20231,1,1,2,90,45000,46000,,
20232,2,1,2,100,24000,25000,,80
20232,3,3,,80,12000,20000,3,60
20258,1,1,2,100,37000,38000,,70
20277,1,1,1,,,,,
20277,2,1,2,,,,,
20284,1,1,2,100,30000,70000,,80
20284,2,1,2,100,20000,21000,,100
20372,1,1,2,100,28000,30000,,60
20372,3,2,,30,12000,15000,,80
20372,4,3,,60,5000,6000,,80
20393,1,1,2,100,38000,38000,,50
20697,1,1,2,80,35000,45000,,80
20697,4,1,2,50,15000,20000,,80
20721,1,1,2,100,36000,36000,,50
20729,1,1,2,100,34000,48000,,20
20729,2,1,2,100,25000,30000,,70
20766,1,1,2,80,35000,38000,,0
20770,1,1,1,,,,,
20770,2,1,2,100,20000,21000,2,60
20849,1,1,2,100,40000,45000,,30
20849,2,1,2,100,30000,31000,,50
20981,1,1,2,100,40000,45000,,80
20981,2,1,2,100,20000,25000,,90
21453,1,2,,50,30000,50000,,20
21453,2,1,2,100,20000,40000,,0
21481,1,1,2,70,9000,15000,,20
21481,2,1,2,70,9000,15000,,20
21543,3,1,2,100,24000,30000,3,60
21626,1,1,2,100,28000,30000,,50
21699,1,1,2,100,18000,20000,,30
21761,1,1,2,100,23000,25000,,70
21772,1,1,2,100,21000,30000,,40
21772,2,1,2,100,20000,30000,,50
21880,1,1,2,70,25000,28000,,50
21880,2,1,2,100,23000,24000,,50
21952,2,1,2,100,28000,32000,2,40
21952,3,1,2,100,21000,25000,3,50
22067,1,1,2,90,32000,40000,,80
22074,1,1,2,100,23000,25000,,50
22116,1,1,2,100,23000,28000,,50
22116,3,1,2,100,23000,23000,,50
22155,1,1,2,,,,,
22155,2,1,2,80,15000,25000,,80
22155,3,3,,,,,,
22169,1,2,,10,,,,
22169,3,1,2,40,24000,40000,3,50
22225,1,1,2,100,60000,90000,,100
22225,2,1,2,100,30000,30000,,100
22225,4,1,2,100,18000,22000,,10
22226,1,1,2,100,28000,30000,,10
22262,1,1,2,100,50000,50000,,50
22263,3,1,2,100,22000,24000,,100
22272,1,1,1,,,,,
22272,3,1,2,80,19500,20000,,90
22274,1,1,2,100,28000,30000,,90
22274,3,1,2,100,15000,16000,,50
22276,1,1,2,100,22000,23000,,80
22276,4,1,2,80,23000,24000,4,50
22277,1,1,2,100,20000,21000,,100
22277,2,1,2,100,25000,26000,2,90
22278,1,1,2,100,22000,23000,,30
22278,2,1,2,100,24000,28000,2,90
22353,2,1,1,,,,,
22506,1,1,2,100,30000,36000,,60
22509,5,2,,80,24000,40000,,60
22537,1,1,2,100,18000,20000,,20
22545,2,1,2,,,,,
22550,1,1,2,100,25000,27000,,10
22550,2,1,2,0,20000,25000,,0
22550,3,2,,20,10000,14000,,70
22570,1,1,2,100,45000,47000,,10
22587,1,1,1,,,,,
22606,2,1,2,100,25000,26000,2,100
22624,1,1,2,70,10000,20000,,100
22657,1,1,2,100,25000,30000,,40
22805,1,1,2,90,24000,30000,,50
22805,2,1,2,100,24000,28000,2,10
22844,2,1,2,90,18000,20000,,50
22850,1,1,2,100,24000,25000,,60
22899,1,1,2,100,35000,50000,,50
22899,2,1,2,30,20000,21000,,50
22967,1,1,2,100,37000,40000,,30
22967,2,1,2,100,20000,22000,2,50
22972,1,1,2,100,21000,24000,,40
23149,2,1,2,100,25000,28000,,100
23188,3,3,,30,15000,25000,,70
23267,1,1,2,100,30000,45000,,50
23273,1,1,2,100,20000,21600,,50
23383,1,1,2,100,24000,28000,,40
23383,2,1,2,100,24000,25000,,40
23384,1,1,1,,,,,
23389,3,1,2,100,25000,27000,,10
23399,2,1,2,80,14000,16000,,50
23399,3,1,2,80,14000,16000,,50
23399,5,1,2,80,14000,17000,,50
23402,1,1,2,100,25000,30000,,80
23409,3,1,2,100,22000,27000,,80
23473,3,2,,90,20000,25000,,90
23490,1,4,,,,,,
23527,3,1,2,90,26000,82000,,50
