NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YTA3,YCR1,YL,YTP,YTA,YT,YM1,YM2,YM,YCR2,YCR3,YCR,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
25,1,0,45000,0,0,0,0,0,0,45000,0,0,0,0,0,0,6000,14400,20400,2306.6566935,5111.7415711,0,5850,1568.3982645,21968.398265,66968.398265
25,2,0,25000,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000
34,1,0,0,46800,0,0,0,0,0,0,46800,0,46800,20000,0,20000,0,30000,30000,337.31326795,0,0,6500,-6162.686732,23837.313268,90637.313268
34,2,0,29500,0,0,0,0,0,0,29500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29500
38,1,0,0,16970,0,0,0,0,0,0,16970,0,16970,0,0,0,0,0,0,678.54930105,0,0,0,678.54930105,678.54930105,17648.549301
123,1,0,0,0,0,0,0,0,0,0,0,0,0,12000,3000,9000,0,14400,14400,547.55949009,0,0,11700,-11152.44051,3247.5594901,12247.55949
123,3,0,0,0,0,0,0,0,0,0,0,0,0,36000,5000,31000,0,0,0,0,0,0,0,0,0,31000
123,4,0,12000,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000
123,5,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,0,0,0,0,0,0
123,7,0,0,9620,0,0,0,0,0,0,9620,0,9620,0,0,0,0,0,0,0,0,0,0,0,0,9620
126,1,0,19000,0,0,0,0,0,0,19000,0,0,0,0,0,0,0,4800,4800,0,0,0,0,0,4800,23800
173,1,2000,26000,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,6026.2352306,6026.2352306,184.85621543,0,0,16640,-16455.14378,-10428.90855,17571.091446
304,1,0,25000,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,4400,4400,736.89928681,0,0,0,736.89928681,5136.8992868,30136.899287
325,1,0,0,18850,0,0,0,0,0,0,18850,0,18850,0,0,0,0,10200,10200,1325.4251544,0,0,0,1325.4251544,11525.425154,30375.425154
325,2,0,0,0,0,0,0,0,0,0,0,0,0,31000,0,31000,0,0,0,0,0,0,0,0,0,31000
375,1,0,0,8450,0,0,0,0,0,0,8450,0,8450,0,0,0,0,5966.0308435,5966.0308435,0,0,0,0,0,5966.0308435,14416.030843
