NQUEST,MOTUSC,ANNOENUS,NORDP
25,5,2,6
38,1,2,1
561,4,2,3
923,1,1,1
1238,4,1,3
1238,4,1,4
1750,1,2,2
2485,4,1,2
6501,4,2,3
7160,4,2,3
7166,4,2,4
8955,2,1,2
11940,5,1,3
11972,4,1,3
20232,1,1,5
20849,5,2,5
20990,4,2,3
21627,4,2,4
21627,1,1,6
21872,1,1,2
21872,4,2,3
22021,1,1,1
22021,2,2,3
22164,1,1,1
22202,4,2,3
22272,4,2,3
22274,4,2,3
22374,5,1,1
22509,4,2,4
22548,4,1,3
22563,4,2,3
22606,1,2,2
22606,4,2,4
22669,1,1,2
22850,5,1,3
22891,1,1,2
22901,4,2,3
22903,1,2,1
22908,1,1,2
22961,5,1,3
22974,1,1,2
23445,4,2,3
23474,5,2,4
24010,4,1,3
24123,1,2,1
24173,5,2,4
24202,4,1,4
24330,2,2,3
24531,5,1,1
24633,4,1,4
24646,1,1,1
24678,1,1,1
24727,5,2,4
25020,4,1,3
25020,4,1,4
25085,4,1,3
25090,5,1,3
25142,1,1,2
25322,5,2,3
25448,1,1,1
25756,4,2,3
25768,4,1,3
25974,4,2,3
26161,1,1,6
26310,4,2,4
26585,1,1,1
26641,1,1,6
26653,4,2,2
26925,5,1,4
27197,4,2,3
27291,1,2,1
27295,4,2,2
27857,1,2,1
27935,5,2,1
28221,1,2,1
28246,1,1,1
28303,4,1,3
28306,4,2,3
28321,4,2,1
28334,5,1,1
28360,1,1,2
28439,4,2,3
28954,1,2,1
28999,4,2,3
29048,2,2,3
29107,4,1,3
29362,1,2,1
29367,5,2,1
29367,5,2,2
29421,4,2,3
29439,4,2,3
29439,4,2,5
29439,5,2,6
29447,4,1,3
29507,4,2,4
29507,3,1,3
29763,1,1,2
29777,4,2,3
29805,4,1,3
31008,2,1,3
31102,4,2,3
31308,1,2,2
31334,4,2,2
31341,5,2,3
31345,1,2,1
31362,5,1,3
31382,1,1,2
31383,4,2,3
31423,4,1,3
31423,4,1,4
31423,4,1,5
31437,4,2,3
31439,5,2,3
31574,1,1,2
31638,1,2,5
31684,4,1,4
31687,4,1,4
31695,1,2,3
31791,4,2,2
31792,4,2,3
31797,2,2,3
31799,4,2,3
31816,4,2,3
31864,1,1,2
31903,1,1,5
31904,5,1,1
32044,1,2,1
32054,4,1,3
32166,4,2,3
32280,5,2,2
32280,4,2,3
32293,4,2,3
32293,4,2,4
32318,1,1,1
32318,4,1,3
32319,4,2,3
32328,1,1,1
32331,4,2,3
32465,1,2,3
32472,2,1,4
32482,1,2,2
32488,1,2,1
32517,5,2,2
32628,1,1,4
32659,4,2,3
32678,4,2,4
32681,4,1,3
32685,4,2,3
32711,4,1,3
32722,1,1,1
32732,4,1,3
32751,5,2,3
32756,1,1,2
32907,4,1,
32921,5,1,2
33206,4,2,3
33214,5,2,3
33214,5,2,4
33221,4,1,3
33301,1,2,2
33314,4,2,3
33336,1,1,1
33347,1,2,2
33348,4,2,3
33595,5,2,3
33601,4,1,1
33643,5,1,3
33644,4,1,2
33644,5,2,4
33678,1,1,1
33860,1,1,1
33885,1,2,2
34002,5,2,2
34002,5,2,3
34002,5,2,4
34018,1,2,5
34023,4,2,3
34028,4,2,3
34028,4,2,4
34176,1,1,1
34182,4,2,5
34216,5,1,1
34230,4,2,2
34262,3,1,3
34377,5,1,3
34377,5,1,4
34396,4,2,3
34431,4,2,2
34431,3,1,3
34593,4,1,3
34593,4,2,5
34595,2,2,4
34600,4,1,3
34653,5,2,1
34781,5,2,1
34791,4,2,4
34844,4,2,3
34853,4,2,3
34862,3,2,2
34983,1,1,4
35024,4,2,2
35133,4,2,3
35142,2,2,4
35147,1,1,1
35202,4,1,4
35203,4,2,4
35222,4,2,3
35234,5,2,2
35297,1,1,3
35297,4,1,1
