NQUEST,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,FERIEDI,FERIENO,PSTRA,ORESTRA,YLM,INTEG,YLNM,NORD
34,1,1,1,,7,20,1,,1,10,29000,2,0,2
173,1,1,1,,7,37,1,,1,2,28600,1,2000,1
304,1,1,1,,7,36,2,12,2,,22000,2,0,1
375,1,1,2,1,1,6,2,21,2,,1300,2,0,1
376,1,1,1,,6,36,1,,2,,48000,2,0,1
376,1,1,1,,5,36,1,,2,,24000,2,0,4
465,1,1,1,,1,36,1,,2,,15000,2,0,1
465,1,1,1,,1,30,1,,2,,15000,2,0,2
558,1,1,1,,5,37,1,,2,,22000,2,0,1
558,1,1,1,,2,40,1,,1,2,23000,1,,2
558,1,1,2,8,1,37,1,,2,,8000,2,0,3
629,1,1,1,,2,40,1,,2,,19000,2,0,3
629,1,1,1,,2,45,1,,1,4,21000,2,0,4
632,1,1,1,,5,36,2,15,1,2,30000,2,0,1
632,1,1,1,,6,24,2,20,2,,10000,2,0,2
632,1,1,1,,5,40,2,10,2,,21000,2,0,3
823,1,1,1,,4,40,1,,2,,42800,2,0,1
1084,1,1,1,,7,35,1,,2,,30000,2,0,1
1084,1,1,1,,7,40,1,,2,,28000,2,0,2
1371,1,1,1,,7,36,2,12,2,,24000,2,0,1
1763,1,1,1,,2,42,1,,2,,16900,2,0,1
1763,1,1,2,2,3,36,1,,2,,4000,2,0,2
1927,1,1,1,,3,40,2,18,1,3,16000,1,1300,2
1946,1,1,1,,2,40,1,,1,3,23400,2,0,4
2178,1,1,1,,1,40,2,20,2,,18200,2,0,3
2447,2,1,2,5,3,48,2,10,1,8,12000,2,0,1
2447,1,1,1,,2,40,2,7,2,,24000,2,0,2
2866,1,1,1,,7,30,2,5,2,,20000,2,0,2
2886,1,1,1,,5,36,1,,2,,25000,2,0,1
2886,1,1,1,,5,40,2,10,2,,25000,2,0,2
3193,1,1,1,,5,36,2,10,1,3,20000,2,0,2
3203,1,1,2,9,7,22,2,23,2,,20000,2,0,2
3299,1,1,1,,6,40,1,,2,,25000,2,0,1
3299,1,2,2,8,6,18,1,,2,,5000,2,0,3
3299,1,1,1,,1,58,1,,2,,20000,2,0,4
3717,1,2,3,,1,10,1,,2,,10000,2,0,1
3905,1,1,1,,1,70,1,,2,,18000,2,0,3
4266,1,1,1,,6,40,1,,1,5,17200,2,0,4
4266,1,2,1,,6,20,1,,2,,,2,0,5
4370,1,1,1,,6,55,2,8,2,,40000,2,0,1
4370,1,2,1,,1,24,1,,1,4,15000,2,0,2
4370,1,1,2,7,3,40,2,4,1,5,25000,2,0,3
4732,1,2,3,,1,15,1,,2,,8000,2,0,1
5028,1,1,1,,1,48,1,,2,,17000,2,0,1
5028,1,1,2,4,1,40,1,,2,,3200,2,0,3
5416,1,1,1,,5,36,1,,2,,14800,2,0,3
6090,1,1,1,,7,30,1,,2,,30000,2,0,2
6501,1,1,1,,5,45,2,15,1,5,45000,1,1200,1
6522,1,1,1,,1,44,2,15,2,,23800,2,0,2
7091,1,1,1,,2,40,1,,2,,21600,2,0,3
7097,1,1,1,,7,32,2,15,1,2,28000,2,0,1
7097,1,2,2,6,2,6,1,,1,3,10000,2,0,3
7160,1,1,1,,2,64,1,,1,20,8000,2,0,3
7165,1,1,1,,5,38,2,10,1,1,27000,2,0,1
7165,1,1,1,,5,38,1,,2,,28000,2,0,2
7166,1,1,1,,4,36,1,,2,,26000,2,0,2
7166,1,1,1,,3,40,1,,1,2,27000,1,2400,3
7886,1,1,1,,7,37,1,,2,,52000,1,2000,1
7895,1,1,1,,6,37,1,,1,0,42000,2,0,1
8481,1,1,2,4,1,42,1,,1,2,5000,2,0,1
8754,1,1,1,,3,48,1,,2,,20400,2,0,1
8868,1,1,1,,7,36,1,,2,,26000,2,0,1
8868,1,1,2,4,5,50,1,,2,,20000,1,40000,2
8868,1,1,2,8,4,50,1,,2,,30350,2,0,2
8868,2,1,2,3,2,40,1,,2,,42000,2,0,3
8915,1,1,1,,1,38,1,,2,,22000,2,0,3
8954,1,1,1,,7,36,2,10,2,,25000,2,0,1
8954,1,1,1,,7,18,1,,2,,26300,2,0,2
9248,1,1,1,,6,42,2,21,2,,43000,2,0,1
20010,1,1,1,,5,40,1,,1,1,18000,2,0,3
20020,1,1,1,,6,38,1,,1,0,30000,1,1000,1
20020,1,1,2,9,3,39,1,,2,,17000,2,0,2
20047,1,1,1,,4,30,1,,2,,24000,2,0,3
20047,1,1,1,,6,40,2,10,1,5,24000,2,0,4
20154,1,1,1,,6,50,2,7,2,,50000,2,0,1
20154,1,1,1,,6,37,1,,2,,30000,1,2000,2
20154,1,1,1,,6,37,2,7,2,,26000,1,2100,3
20178,1,1,1,,5,37,2,13,2,,33000,2,0,1
20179,1,1,1,,7,36,2,31,2,,36000,1,1200,1
20179,1,1,1,,4,40,2,21,2,,35000,2,0,2
20258,1,1,1,,7,36,2,11,1,0,24700,1,1728,1
20284,1,1,1,,6,40,1,,1,0,20000,1,2500,2
20297,1,1,1,,2,40,2,5,1,2,20000,2,0,1
20372,1,1,1,,7,36,2,17,1,3,33000,2,0,1
20372,1,2,1,,3,20,2,13,1,1,10000,2,0,3
20393,1,1,1,,6,39,2,5,1,0,42000,1,3000,1
20704,1,1,1,,3,40,1,,2,,24000,2,0,3
20711,1,1,1,,2,40,1,,1,5,33000,2,0,3
20711,1,1,1,,2,40,1,,1,4,18000,2,0,5
20711,1,1,2,8,2,40,1,,1,0,9000,2,0,6
20729,1,1,1,,6,48,2,20,2,,45000,2,0,1
20729,1,1,1,,7,20,1,,2,,32000,2,0,2
20766,1,1,1,,6,38,1,,2,,24000,1,1800,1
20767,1,1,1,,1,40,2,7,2,,20000,2,0,1
20839,1,1,1,,7,36,2,11,1,0,29000,1,2000,1
20849,1,1,1,,7,36,2,8,2,,60000,1,500,1
20849,1,1,1,,7,36,1,,2,,47000,2,0,3
20862,1,1,1,,7,36,2,7,2,,18000,2,0,2
