NQUEST,ATTIVP1,MESILAV1,ORETOT1,NUMADD,QUOPRO,YM,DEBCR981,DEBCR982,DEBCR983,DEBCR984,DEBCR985,MACCHI,VALAZ,AMMORT,ATTIVP2,MESILAV2,ORETOT2,ATTIVP3,MESILAV3,ORETOT3,ATTIVP4,MESILAV4,ORETOT4,IND1,IND2,IND3,IND4
3078,2,12,18,4,50,28000,0,0,0,0,6000,1,100000,5000,,,,,,,,,,2,,,
7015,1,12,50,2,100,36000,0,0,0,0,0,1,70000,10000,,,,,,,,,,1,,,
11972,1,12,72,4,51,15000,0,0,0,10000,0,1,200000,15000,1,12,72,1,12,72,,,,1,2,3,
20936,1,2,40,1,100,7000,0,0,0,0,0,2,0,0,,,,,,,,,,4,,,
22374,1,12,47,11,100,9000,0,0,0,0,0,2,0,0,,,,,,,,,,1,,,
22805,2,12,30,5,100,20000,0,0,0,4000,2000,1,30000,3000,,,,,,,,,,1,,,
22992,1,11,50,8,33,,0,0,0,0,0,1,,,,,,,,,,,,2,,,
22996,1,6,20,1,100,,0,0,0,0,0,2,0,0,,,,,,,,,,2,,,
24979,1,12,50,3,100,50000,0,0,0,0,0,1,20000,5000,,,,,,,,,,1,,,
25133,1,12,70,2,100,14000,0,0,0,0,0,2,0,0,,,,,,,,,,1,,,
26161,1,12,70,2,100,23000,0,0,0,0,0,1,50000,10000,1,12,70,,,,,,,1,2,,
26283,1,12,1,2,100,12000,0,0,0,0,0,2,0,0,1,12,4,,,,,,,1,2,,
27157,1,12,50,1,100,20000,0,0,0,0,0,2,0,0,,,,,,,,,,2,,,
27162,1,12,44,2,100,6000,0,0,0,0,0,2,0,0,,,,,,,,,,2,,,
27298,1,12,70,4,100,40000,0,0,0,0,15000,1,350000,10000,1,12,70,,,,,,,1,2,,
27467,1,12,48,2,100,20000,0,0,40000,0,0,2,0,0,1,12,48,,,,,,,1,2,,
28923,1,12,48,3,33,18000,0,0,0,0,0,2,0,0,,,,,,,,,,3,,,
29288,1,12,20,2,100,20000,0,0,0,0,0,1,15000,500,1,12,50,,,,,,,2,3,,
