NQUEST,ATTIVP,TUTTANNO,MESILAV,NUMADD,FORGIU,ORETOT,COMPFISS,DIVIDUT,QUOPRO,PARTE98,NORD
20704,1,1,,50,2,65,50000,50000,33,500000,1
20784,1,1,,10,1,50,55000,50000,80,500000,1
20784,1,1,,15,1,50,50000,0,30,100000,2
22225,2,2,2,3,1,10,1000,0,1,200,3
22992,1,1,,8,7,50,,0,33,100000,2
24308,1,1,,600,8,30,12000,0,1,1000,3
24860,1,1,,1,1,40,24000,0,34,6800,1
24924,1,1,,5,7,40,0,12000,50,70000,2
25148,2,1,,4,6,38,,0,20,30000,2
25681,1,1,,4,1,60,30000,0,24,150000,1
27157,1,1,,3,8,48,1200,0,35,70000,1
27516,2,1,,15,1,5,,0,10,10000,2
28418,1,1,,5,7,50,48000,20000,50,400000,2
29684,2,1,,3,1,10,,0,85,150000,1
29684,2,3,,3,1,1,,0,15,25000,2
31370,1,1,,6,1,55,18000,0,25,14000,1
32014,2,1,,2,8,40,20000,20000,49,,1
32015,1,1,,4,7,50,20000,90000,50,250000,1
32016,1,1,,2,6,60,30000,0,100,50000,2
32206,1,1,,150,8,48,0,25000,1,50000,1
32363,2,3,,6,6,3,,0,5,8000,1
32709,1,1,,6,7,40,80000,0,16,150000,1
32713,1,1,,8,7,49,15000,0,25,400000,1
32713,1,1,,8,7,70,15000,0,25,400000,2
32724,2,1,,8,1,10,0,24000,20,400000,1
32731,1,1,,6,7,40,2600,0,33,300000,3
32867,1,1,,3,6,45,15000,11000,25,10000,1
32867,2,3,,3,6,1,15000,11000,25,10000,2
32890,1,1,,23,6,35,1500,0,40,160000,1
33205,1,2,9,5,7,60,20000,20000,15,150000,1
33205,2,3,,5,7,24,90000,20000,15,15000,2
33268,1,1,,4,7,50,50000,30000,35,40000,1
33639,1,1,,3,7,40,12000,0,51,25000,1
33639,1,3,,3,7,1,25000,0,49,23000,2
33773,1,1,,7,7,40,28000,28000,33,100000,1
33781,1,1,,6,7,60,12000,0,25,50000,1
33781,1,1,,6,7,60,10000,0,25,50000,2
35223,1,1,,3,1,40,77000,80000,80,20000,1
35223,1,1,,2,7,45,6000,8600,50,10000,3
35456,1,1,,5,1,48,0,30000,33,70000,2
35677,1,1,,3,7,28,9600,12000,20,6000,2
35964,2,1,,14,7,10,0,20000,10,30000,1
36119,1,1,,4,7,48,20000,0,25,,1
36162,1,1,,90,4,60,0,35000,1,10000,1
36262,2,1,,3,1,1,,0,1,850000,1
36391,1,1,,4,7,40,30000,30000,50,250000,1
36391,1,1,,4,7,40,30000,30000,50,250000,4
37073,1,1,,22,2,50,56000,0,25,200000,1
37418,2,1,,42,1,100,52000,0,51,1200000,1
38040,2,1,,6,7,15,12000,12000,33,50000,1
38109,1,1,,2,6,40,,0,50,30000,1
38109,1,1,,2,6,40,10000,0,50,130000,2
38179,1,1,,350,2,55,110000,0,30,15000000,1
38587,2,1,,7,1,10,10000,10000,20,30000,2
39318,1,1,,7,7,50,140000,70000,50,350000,1
39318,1,1,,7,7,40,140000,70000,50,350000,2
50007,1,1,,2,8,60,0,32500,1,,2
50372,1,1,,14,7,50,28000,0,60,400000,1
50372,1,1,,14,7,50,22000,0,20,150000,2
51199,1,1,,7,7,65,30000,0,50,300000,1
51201,1,1,,18,7,40,34000,0,10,200000,1
51364,1,1,,3,7,60,,0,80,400000,1
51364,1,1,,3,7,40,,0,20,100000,2
51639,1,1,,5,6,50,60000,60000,51,250000,1
51955,1,2,7,4,7,70,40000,0,60,166000,1
52452,1,1,,2,7,44,18000,18000,50,125000,1
52894,1,1,,3,7,55,0,30000,40,480000,1
52894,1,1,,3,7,40,0,30000,30,400000,2
52894,1,1,,3,7,60,0,30000,30,400000,4
52968,2,1,,3,6,10,0,30000,33,120000,1
53202,1,1,,150,2,40,26000,0,3,12000,1
53504,1,1,,2,7,56,0,25000,50,100000,1
54183,1,1,,20,1,55,40000,0,50,1000000,1
54618,1,1,,3,7,40,14000,0,33,,1
54618,2,3,,1,8,1,,0,51,,2
54763,1,1,,3,7,8,0,20000,34,20000,1
55147,1,2,8,2,6,48,,0,49,37800,3
55205,1,1,,20,7,50,0,50000,50,1000000,1
55205,2,3,,1,7,1,0,10000,10,200000,2
55338,1,1,,8,1,55,96000,0,20,250000,1
55342,1,1,,2,7,44,18000,3000,50,15000,2
55358,1,1,,2,8,20,500,100,5,10000,1
55620,1,1,,1,6,48,30000,20000,65,100000,1
55649,1,1,,2,3,50,70000,70000,60,300000,2
55649,1,1,,2,3,50,70000,70000,60,300000,2
55692,1,1,,2,6,10,10000,15000,50,30000,1
56080,1,1,,3,7,50,18000,2000,20,10000,2
56080,1,1,,3,7,50,12500,10000,30,15000,3
56458,1,1,,8,7,65,60000,0,50,300000,1
56458,1,3,,8,7,6,15000,0,50,300000,2
56572,2,2,3,2,1,5,2000,2000,20,5000,3
56656,1,1,,3,7,54,,0,50,50000,1
56658,1,1,,7,7,30,800,2000,50,400000,1
57337,1,1,,6,1,55,0,32000,50,100000,2
60069,1,1,,15,1,36,30000,20000,10,25000,1
91008,1,1,,4,7,60,24000,10000,50,60000,1
91008,1,1,,4,7,50,24000,10000,50,60000,2
91057,1,1,,3,8,55,24000,0,49,25000,2
91073,1,1,,5,1,10,,0,13,300000,1
91078,2,3,,2,7,1,,0,50,200000,2
