NQUEST,ENTEPEN,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE,NORD
34,1,1,1991,4000,12,2,0,70,1
325,1,4,1984,1100,13,2,0,,1
325,1,3,1991,700,13,2,0,,2
375,1,1,1988,1300,13,2,0,60,1
375,1,1,1988,760,13,2,0,40,1
474,1,1,1963,950,13,2,0,,1
474,1,4,1975,550,13,2,0,,1
558,1,4,1994,800,13,2,0,,1
629,1,1,1996,1700,13,2,0,80,1
629,1,1,1967,800,13,2,0,50,2
633,2,1,1986,2000,13,2,0,92,1
633,1,1,1994,700,13,2,0,80,2
686,1,4,1969,200,13,2,0,,1
686,2,1,1976,2000,13,2,0,80,1
824,1,1,1973,680,13,2,0,,1
923,1,4,1994,670,13,2,0,,1
1238,1,1,1998,1000,12,2,0,50,1
1238,1,3,1975,600,12,2,0,,2
1367,1,1,1982,700,13,2,0,60,1
1367,1,6,1995,700,13,2,0,,2
1387,1,1,1981,1000,12,2,0,3,1
1387,1,1,1987,1000,12,2,0,10,2
1391,1,1,1976,400,12,2,0,2,1
1492,1,3,1963,1300,13,2,0,,1
1492,1,2,1991,170,13,2,0,,2
1759,1,1,1973,720,13,2,0,70,1
1763,1,1,1972,655,13,2,0,60,4
1826,1,1,1996,1300,13,2,0,80,1
1927,1,4,1993,1100,13,2,0,,1
1946,2,3,1976,390,13,2,0,,1
1946,3,4,1985,1250,13,2,0,,2
2178,1,1,1978,650,13,2,0,,1
2178,3,1,1982,1400,13,2,0,50,2
2274,1,3,1957,650,13,2,0,,1
2274,1,3,1977,650,13,2,0,,2
2485,1,4,1974,850,13,2,0,,1
2866,1,1,1998,900,13,2,0,10,1
2875,3,1,1997,1800,13,2,0,10,1
2875,1,4,1997,1200,13,2,0,,2
2963,1,1,1986,1400,12,2,0,80,1
2963,1,2,1980,800,12,2,0,,2
3203,1,1,1985,1850,13,2,0,80,1
3663,1,1,1985,2173,12,2,0,90,1
3905,1,1,1990,2000,12,2,0,70,1
4236,1,3,1968,630,13,2,0,,1
4236,1,4,1978,600,13,2,0,,1
4238,1,1,1985,750,13,2,0,70,1
4238,3,2,1994,400,13,2,0,,2
4266,1,1,1992,1500,13,2,0,80,1
4266,1,4,1972,1000,13,2,0,,6
4297,1,1,1969,60,13,2,0,10,2
4297,3,1,1969,1750,13,2,0,80,2
4939,1,1,1979,750,13,2,0,80,5
4939,1,4,1996,200,13,2,0,,5
5027,1,3,1993,800,12,2,0,,1
5816,1,1,1983,1370,13,2,0,100,1
5816,1,1,1982,687,13,2,0,40,2
6090,3,4,1984,800,13,2,0,,1
6090,3,2,1985,250,13,2,0,,1
7089,1,1,1985,1200,13,2,0,75,3
7091,1,1,1988,1580,13,2,0,80,1
7091,1,1,1988,1700,13,2,0,80,1
7098,1,3,1991,800,13,2,0,,3
7160,1,1,1993,620,13,2,0,10,1
7166,1,1,1994,2700,13,2,0,30,1
7781,1,1,1992,600,13,2,0,20,1
7781,1,4,1984,320,13,1,1500,,1
8332,1,4,1980,700,13,2,0,,1
8915,1,1,1985,2800,12,1,4000,80,1
8952,1,1,1996,1130,13,2,0,80,2
8952,1,1,1996,700,13,2,0,40,3
8955,1,1,1992,2400,13,2,0,92,1
8955,1,4,1993,1200,13,2,0,,1
8955,1,4,1993,900,13,2,0,,1
9405,1,4,1984,842,13,2,0,,1
9411,1,1,1992,2000,13,2,0,85,1
11940,1,1,1994,2500,13,2,0,80,1
11940,1,1,1976,400,13,2,0,20,2
20010,1,1,1989,1000,13,2,0,60,1
20010,2,1,1981,1200,13,2,0,80,2
20010,1,2,1972,500,13,2,0,,4
20010,1,4,1985,100,13,2,0,,4
20019,1,1,1981,1200,13,2,0,60,1
20028,2,1,1988,2000,13,2,0,80,1
20033,2,4,1996,1200,13,2,0,,1
20047,5,1,1994,5000,13,2,0,95,1
20169,1,1,1987,800,13,2,0,40,1
20169,3,4,1988,1000,13,2,0,,1
20170,1,4,1991,2000,13,2,0,,1
20170,1,4,1992,1800,13,2,0,,2
20174,1,1,1997,3000,13,2,0,70,1
20178,3,1,1991,1300,13,2,0,75,2
20223,6,1,1993,1000,13,2,0,80,2
20241,2,1,1990,270,12,2,0,30,1
20241,2,4,1984,1100,12,2,0,,1
20241,5,4,1984,1500,6,2,0,,1
20285,1,1,1981,1700,13,2,0,45,1
20285,1,4,1993,534,13,2,0,,1
20297,2,4,1983,1100,13,2,0,,2
20375,1,1,1992,2700,13,2,0,80,1
20380,1,4,1973,1000,13,2,0,,1
20499,3,1,1985,1700,13,2,0,10,1
20499,1,4,1965,900,13,2,0,,2
20704,1,1,1981,1400,13,2,0,70,2
20711,1,1,1997,3000,13,2,0,100,1
20767,1,1,1982,1100,13,2,0,50,3
20767,1,4,1993,600,13,2,0,,3
20782,1,1,1982,3500,13,2,0,75,1
20782,1,1,1986,1500,13,2,0,70,2
20798,1,1,1983,536,13,1,2300,1,1
20798,1,4,1981,310,13,2,0,,1
20798,3,5,1981,150,13,2,0,,1
20837,3,1,1989,2533,13,2,0,80,1
20837,1,2,1989,500,13,2,0,,2
20849,2,4,1993,1500,13,2,0,,2
20862,1,4,1988,300,12,2,0,,1
20862,1,2,1988,700,12,2,0,,1
20920,2,1,1985,4500,13,2,0,100,1
20920,5,1,1993,110,12,2,0,10,1
20920,1,6,1989,1000,13,2,0,,2
20990,1,1,1995,2000,13,2,0,80,1
21003,1,3,1989,2070,13,2,0,,2
21003,3,4,1979,1883,13,2,0,,3
21368,1,1,1973,1500,13,1,4500,15,2
21368,1,4,1988,350,13,2,0,,2
21453,1,1,1996,1050,13,2,0,50,1
21456,7,1,1978,3500,13,2,0,75,1
21461,1,3,1973,600,13,2,0,,1
21461,1,4,1998,200,13,2,0,,1
21464,1,1,1981,1200,13,2,0,40,1
21464,4,3,1972,400,12,2,0,,1
21464,1,1,1982,700,13,2,0,30,2
21466,1,3,1994,1060,13,2,0,,1
21472,1,1,1990,1300,13,2,0,80,1
21472,3,3,1990,285,12,2,0,,1
21482,1,1,1986,850,13,2,0,40,1
21482,6,1,1990,600,12,2,0,20,1
21482,1,1,1981,840,13,2,0,40,2
21699,1,4,,750,13,2,0,,2
21926,1,1,1985,1200,13,2,0,30,1
22021,1,1,1991,600,13,2,0,60,1
22067,2,1,1998,1100,13,2,0,60,1
22067,1,3,1985,1100,13,2,0,,3
22167,1,4,1996,2500,13,2,0,,1
22169,1,3,1996,600,13,2,0,,1
22173,1,1,1996,1900,13,2,0,70,1
22202,2,1,1981,2100,13,2,0,80,1
22202,1,3,1985,350,13,2,0,,2
22203,1,1,1994,1350,13,2,0,75,2
22203,1,1,1998,1400,13,2,0,90,3
22208,1,1,1977,2400,13,2,0,100,1
22208,1,1,1985,1400,13,2,0,70,2
22208,1,1,1985,1400,13,2,0,70,3
22222,1,1,1977,1700,12,2,0,100,1
22222,1,1,1981,1900,12,2,0,100,2
22224,1,1,1959,750,13,2,0,1,1
22224,1,1,1959,750,13,2,0,50,1
22251,1,1,1980,1600,13,2,0,80,1
22251,4,3,1978,300,12,2,0,,1
22262,1,1,1998,3000,13,2,0,95,1
22263,1,1,1982,2200,13,2,0,80,1
22263,4,3,1979,200,12,2,0,,1
22265,1,1,1980,1043,13,2,0,40,1
22266,1,1,1984,1136,13,2,0,70,1
22268,1,4,1983,970,13,2,0,,1
22268,1,3,1984,260,13,2,0,,1
22272,1,1,1997,1900,13,2,0,72,1
22273,1,1,1981,1500,13,2,0,80,1
22273,1,1,1989,607,13,2,0,30,2
22276,1,1,1988,850,13,2,0,80,2
22276,1,2,1988,600,13,2,0,,3
22286,1,1,1992,1050,13,2,0,80,2
22292,1,1,1995,1060,13,2,0,80,1
22292,1,1,1994,1200,13,2,0,50,2
22373,1,1,1992,690,13,2,0,50,1
22374,1,1,1986,416,13,2,0,30,1
22374,1,1,1995,800,13,2,0,40,2
22393,1,4,1973,1200,13,2,0,,1
