NQUEST,TIPOIMM,QUOPRO,SUPAB,VALABIT,AFFITTO,AFFEFF,POSS,ANPOSS,MUTUOVEN,DONATO
5816,2,100,78,200000,2,,1,1972,0,2
20231,2,5,40,3000,2,,3,1998,0,1
22155,2,100,50,60000,2,,2,1984,0,1
22964,2,100,110,250000,2,,2,1970,0,1
23473,2,50,100,170000,2,,3,1998,0,1
23474,2,100,110,200000,2,,3,1970,0,1
23958,3,20,250,2000000,2,,3,1983,0,1
29773,2,100,130,130000,2,,4,1996,0,1
31223,4,100,,60000,2,,3,1950,0,1
31341,1,100,80,200000,2,,3,1993,0,2
31610,2,1,120,250000,2,,3,1976,3000,1
31665,2,4,80,150000,1,1500,3,1980,0,1
31724,2,30,90,100000,2,,1,1985,0,1
32145,2,100,250,250000,2,,3,1953,0,1
32327,4,100,,4000,2,,3,1982,0,2
32327,4,100,,4000,2,,3,1982,0,2
32327,4,100,,4000,2,,3,1982,0,2
32327,4,100,,4000,2,,3,1982,4000,2
32327,4,100,,4000,2,,3,1982,0,2
32724,1,100,84,200000,2,,1,1986,0,1
33187,4,1,,6000,2,,3,1995,0,1
33187,4,1,,6000,2,,3,1995,0,1
33205,3,100,160,210000,2,,1,1967,0,1
33889,1,100,120,160000,2,,2,1980,0,1
34265,5,100,,250000,2,,1,1994,0,1
35643,2,25,50,200,2,,3,1950,0,1
36378,1,33,70,120000,2,,3,1998,0,1
37011,4,100,,150000,2,,3,1989,0,1
37042,2,33,74,250000,2,,3,1995,0,1
38048,4,50,,50000,2,,1,1950,0,1
38726,1,100,70,250000,2,,1,1992,0,1
38967,2,100,200,600000,2,,3,1946,0,2
38967,3,100,100,200000,2,,3,1946,0,2
38967,5,100,,20000,2,,3,1945,0,2
39433,2,100,60,30000,2,,3,1974,0,1
39450,4,100,,70000,2,,1,1965,0,1
50135,2,1,150,200000,2,,3,1967,0,1
50195,2,50,65,60000,2,,4,1998,0,2
50740,2,100,60,150000,2,,2,1970,15000,1
55147,1,100,140,300000,2,,3,1960,0,2
57142,1,100,90,240000,2,,1,1994,60000,1
57911,2,50,100,200000,2,,1,1982,0,1
215024,1,100,80,140000,2,,5,1983,0,2
250004,1,50,90,100000,2,,4,1986,0,1
266015,2,100,70,120000,2,,3,1960,0,1
501097,1,50,100,220000,2,,3,1998,0,1
501459,3,50,120,70000,2,,1,1983,0,1
501529,2,100,100,300000,2,,3,1960,0,1
501785,2,50,50,140000,1,4000,3,1984,0,1
501956,4,50,,100000,2,,3,1986,0,1
501978,2,100,100,60000,2,,3,1998,0,1
502218,2,100,90,300000,2,,1,1985,0,1
502716,2,50,90,90000,2,,3,1997,0,1
502808,2,50,60,20000,2,,1,1988,0,1
502824,1,100,98,250000,2,,2,1985,0,1
503178,2,100,140,450000,1,15000,1,1997,230000,1
503205,1,100,60,100000,2,,2,1958,0,2
503358,4,30,,220000,2,,1,1975,0,1
503481,1,100,87,350000,2,,1,1988,7000,1
503738,2,12,50,70000,2,,3,1997,0,2
504490,2,100,80,145000,2,,3,1984,0,1
504924,2,33,60,60000,1,2500,3,1997,0,1
505911,1,100,80,175000,2,,1,1984,0,1
507176,2,100,100,150000,2,,1,1998,0,1
507593,1,100,90,120000,2,,5,1977,0,2
507842,1,100,87,200000,2,,2,1980,0,2
507843,1,50,80,150000,2,,1,1995,80000,1
507981,2,50,120,220000,2,,5,1978,0,1
508192,2,100,40,16000,2,,3,1986,0,1
509534,1,100,40,40000,2,,5,1955,0,2
510230,4,100,,30000,2,,1,1960,0,1
510379,2,100,14,7000,2,,1,1970,0,1
510626,4,100,,10000,2,,3,1960,0,1
511654,2,100,140,210000,2,,1,1976,0,1
511718,2,100,70,80000,2,,3,,0,1
511739,2,100,150,300000,2,,2,1972,0,2
511814,2,50,120,340000,2,,2,1977,0,1
512336,3,100,20,30000,2,,1,1980,0,1
512517,5,50,,35000,2,,3,1990,0,1
512605,4,100,,20000,2,,1,1975,0,1
512775,2,100,80,350000,2,,4,1973,0,2
512920,4,100,,3000,2,,1,1964,0,2
513211,1,100,110,170000,2,,2,1993,0,1
513440,1,50,118,70000,2,,1,1995,0,1
