NQUEST,NORD,IREG,NQUESTP,NCOMP,SEX,PARENT,ANASC,STACIV,STUDIO,TIPODIP,TIPOLAU,ANNOENUS,APQUAL,ASNONOC,APSETT,NORDP,MOTENT,ETA,CLETA,AREA5,AREA3,ACOM4C,PESOFL,NPERC,PERC,QUAL,Q,SETT,NASCREG,NASCAREA
34,1,8,,4,1,1,1943,1,8,,3,,6,,9,1,,55,4,2,1,2,1.08694604,2,1,4,2,3,8,1
34,2,8,,4,2,2,1944,1,7,,9,,3,,9,2,,54,4,2,1,2,1.08694604,2,1,2,1,3,8,1
34,3,8,,4,1,3,1971,2,7,,9,,17,,,3,,27,1,2,1,2,1.08694604,2,0,7,3,5,8,1
34,4,8,,4,1,3,1973,2,5,2,,,17,,,4,,25,1,2,1,2,1.08694604,2,0,7,3,5,8,1
123,1,18,,4,1,1,1940,1,2,,,,12,,,1,,58,4,4,3,1,0.5479916804,1,1,7,3,5,18,3
123,2,18,,4,2,2,1946,1,1,,,,13,,,2,,52,4,4,3,1,0.5479916804,1,0,7,3,5,18,3
123,3,18,,4,1,3,1968,2,3,,,,12,1,1,3,,30,1,4,3,1,0.5479916804,1,0,7,3,5,18,3
123,4,18,,4,1,3,1974,2,3,,,,12,6,4,5,,24,1,4,3,1,0.5479916804,1,0,7,3,5,18,3
173,1,18,,4,1,1,1948,1,5,1,,,2,,9,1,,50,3,4,3,2,1.1993328967,1,1,2,1,3,18,3
173,2,18,,4,2,2,1950,1,5,5,,,11,,,2,,48,3,4,3,2,1.1993328967,1,0,7,3,5,18,3
173,3,18,,4,1,3,1975,2,5,2,,,17,,,3,,23,1,4,3,2,1.1993328967,1,0,7,3,5,18,3
173,4,18,,4,1,3,1978,2,3,,,,17,,,4,,20,1,4,3,2,1.1993328967,1,0,7,3,5,18,3
304,1,18,,3,1,1,1959,1,5,2,,,2,,9,1,,39,2,4,3,0,1.6387870381,1,1,2,1,3,18,3
304,2,18,,3,2,2,1965,1,5,5,,,11,,,2,,33,2,4,3,0,1.6387870381,1,0,7,3,5,18,3
304,3,18,,3,1,3,1991,2,1,,,,17,,,3,,7,1,4,3,0,1.6387870381,1,0,7,3,5,18,3
325,1,8,,2,2,1,1937,4,2,,,,16,,,1,,61,4,2,1,2,0.9896438361,2,1,6,3,5,8,1
325,2,8,,2,1,3,1960,3,3,,,,16,,,2,,38,2,2,1,2,0.9896438361,2,1,6,3,5,8,1
375,1,16,,2,1,1,1926,1,2,,,,15,,,1,,72,5,4,3,2,2.3369685653,1,1,6,3,5,16,3
375,2,16,,2,2,2,1925,1,2,,,,13,,,2,,73,5,4,3,2,2.3369685653,1,0,7,3,5,16,3
376,1,16,,4,1,1,1943,1,7,,6,,5,,6,1,,55,4,4,3,2,1.8793594813,2,1,3,1,4,16,3
376,2,16,,4,2,2,1944,2,3,,,,13,,,2,,54,4,4,3,2,1.8793594813,2,0,7,3,5,16,3
376,3,16,,4,1,3,1973,2,7,,4,,11,,,3,,25,1,4,3,2,1.8793594813,2,0,7,3,5,16,3
376,4,16,,4,2,3,1974,2,5,5,,,2,,9,4,,24,1,4,3,2,1.8793594813,2,1,2,1,3,16,3
465,1,8,,4,1,1,1954,1,5,2,,,1,,1,1,,44,3,2,1,1,0.2534396474,2,1,1,1,1,8,1
465,2,8,,4,2,2,1956,1,5,2,,,1,,1,2,,42,3,2,1,1,0.2534396474,2,1,1,1,1,3,1
465,3,8,,4,1,3,1976,2,5,2,,,17,,,3,,22,1,2,1,1,0.2534396474,2,0,7,3,5,8,1
465,4,8,,4,1,3,1981,2,3,,,,17,,,4,,17,1,2,1,1,0.2534396474,2,0,7,3,5,8,1
474,1,8,,1,1,1,1913,4,2,,,,15,8,4,1,,85,5,2,1,1,0.259945323,1,1,6,3,5,8,1
558,1,8,,3,2,1,1952,4,2,,,,1,,2,1,,46,3,2,1,1,0.1904930814,3,1,1,1,2,8,1
558,2,8,,3,1,3,1977,2,4,,,,1,,2,3,,21,1,2,1,1,0.1904930814,3,1,1,1,2,8,1
558,3,8,,3,1,3,1974,2,4,,,,1,,4,2,,24,1,2,1,1,0.1904930814,3,1,1,1,4,8,1
561,1,8,,3,1,1,1939,1,5,5,,,8,,7,1,,59,4,2,1,1,0.1837291057,1,1,5,2,4,8,1
561,2,8,,3,2,2,1942,1,2,,,,13,,,2,,56,4,2,1,1,0.1837291057,1,0,7,3,5,8,1
561,3,8,,3,1,3,1978,2,5,2,,,17,,,4,,20,1,2,1,1,0.1837291057,1,0,7,3,5,8,1
629,1,5,,4,1,1,1939,4,3,,,,15,10,3,1,,59,4,2,1,1,0.5805352853,4,1,6,3,5,5,1
629,2,5,,4,2,4,1915,4,2,,,,15,1,1,,,83,5,2,1,1,0.5805352853,4,1,6,3,5,5,1
629,3,5,,4,1,3,1969,2,5,2,,,1,,2,2,,29,1,2,1,1,0.5805352853,4,1,1,1,2,5,1
629,4,5,,4,1,3,1970,2,3,,,,1,,2,3,,28,1,2,1,1,0.5805352853,4,1,1,1,2,5,1
632,1,5,,4,1,1,1950,1,3,,,,2,,9,1,,48,3,2,1,1,0.3279996247,4,1,2,1,3,5,1
632,2,5,,4,2,2,1952,1,3,,,,1,,8,2,,46,3,2,1,1,0.3279996247,4,1,1,1,4,5,1
632,3,5,,4,2,3,1976,2,5,1,,,2,,2,3,,22,1,2,1,1,0.3279996247,4,1,2,1,2,5,1
632,4,5,,4,1,3,1983,2,3,,,,17,,,4,,15,1,2,1,1,0.3279996247,4,1,7,3,5,5,1
633,1,5,,2,1,1,1928,1,2,,,,15,1,9,1,,70,5,2,1,1,0.431606095,2,1,6,3,5,5,1
633,2,5,,2,2,2,1934,1,2,,,,15,1,2,2,,64,4,2,1,1,0.431606095,2,1,6,3,5,5,1
686,1,4,,1,2,1,1912,4,5,2,,,15,2,9,1,,86,5,2,1,0,1.1197769748,1,1,6,3,5,4,1
823,1,5,,4,1,1,1958,1,5,2,,,2,,4,1,,40,2,2,1,0,2.1648862347,1,1,2,1,4,5,1
823,2,5,,4,2,2,1961,1,3,,,,13,,,2,,37,2,2,1,0,2.1648862347,1,0,7,3,5,5,1
823,3,5,,4,2,3,1991,2,1,,,,17,,,3,,7,1,2,1,0,2.1648862347,1,0,7,3,5,5,1
823,4,5,,4,2,3,1994,2,1,,,,18,,,4,,4,1,2,1,0,2.1648862347,1,0,7,3,5,5,1
824,1,5,,1,1,1,1931,2,2,,,,15,8,1,1,,67,5,2,1,0,2.4217673945,1,1,6,3,5,5,1
923,1,13,,2,2,1,1932,4,2,,,,16,,,1,,66,5,4,3,2,0.3221343399,1,1,6,3,5,13,3
923,2,13,,2,2,3,1970,2,5,2,,,17,,,2,,28,1,4,3,2,0.3221343399,1,0,7,3,5,13,3
1084,1,6,,4,1,1,1949,1,7,,4,,3,,9,1,,49,3,2,1,2,0.4297907995,2,1,2,1,3,6,1
1084,2,6,,4,2,2,1950,1,7,,9,,3,,9,2,,48,3,2,1,2,0.4297907995,2,1,2,1,3,6,1
1084,3,6,,4,1,3,1980,2,3,,,,17,,,3,,18,1,2,1,2,0.4297907995,2,0,7,3,5,6,1
1084,4,6,,4,1,3,1985,2,2,,,,17,,,4,,13,1,2,1,2,0.4297907995,2,0,7,3,5,6,1
1238,1,15,,4,1,1,1937,1,2,,,,15,1,2,1,,61,4,4,3,2,0.3352988428,2,1,6,3,5,15,3
1238,2,15,,4,2,2,1931,1,2,,,,13,,,2,,67,5,4,3,2,0.3352988428,2,1,7,3,5,15,3
1238,3,15,,4,1,3,1969,2,5,2,,,11,,,3,,29,1,4,3,2,0.3352988428,2,0,7,3,5,15,3
1238,4,15,,4,2,3,1972,2,5,4,,,11,,,4,,26,1,4,3,2,0.3352988428,2,0,7,3,5,15,3
1367,1,18,,2,1,1,1927,1,2,,,,15,6,4,1,,71,5,4,3,2,0.9402053371,2,1,6,3,5,18,3
1367,2,18,,2,2,2,1930,1,1,,,,13,,,2,,68,5,4,3,2,0.9402053371,2,1,7,3,5,18,3
1371,1,18,,4,1,1,1950,1,2,,,,2,,9,1,,48,3,4,3,1,0.6963656794,1,1,2,1,3,18,3
1371,2,18,,4,2,2,1955,1,2,,,,13,,,2,,43,3,4,3,1,0.6963656794,1,0,7,3,5,18,3
1371,3,18,,4,1,3,1976,2,3,,,97,11,,,,2,22,1,4,3,1,0.6963656794,1,0,7,3,5,18,3
1371,4,18,,4,1,3,1984,2,2,,,,17,,,5,,14,1,4,3,1,0.6963656794,1,0,7,3,5,18,3
1387,1,16,,2,2,1,1925,1,1,,,,15,8,1,1,,73,5,4,3,2,0.4770529708,2,1,6,3,5,16,3
1387,2,16,,2,1,2,1923,1,1,,,,15,8,1,2,,75,5,4,3,2,0.4770529708,2,1,6,3,5,16,3
1391,1,16,,1,2,1,1929,4,3,,,,15,1,2,1,,69,5,4,3,2,0.6523645917,1,1,6,3,5,16,3
1492,1,5,,2,1,1,1921,1,2,,,,16,,,1,,77,5,2,1,0,2.4320278861,2,1,6,3,5,5,1
1492,2,5,,2,2,2,1926,1,1,,,,13,,,2,,72,5,2,1,0,2.4320278861,2,1,7,3,5,5,1
1759,1,17,,1,2,1,1914,4,1,,,,15,1,1,1,,84,5,4,3,0,2.2265889219,1,1,6,3,5,17,3
1763,1,17,,4,1,1,1947,1,2,,,,1,,2,1,,51,4,4,3,0,1.7143124925,3,1,1,1,2,17,3
1763,2,17,,4,2,2,1954,1,2,,,,12,1,1,2,,44,3,4,3,0,1.7143124925,3,1,7,3,5,17,3
1763,3,17,,4,2,3,1976,2,3,,,,11,,,4,,22,1,4,3,0,1.7143124925,3,0,7,3,5,17,3
1763,4,17,,4,2,5,1910,4,1,,,,15,1,1,,,88,5,4,3,0,1.7143124925,3,1,6,3,5,17,3
1826,1,8,,2,1,1,1929,1,2,,,,15,1,3,1,,69,5,2,1,2,1.329684464,1,1,6,3,5,8,1
1826,2,8,,2,2,2,1930,1,2,,,,13,,,2,,68,5,2,1,2,1.329684464,1,0,7,3,5,8,1
1927,1,5,,2,2,1,1933,4,3,,,,16,,,1,,65,4,2,1,2,1.3978675362,2,1,6,3,5,5,1
1927,2,5,,2,2,3,1974,2,5,2,,,2,,8,2,,24,1,2,1,2,1.3978675362,2,1,2,1,4,5,1
1946,1,5,,6,1,1,1953,2,5,2,,,12,11,9,1,,45,3,2,1,2,0.667339581,3,1,7,3,5,5,1
1946,2,5,,6,2,4,1920,4,2,,,,13,,,2,,78,5,2,1,2,0.667339581,3,1,7,3,5,5,1
1946,3,5,,6,1,5,1939,3,2,,,,12,1,2,3,,59,4,2,1,2,0.667339581,3,0,7,3,5,5,1
1946,4,5,,6,1,5,1959,1,3,,,,1,,2,4,,39,2,2,1,2,0.667339581,3,1,1,1,2,5,1
1946,5,5,,6,2,5,1966,1,3,,,,13,,,5,,32,2,2,1,2,0.667339581,3,0,7,3,5,5,1
1946,6,5,,6,2,5,1992,2,1,,,,17,,,6,,6,1,2,1,2,0.667339581,3,0,7,3,5,5,1
2178,1,9,,3,1,1,1928,1,2,,,,15,1,2,2,,70,5,3,2,2,0.3499064315,3,1,6,3,5,9,2
2178,2,9,,3,2,2,1933,1,5,1,,,15,2,9,3,,65,4,3,2,2,0.3499064315,3,1,6,3,5,9,2
2178,3,9,,3,1,3,1959,2,4,,,,2,,7,1,,39,2,3,2,2,0.3499064315,3,1,2,1,4,9,2
2274,1,15,,3,1,1,1928,1,2,,,,16,,,1,,70,5,4,3,0,3.4529893028,2,1,6,3,5,15,3
2274,2,15,,3,2,2,1927,1,2,,,,16,,,2,,71,5,4,3,0,3.4529893028,2,1,6,3,5,15,3
2274,3,15,,3,2,3,1961,2,5,3,,,11,,,3,,37,2,4,3,0,3.4529893028,2,0,7,3,5,15,3
