NQUEST,NORD,MCERC,OFFERTE,NOFFERTE,NRIFIUTI,NESPLAV,EXLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,ETAPEN,ETALAV2,NOMALAT,MALAT,CERC
34,1,,2,,,8,3,24,1,25,,60,49,1,,2
34,2,,2,,,1,1,23,1,35,,60,,1,,2
34,3,4,2,,,,,,,,,,,,,2
34,4,4,2,,,,,,,,,,,,,2
123,1,7,2,,,1,2,8,1,36,,,,,,2
123,2,1,2,,,,,,,,,,,,,2
123,3,6,2,,,1,1,13,1,3,,,,,,2
123,4,5,2,,,1,2,13,2,,,,,,,2
173,1,,2,,,1,1,23,1,26,,60,,1,,2
173,2,,2,,,,,,,,,,,,,1
173,3,9,2,,,,,,,,,,,,,2
173,4,9,2,,,,,,,,,,,,,2
304,1,,2,,,1,1,24,1,14,,65,,1,,2
304,2,1,2,,,,,,,,,,,,,2
325,1,,2,,,,,,,,,,,,,2
325,2,,2,,,1,1,5,1,4,,,,,,2
375,1,,2,,,1,1,15,2,,,,,,,2
375,2,,2,,,,,,,,,,,,,2
376,1,,2,,,1,1,28,1,28,,65,,1,,2
376,2,1,2,,,,,,,,,,,,,2
376,3,10,2,,,,,,,,,,,,,2
376,4,,2,,,1,1,23,1,2,,60,,1,,2
465,1,,2,,,2,1,20,1,27,,65,30,1,,2
465,2,,2,,,2,1,18,1,14,,60,30,1,,2
465,3,9,2,,,,,,,,,,,,,2
465,4,9,2,,,,,,,,,,,,,2
474,1,,2,,,3,3,12,1,15,,,,,,2
558,1,,2,,,2,3,15,1,18,,65,37,2,7,2
558,2,,2,,,3,1,16,1,5,,60,17,1,,2
558,3,,2,,,8,1,16,1,5,,60,24,1,,2
561,1,,2,,,2,3,22,1,27,,70,45,1,,2
561,2,1,2,,,1,2,17,1,8,,,,,,2
561,3,9,2,,,,,,,,,,,,,2
629,1,,2,,,1,3,15,1,45,,,,,,2
629,2,,2,,,1,1,14,1,30,,,,,,2
629,3,,2,,,1,1,19,1,11,,65,,1,,2
629,4,,2,,,1,1,15,1,14,,65,,2,7,2
632,1,,2,,,1,1,23,1,29,,60,,1,,2
632,2,,2,,,5,1,18,1,25,,62,30,1,,2
632,3,,2,,,1,1,19,1,3,,57,,1,,2
632,4,9,2,,,,,,,,,,,,,2
633,1,,2,,,1,1,25,1,36,,,,,,2
633,2,,2,,,2,1,14,1,15,,,,,,2
686,1,,2,,,,,,,,,,,,,2
823,1,,2,,,1,1,21,1,20,,65,,1,,2
823,2,1,2,,,1,1,16,1,7,,,,,,2
824,1,,2,,,1,2,11,1,15,,,,,,2
923,1,,2,,,,,,,,,,,,,2
