NQUEST,IREG,NQUESTP,CODINT,NCOMP,STUPCF,STUMCF,CONPCF,CONMCF,SETPCF,SETMCF,ANAPCF,ANAMCF,VITFCF,NFRATCF,NSORECF,FIGLICF,NFIGLICF,STUPCO,STUMCO,CONPCO,CONMCO,SETPCO,SETMCO,ANAPCO,ANAMCO,VITFCO,NFRATCO,NSORECO,CAPI,QUEST,NOPCF,NOMCF,NOPCO,NOMCO,INC1,TINCRIM,INC2,TINCRAF,DEC1,TDECRIM,DEC2,TDECRAF
34,8,,59,4,5,3,6,9,4,,1913,1922,1,1,3,2,,5,3,2,9,3,,1911,1921,1,0,2,1,3,,,,,,,,,,,,
123,18,,2,4,2,2,1,1,1,1,1905,1914,1,5,2,1,2,2,2,1,1,1,1,1905,1921,1,2,0,1,3,,,,,,,,,,,,
173,18,,185,4,3,3,2,8,3,4,1923,1923,1,1,7,2,,3,3,2,9,3,,1922,1924,1,0,1,1,3,,,,,,,,,,,,
304,18,,255,3,2,2,8,9,1,,1920,1921,1,3,3,2,,2,2,8,9,1,,1938,1940,1,0,2,1,3,,,,,,,,,,,,
325,8,,302,2,2,2,1,9,2,,1913,1914,2,,,2,,,,,,,,,,,,,1,3,,,,,,,,,,,,
375,16,,184,2,1,1,1,9,2,,1890,1895,1,2,0,1,2,1,1,1,9,3,,1892,1893,1,0,3,1,3,,,,,,,,,,,,
376,16,,184,4,2,2,2,9,3,,1916,1909,1,1,0,2,,1,1,1,9,1,,1917,1921,1,0,1,1,3,,,,,,,,,,,,
465,8,,157,4,2,2,7,7,1,1,1930,1930,2,,,2,,2,2,7,7,1,1,1928,1931,1,0,1,1,3,,,,,,,,,,,,
474,8,,157,1,1,1,9,9,,,1888,1888,1,1,2,1,5,,,,,,,,,,,,1,3,,,,,,,,,,,,
558,8,,254,3,3,2,8,8,1,1,1926,1927,1,0,1,2,,,,,,,,,,,,,1,3,,,,,,,,,,,,
561,8,,254,3,2,2,1,1,1,1,1911,1913,2,,,1,2,2,2,8,8,1,1,1911,1910,1,1,1,1,3,,,,,,,,,,,,
629,5,,228,4,,1,,1,,1,,,2,,,2,,,,,,,,,,,,,0,3,1,,,,,,,,,,,
632,5,,228,4,2,2,2,9,3,,1911,,1,5,2,2,,2,2,8,8,4,4,1923,,1,1,1,0,3,,,,,,,,,,,,
633,5,,228,2,2,2,1,9,2,,1892,1897,1,1,2,1,2,2,2,7,9,1,,1884,1889,1,0,3,0,3,,,,,,,,,,,,
686,4,,79,1,3,3,9,9,,,1881,1889,1,1,0,1,5,,,,,,,,,,,,1,3,,,,,,,,,,,,
823,5,,257,4,2,3,1,9,2,,1928,1929,1,0,2,2,,2,3,8,9,4,,1928,1930,1,0,2,1,3,,,,,,,,,,,,
824,5,,257,1,1,1,8,9,1,,1878,1888,2,,,2,,,,,,,,,,,,,1,3,,,,,,,,,2,,2,
923,13,,139,2,2,2,1,9,4,,1896,1900,1,2,0,1,3,,,,,,,,,,,,1,3,,,,,,,,,,,,
1084,6,,162,4,1,1,2,9,2,,1918,1912,2,,,2,,4,2,2,9,3,,1922,1924,1,0,2,1,3,,,,,,,,,,,,
1238,15,,57,4,,,,,,,,,2,,,1,2,2,2,8,8,4,4,1902,1910,2,,,1,3,1,1,,,,,,,,,,
1367,18,,2,2,2,2,1,9,1,,1901,1907,1,1,1,1,3,1,1,1,9,1,,1900,1908,1,0,2,1,3,,,,,,,,,,,,
1371,18,,2,4,2,2,1,9,2,,1927,1928,1,1,1,1,1,2,2,1,9,4,,1926,1926,1,2,0,1,3,,,,,,,,,2,,2,
1387,16,,7,2,1,1,8,8,1,1,1892,1896,1,1,2,1,2,1,1,8,8,1,1,1880,1896,1,2,1,1,3,,,,,,,,,,,,
1391,16,,7,1,1,1,1,9,1,,1900,1905,1,1,1,1,4,,,,,,,,,,,,1,3,,,,,,,,,,,,
1492,5,,257,2,,1,,9,,,,1897,1,0,1,1,3,1,1,9,9,,,1896,1898,1,0,1,1,3,1,,,,,,,,,,,
