NQUEST,DEPBANC,NDEPBANC,IDEPBANC,DEPBANR,NDEPBANR,IDEPBANR,DEPPOSR,NDEPPOSR,IDEPPOSR,DEPPOSC,NDEPPOSC,IDEPPOSC,UNABAN,BANCHE,INTERMED,NINTERME,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,PREFBA11,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,NASSBAN2,ASSBANE1,ASSBANE2,ASSBANE3,ASSBANE4,ASSBANE5,ASSBANE6,ASSBANE0,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BONIFIE4,BONIFIE5,BONIFIE6,BONIFIE0,BANCOMAT,NBANCOMA,NPREL1,NPREL1AN,BANCOME1,BANCOME2,BANCOME3,BANCOME4,BANCOME5,BANCOME6,BANCOME0,PRELMED1,PAGAM4U,PAGAM4,PAGAM4AN,POSE1,POSE2,POSE3,POSE4,POSE5,POSE6,POSE0,CARTA,CARTE,CARTARAT,PCARTE,NPAGCART,NPAGCAAN,CARTEE1,CARTEE2,CARTEE3,CARTEE4,CARTEE5,CARTEE6,CARTEE0,MINCON,NPREL2,NPREL2AN,PRELE1,PRELE2,PRELE3,PRELE4,PRELE5,PRELE6,PRELE0,PRELMED2,VERSAM,NVERS,VERSE1,VERSE2,VERSE3,VERSE4,VERSE5,VERSE6,VERSE0,VERSMED,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,SCORTA,SCORE1,SCORE2,SCORE3,SCORE4,SCORE5,SCORE6,SCORE0,SPESECON,SPESECE1,SPESECE2,SPESECE3,SPESECE4,SPESECE5,SPESECE6,SPESECE0,INTERNET,ACQINTER,TAXCC
34,1,4,3,2,,,1,1,1,2,,,2,2,2,,3,0,0,0,0,0,0,0,0,0,0,0,,1,30000,1,3,,,,,,,,1,1,2,2,1,,,,,,,,,,1,12,,,,,,,1,1,2,3,,,,,,,,1,300,2,,,,,,,,,,2,,,,,,,,,,,,,500,1,,,,,,,,1,600,1,70,,,,,,,1,700,30,60,10,,,1,1,1,2,2,800,,,,,,,1,4000,,,,,,,1,1,2,1
123,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,1,0,1,0,0,0,0,0,,1,1000,1,3,,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,100,2,,,,,,,,1,300,2,,,,,,,,,,,,,,,2,2,2,2,2,300,,,,,,,1,1000,,,,,,,1,2,,4
173,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,3,1,7000,1,3,,,,,,,,1,1,2,2,2,,,,,,,,,,1,2,,,,,,,1,1,1,5,,,,,,,,1,200,2,,,,,,,,,,1,1,1,,2,,,,,,,,1,250,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,250,,,,,,,1,800,,,,,,,1,2,,
304,2,,,2,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,4,,,,,,,,1,400,1,12,,,,,,,1,1000,100,,,,,1,2,2,2,2,500,,,,,,,1,1500,,,,,,,1,2,,
325,1,1,2,1,1,1,2,,,2,,,1,1,2,,3,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,0,10,,,,,,,1,2,1,2,2,0,0,0,0,0,0,1,0,0,2,,,,,,,,,1,1,2,,,,,,,,1,400,2,,,,,,,,,,2,,,,,,,,,,,,,100,2,,,,,,,,1,200,1,10,,,,,,,1,1200,100,,,,,1,2,2,2,2,300,,,,,,,1,900,,,,,,,1,2,,
375,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,300,,,,,,,1,700,,,,,,,1,2,,
376,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,1,15000,2,,,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,1,1,0,0,,,,,,,1,,2,,,,,,,,,,2,,,,,,,,,,,,,500,3,,,,,,,,1,500,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,1,2700,,,,,,,1,2,,5
465,1,1,1,1,1,1,2,,,2,,,2,2,2,,4,0,0,0,0,0,1,0,0,0,0,0,,2,,2,,,,,,,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,,,,,,,,,1,1,0,2,2,,,,,,0,500,2,,,,,,,,,,2,,,,,,,,,,,,,100,0,0,2,3,,,,,0,,1,12,,,,,,,1,800,100,,,,,1,2,2,2,2,1000,,,,,,,1,2000,,,,,,,1,2,,2
474,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,,2,,1,1,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,2,,,,,,,,,500,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,,1500,,,,,,,,2,,2.5
558,1,1,2,1,1,1,2,,,2,,,1,1,2,,3,0,0,0,0,0,0,0,0,0,0,0,,3,,1,0,10,2,3,,,,,0,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,2,,2,3,,,,,0,300,2,,,,,,,,,,,40,60,,,2,1,1,2,2,400,,,,,,,1,2500,,,,,,,1,2,,1.5
561,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,1,10000,2,,,,,,,,,,2,2,2,1,0,0,0,0,0,0,0,1,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,2,,0,0,2,3,,,,,0,100,2,,3,,,,,,0,500,1,10,3,,,,,,0,1000,90,,10,,,1,2,1,2,2,500,,,,,,,1,1500,,,,,,,1,1,2,1.5
629,1,3,3,1,1,1,2,,,2,,,2,2,2,,4,0,0,0,0,0,0,0,0,0,0,0,6,2,,2,,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,3,2,,,,,,,,1,500,1,8,,,,,,,,1,2,,,,,,,,,,,,,200,0,0,,,,,,,1,,2,,,,,,,,,,15,40,45,,,1,1,1,2,2,500,,,,,,,1,500,,,,,,,1,2,,
632,1,2,3,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,1,0,0,0,0,3,1,5000,1,2,,,,,,,,1,1,2,2,1,,,,,,,,,,2,,,,,,,,,1,2,10,,,,,,,,1,100,2,,,,,,,,,,2,,,,,,,,,,,,,50,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,300,,,,,,,1,2000,,,,,,,1,2,,
633,1,1,2,2,,,1,1,2,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,2,,1,0,3,,,,,,,1,2,2,2,2,0,0,0,0,0,0,1,0,0,2,,,,,,,,,1,1,1,,,,,,,,1,500,2,,,,,,,,,,2,,,,,,,,,,,,,100,0,8,,,,,,,1,1000,2,,,,,,,,,,,70,,,30,2,1,2,2,1,500,,,,,,,1,2000,,,,,,,1,2,,0
686,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,,2,,1,0,4,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,3,,,,,,,,,500,2,,,,,,,,,,2,,,,,,,,,,,,,100,0,0,,,,,,,,,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,,1000,,,,,,,,2,,0
823,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,1,,,,,,,,1,2,2,2,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2000,0,0,,,,,,,1,,1,10,,,,,,,1,2000,100,,,,,1,2,2,2,2,2000,,,,,,,1,1000,,,,,,,1,2,,
824,1,1,1,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,2,2,,2,,,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1000,1,,,,,,,,,500,1,4,,,,,,,,2000,,90,10,,,2,1,1,2,2,1000,,,,,,,,1000,,,,,,,,2,,
923,1,1,1,2,,,2,,,2,,,1,1,2,,2,0,0,0,1,0,1,0,0,0,0,0,,2,,1,3,,,,,,,,1,2,2,2,2,0,0,0,0,0,0,1,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,100,3,,,,,,,,1,150,2,,,,,,,,,,45,55,,,,1,1,2,2,2,200,,,,,,,1,1100,,,,,,,1,2,,3
1084,1,2,2,1,1,1,1,1,2,2,,,2,2,2,,4,0,0,0,0,0,0,0,0,0,0,0,,1,5000,1,3,,3,4,,,,,0,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,500,2,,,,,,,,1,1500,2,,,,,,,,,,,100,,,,2,1,2,2,2,1500,,,,,,,1,4000,,,,,,,1,2,,1.75
1238,2,,,2,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,,,,,,,,1,600,2,,,,,,,,,,100,,,,,1,2,2,2,2,1800,,,,,,,1,1000,,,,,,,1,2,,
1367,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,1000,,,,,,,1,1000,,,,,,,1,2,,
1371,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,1,0,0,0,0,,1,5000,1,0,13,,,,,,,1,1,2,1,1,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,2,,2,,,,,,,,1,500,0,12,,,,,,,1,1200,2,,,,,,,,,,,100,,,,2,1,2,2,2,1000,,,,,,,1,1300,,,,,,,1,2,,3
1387,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,500,,,,,,,1,1000,,,,,,,1,2,,
1391,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,400,,,,,,,,400,,,,,,,,2,,
1492,2,,,1,1,2,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,6,,,,,,,,1,1000,2,,,,,,,,,,,100,,,,2,1,2,2,2,300,,,,,,,1,1300,,,,,,,1,2,,
1759,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,720,,,,,,,,720,,,,,,,,2,,
1763,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,1600,,,,,,,1,1600,,,,,,,1,2,,
1826,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,2,,2,,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,0,20,,,,,,,1,200,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,1,1300,,,,,,,1,2,,1.75
1927,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,1,0,0,0,,1,3000,1,0,2,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,3,,,,,,,,1,400,1,2,,,,,,,,1,2,,,,,,,,,,,,,30,1,,,,,,,,1,400,2,,,,,,,,,,,40,60,,,2,1,1,2,2,400,,,,,,,1,800,,,,,,,1,2,,1
1946,2,,,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,,,,,,,1,,2,,,,,,,,,,,,50,50,,2,2,1,1,2,100,,,,,,,1,1500,,,,,,,1,2,,
2178,1,1,3,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,2,,1,0,6,,,,,,,1,1,2,1,1,,,,,,,,,,2,,,,,,,,,1,1,3,,3,,,,,,0,500,1,2,,3,,,,,,0,1,2,1,2,3,,,,,,,,1,10,0,3,3,,,,,,0,300,2,,,,,,,,,,,90,10,,,2,1,1,2,2,2000,3,,,,,,0,800,3,,,,,,0,2,,3
2274,2,,,1,1,1,1,1,1,2,,,1,1,2,,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0,0,,,,,,,1,,2,,,,,,,,,,100,,,,,1,2,2,2,2,300,,,,,,,1,1200,,,,,,,1,2,,
2447,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,2,,1,0,6,2,3,4,,,,0,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,1,1,4,,2,3,4,,,,0,400,2,,,,,,,,,,1,1,2,,0,0,2,3,4,,,,0,20,0,0,2,3,4,,,,0,,2,,,,,,,,,,10,70,20,,,1,1,1,2,2,150,,,,,,,1,2000,,,,,,,1,2,,1.3
2485,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,850,,,,,,,,850,,,,,,,,2,,
2866,1,1,1,1,1,1,1,3,3,1,1,1,1,1,2,,2,0,0,0,0,0,0,0,0,0,0,0,,3,,2,,,,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,500,1,,,,,,,,1,250,2,,,,,,,,,,30,,70,,,1,2,1,2,2,500,,,,,,,1,700,,,,,,,1,2,,6
2875,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,600,,,,,,,1,1000,,,,,,,1,2,,
2886,1,1,1,2,,,1,1,2,1,1,1,1,1,2,,3,1,0,0,0,0,0,0,0,0,0,0,,1,10000,1,1,,,,,,,,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,500,1,,,,,,,,1,1500,2,,,,,,,,,,,100,,,,2,1,2,2,2,1000,,,,,,,1,3500,,,,,,,1,2,,1.3
2963,1,1,2,2,,,2,,,2,,,1,1,2,,3,0,0,0,0,0,0,0,0,0,0,0,3,2,,2,,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1500,0,2,,,,,,,1,500,1,5,,,,,,,1,1000,90,10,,,,1,1,2,2,2,1400,,,,,,,1,500,,,,,,,1,2,,
2970,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,1800,,,,,,,1,1000,,,,,,,1,2,,
3078,1,1,2,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,1,0,0,0,0,0,,1,5000,1,1,,,,,,,,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,100,1,,,,,,,,1,2000,2,,,,,,,,,,100,,,,,1,2,2,2,2,2000,,,,,,,1,1700,,,,,,,1,2,,1.5
3193,1,1,1,2,,,2,,,2,,,1,1,2,,2,0,1,0,0,0,0,0,1,0,0,0,,1,5000,2,,,,,,,,,,2,2,2,2,0,0,0,1,0,0,0,0,0,2,,,,,,,,,1,1,4,,,,,,,,1,100,2,,,,,,,,,,2,,,,,,,,,,,,,200,2,,,,,,,,1,200,2,,,,,,,,,,,,100,,,2,2,1,2,2,100,,,,,,,1,900,,,,,,,1,2,,2.5
3203,1,1,2,2,,,2,,,2,,,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,,1,2000,1,3,,,,,,,,1,1,2,1,2,,,,,,,,,,2,,,,,,,,,1,1,4,,,,,,,,1,500,1,3,,,,,,,,1,1,1,2,,2,,,,,,,,1,100,1,,,,,,,,1,1000,2,,,,,,,,,,,100,,,,2,1,2,2,2,300,,,,,,,1,2500,,,,,,,1,2,,1
3299,1,2,3,2,,,2,,,2,,,2,2,2,,4,0,0,0,0,0,0,1,0,0,0,0,4,1,5000,1,0,6,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,3,15,,,,,,,,1,300,1,1,,2,3,5,,,,0,1,1,2,,1,,2,3,5,,,,0,100,0,2,2,5,,,,,0,300,1,2,3,4,5,,,,0,1000,,60,40,,,2,1,1,2,2,250,,,,,,,1,1800,,,,,,,1,2,,
3663,1,2,1,2,,,2,,,2,,,2,2,2,,3,0,0,0,1,0,1,0,0,0,0,0,2,1,15000,1,1,,,,,,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,300,1,,,,,,,,,500,1,12,,,,,,,,1000,,100,,,,2,1,2,2,2,500,,,,,,,,1000,,,,,,,,2,,
3717,1,1,1,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,1,2,2,,2,,,,,,,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,300,2,,,,,,,,,400,1,12,,,,,,,,600,70,,30,,,1,2,1,2,2,400,,,,,,,,800,,,,,,,,2,,
