NQUEST,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,POSS,IMPACQ,MUTUOAB,TMUTUOAB,MUTUOAG,AGEV1,AGEV2,AGEV3,AGEV4,AGEV5,MUTUOIN,MUTUODU,MUTUOVA1,MUTUOVA2,MUTUOVA3,MUTUOVA4,TIPOTAX,TFITTO,TIPOAFF,PROPRIET,ANABIT,TFITIMP,UBIC1,UBIC2,CATABIT,SUPAB,ANCOSTR,RISTRUT,BAGNI,RISCALD,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,VENDIM,NVENDIM,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,TAXFIS,TAXVAR
34,1,1,,1994,1,,,,,,1,630000,1,12500,1,0,0,1,0,0,50000,5,,,,,2,,,,,1500,3,3,3,135,1925,2,2,1,800000,2,,2,,2,,2,,2,,2,,1,4000,,7
123,1,1,,1978,1,,,,,,6,40000,2,,,,,,,,,,,,,,,,,,,1000,1,3,5,200,1978,2,1,1,300000,2,,2,,2,,2,,2,,2,,2,,,
173,1,1,,1994,1,,,,,,1,150000,,,,,,,,,,,,,,,,,,,,800,6,3,3,135,1988,1,2,1,200000,2,,2,,2,,2,,2,,2,,1,2500,,
304,1,1,,1986,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,250,2,3,3,100,1965,2,1,1,60000,2,,2,,2,,2,,2,,2,,2,,,
325,1,1,,1961,1,,,,,,1,14000,,,,,,,,,,,,,,,,,,,,600,3,3,4,80,1959,2,1,1,180000,2,,2,,2,,2,,2,,2,,2,,,
375,1,1,,1970,1,,,,,,1,15000,,,,,,,,,,,,,,,,,,,,500,4,1,2,120,1965,2,2,1,200000,2,,2,,2,,2,,2,,2,,2,,,
376,1,1,,1970,1,,,,,,1,20000,,,,,,,,,,,,,,,,,,,,700,3,1,2,120,1970,2,2,1,200000,2,,2,,2,,2,,2,,2,,2,,,
465,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1983,500,1,3,2,130,1980,2,1,1,250000,2,,2,,1,,1,1,2,,2,,2,,,
474,1,2,75,1958,1,,,,,,1,3300,,,,,,,,,,,,,,,,,,,,900,4,1,4,160,1920,2,2,2,150000,2,,1,1,2,,2,,2,,2,,2,,,
558,1,1,,1980,1,2,3,,,,1,15000,,,,,,,,,,,,,,,,,,,,800,2,3,3,90,1970,2,1,1,100000,2,,2,,2,,2,,2,,2,,2,,,
561,1,1,,1979,1,2,,,,,6,52000,1,2600,1,0,0,1,0,0,45000,20,,,,,2,,,,,900,4,3,3,120,1979,2,2,1,240000,2,,2,,2,,2,,2,,2,,2,,,12
629,1,1,,1981,1,3,4,,,,2,65000,,,,,,,,,,,,,,,,,,,,1000,3,1,3,130,1981,1,2,1,300000,2,,2,,2,,2,,2,,2,,1,3000,,
632,1,1,,1984,1,2,,,,,6,40000,,,,,,,,,,,,,,,,,,,,1500,1,1,3,100,1983,2,1,1,300000,1,2,2,,2,,2,,2,,2,,2,,,
633,1,1,,1965,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,800,1,1,2,120,1965,1,2,1,200000,2,,2,,1,1,2,,2,,2,,2,,,
686,1,1,,1986,1,,,,,,2,80000,,,,,,,,,,,,,,,,,,,,800,6,3,3,80,1986,2,1,1,200000,2,,2,,2,,2,,2,,2,,2,,,
823,1,1,,1984,1,2,,,,,6,60000,,,,,,,,,,,,,,,,,,,,1500,4,1,1,200,1984,2,2,1,500000,1,2,2,,2,,2,,2,,2,,2,,,
824,1,1,,1979,1,,,,,,6,100000,,,,,,,,,,,,,,,,,,,,600,1,3,4,180,1979,2,2,1,400000,1,1,2,,1,1,2,,2,,2,,2,,,
923,1,1,,1968,1,,,,,,6,12000,,,,,,,,,,,,,,,,,,,,800,4,1,3,200,1968,3,2,1,350000,1,1,1,1,2,,2,,2,,2,,2,,,
1084,1,1,,1991,1,2,,,,,6,175000,,,,,,,,,,,,,,,,,,,,1000,2,3,3,140,1990,2,2,1,300000,1,1,2,,2,,2,,2,,2,,2,,,
1238,1,1,,1969,2,,,,,,1,10000,,,,,,,,,,,,,,,,,,,,500,3,3,5,80,1960,2,1,2,130000,2,,2,,2,,2,,2,,2,,2,,,
1367,1,1,,1968,2,,,,,,1,1250,,,,,,,,,,,,,,,,,,,,300,4,2,4,110,1700,2,2,1,40000,2,,2,,2,,2,,2,,2,,2,,,
1371,1,1,,1965,1,2,,,,,6,36000,,,,,,,,,,,,,,,,,,,,500,3,3,3,110,1965,2,1,2,100000,2,,2,,2,,2,,2,,2,,2,,,
1387,1,1,,1964,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,500,6,3,3,40,1921,2,1,2,40000,2,,2,,2,,2,,2,,2,,2,,,
1391,1,2,1,1987,1,,,,,,1,30000,,,,,,,,,,,,,,,,,,,,300,4,3,3,44,1920,2,1,1,60000,2,,2,,2,,2,,2,,2,,2,,,
1492,1,1,,1923,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,600,3,3,4,200,1923,2,2,1,200000,2,,2,,1,1,2,,2,,2,,2,,,
1759,1,1,,1961,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,150,4,3,5,45,1800,2,1,2,35000,2,,2,,2,,2,,2,,2,,2,,,
