NQUEST,DURATA,COMPRENS,FACIL,INTERES,VERORED,KLIMA
34,60,8,8,8,8,8
123,60,6,6,9,5,9
173,80,10,10,10,10,10
304,50,9,9,9,10,10
325,45,3,3,2,4,6
375,60,8,8,8,8,8
376,65,8,9,9,9,9
465,60,10,10,10,5,10
474,35,10,10,10,10,10
558,50,8,7,7,8,9
561,45,9,10,9,9,10
629,140,8,10,9,9,10
632,75,7,7,8,9,10
633,59,9,10,6,6,10
686,30,8,8,8,8,8
823,30,10,10,9,10,10
824,30,9,7,10,10,10
923,55,6,6,6,6,7
1084,60,8,8,8,8,9
1238,45,9,8,8,9,9
1367,60,7,8,9,9,9
1371,60,7,8,9,9,9
1387,45,7,7,8,6,9
1391,40,9,8,9,8,9
1492,50,9,7,9,9,10
1759,30,7,7,7,7,7
1763,40,7,5,6,7,5
1826,80,9,8,7,10,8
1927,50,10,10,6,8,9
1946,120,10,10,10,10,10
2178,60,9,9,9,9,9
2274,35,7,6,6,6,6
2447,65,8,6,9,9,9
2485,20,9,9,9,9,10
2866,30,7,7,7,7,7
2875,20,6,6,5,5,5
2886,50,9,10,9,10,10
2963,35,9,9,9,9,9
2970,60,8,8,8,8,8
3078,60,8,8,8,7,10
3193,60,2,3,2,6,8
3203,70,10,10,10,10,10
3299,90,5,4,7,7,5
3663,32,9,9,9,9,9
3717,24,9,9,10,10,10
3905,70,6,5,7,6,7
4236,40,6,6,4,7,7
4238,50,8,8,7,8,8
4266,75,7,7,7,8,7
4297,45,6,6,7,9,10
4370,70,8,8,8,8,8
4732,60,6,7,4,5,6
4939,60,7,6,6,6,6
5027,50,6,6,7,5,6
5028,60,9,9,10,9,9
5416,60,9,9,7,9,9
5816,90,10,9,10,10,10
6090,55,6,4,7,7,7
6501,65,9,9,9,8,10
6522,55,10,8,7,9,6
7015,70,10,10,10,10,10
7089,60,8,7,6,7,8
7091,70,7,7,6,8,8
7097,60,8,7,7,8,8
7098,50,7,8,7,7,8
7160,70,8,7,8,8,9
7165,60,8,8,8,8,8
7166,80,8,8,8,8,8
7781,30,8,8,8,8,10
7886,45,9,9,8,8,9
7895,60,9,8,7,9,8
8332,50,1,2,4,1,4
8481,30,8,8,6,7,9
8754,60,8,8,8,10,10
8868,65,10,9,8,9,10
8915,62,6,6,6,6,6
8952,45,10,9,8,8,10
8954,70,10,10,9,9,10
8955,43,9,8,6,7,9
9248,90,9,8,9,8,9
9405,30,9,9,10,10,10
9411,40,9,6,7,8,3
9526,70,9,9,9,9,9
11940,50,10,10,9,10,10
11972,90,9,9,9,10,10
20010,60,10,10,10,10,10
20019,40,10,10,10,10,9
20020,80,7,7,7,4,7
20028,60,8,10,10,9,9
20033,60,10,10,10,10,10
20047,50,10,10,10,10,10
20154,60,9,9,8,9,9
20169,30,8,8,8,8,8
20170,40,10,10,10,5,10
20174,80,7,7,8,9,8
20178,45,8,8,8,8,8
20179,50,10,9,8,9,9
20223,70,7,6,5,5,7
20231,70,10,10,10,10,10
20241,40,10,10,10,9,10
20258,25,9,9,9,10,9
20284,45,9,9,9,9,9
20285,45,6,6,6,4,7
20297,37,7,7,7,9,10
20372,55,3,1,10,10,8
20375,35,8,8,5,7,9
20380,40,10,10,10,10,10
20393,60,7,7,7,4,7
20499,60,8,8,7,6,9
20704,45,10,9,9,7,10
20711,50,8,8,8,9,10
20729,60,10,10,10,7,10
20766,75,8,8,8,8,8
20767,75,9,9,9,9,9
20782,60,8,8,8,8,8
20784,60,9,7,7,7,7
20798,50,7,5,6,7,8
20837,50,8,9,8,8,9
20839,75,9,9,7,8,9
20849,55,9,9,8,8,7
20862,35,10,10,10,10,10
20920,60,8,7,7,9,9
20936,40,8,4,4,2,2
20944,50,10,10,10,10,10
20981,60,10,10,10,10,10
20990,25,7,7,6,8,10
21003,50,10,10,10,10,10
21368,135,9,9,8,8,9
21384,50,7,7,7,7,7
21453,50,8,8,6,5,8
21456,60,10,10,8,6,7
21461,40,10,10,10,10,10
21464,35,9,9,9,10,10
21466,35,9,9,9,9,10
21472,70,8,8,9,8,10
21474,45,10,10,10,10,10
21482,30,8,8,8,10,10
21627,50,6,6,5,5,6
21639,90,9,9,9,9,8
21693,50,9,8,8,8,10
21699,40,10,10,8,9,10
21761,25,7,7,7,7,7
21772,35,7,8,7,7,8
21926,40,8,10,10,9,10
21952,30,5,5,6,5,8
22021,55,6,7,7,6,7
22067,90,9,9,8,10,10
22074,60,10,10,10,10,10
22099,45,9,9,10,8,9
22155,60,10,10,10,8,10
22167,45,10,10,9,9,10
22168,60,7,6,4,8,8
22169,35,6,6,5,6,6
22173,50,7,7,5,7,7
22202,50,7,7,7,6,8
22203,50,7,7,7,6,8
22208,50,7,7,7,7,7
22222,45,9,9,9,9,9
22224,45,8,8,8,8,8
22225,95,10,10,10,10,10
22226,60,7,7,8,7,9
22251,65,6,4,5,5,6
22262,65,9,9,6,6,9
22263,55,7,9,8,8,10
22265,50,6,8,8,4,8
22266,50,8,6,7,5,9
22268,45,9,8,6,4,9
22272,80,9,9,9,9,10
22273,40,8,8,9,8,9
22274,50,9,8,9,6,9
22276,90,10,10,10,10,10
22277,60,10,10,10,10,10
22278,40,10,10,10,10,10
22279,30,10,10,10,10,10
