NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YM3,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
34,154440,29000,29000,0,48000,48000,48000,0,0,0,0,0,60000,60000,0,0,17440,18000,0,18000,-560,880,0,0,1440
123,2563.0833022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563.0833022,12000,0,12000,-9436.916698,963.08330219,0,0,10400
173,40728,30600,28600,2000,0,0,0,0,0,0,0,0,0,0,0,0,10128,9600,0,9600,528,528,0,0,0
304,26760,22000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,4760,3000,0,3000,1760,1760,0,0,0
325,31438.748974,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,8038.7489739,7200,0,7200,838.74897388,838.74897388,0,0,0
375,34080,1300,1300,0,26780,26780,26780,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
376,80620,72000,72000,0,0,0,0,0,0,0,0,0,0,0,0,0,8620,8400,0,8400,220,220,0,0,0
465,38352,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,8352,8000,0,8000,352,352,0,0,0
474,36772,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,17272,12000,0,12000,5272,352,4920,0,0
558,80913.059545,55385.059545,53000,2385.0595452,10400,10400,10400,0,0,0,0,0,5000,5000,0,0,10128,9600,0,9600,528,528,0,0,0
561,47466.618949,0,0,0,0,0,0,0,0,0,0,0,34000,35000,1000,0,13466.618949,10800,0,10800,2666.6189491,88,2914.6189491,0,336
629,89120,40000,40000,0,32500,32500,32500,0,0,0,0,0,0,0,0,0,16620,12000,0,12000,4620,4620,0,0,0
632,83430,61000,61000,0,1500,0,0,0,1500,0,1500,0,0,0,0,0,20930,19400,1400,18000,1530,308,0,1222,0
633,49428,0,0,0,35100,35100,35100,0,0,0,0,0,0,0,0,0,14328,9700,0,9700,4628,528,4100,0,0
686,38455.030869,0,0,0,28600,28600,28600,0,0,0,0,0,0,0,0,0,9855.0308685,9600,0,9600,255.03086855,255.03086855,0,0,0
823,76532,42800,42800,0,0,0,0,0,0,0,0,0,0,0,0,0,33732,27000,7000,20000,6732,1452,2460,2820,0
824,20440,0,0,0,8840,8840,8840,0,0,0,0,0,0,0,0,0,11600,9400,0,9400,2200,2200,0,0,0
923,26354,0,0,0,14710,8710,8710,0,6000,0,0,6000,0,0,0,0,11644,11600,0,11600,44,44,0,0,0
1084,88640,58000,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,30640,19000,7000,12000,11640,2992,0,8648,0
1238,25561.385301,0,0,0,19200,19200,19200,0,0,0,0,0,0,0,0,0,6361.3853015,6000,0,6000,361.38530149,361.38530149,0,0,0
1367,25900,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,7700,3600,0,3600,4100,0,4100,0,0
