NQUEST,NORD,FLEXORA,FLEXNOT,FLEXFEST,FLEXNORM,FLEXLIB,FLEXREG,FLEXNNOT,FLEXNFES
173,1,1,2,2,2,4,1,0,0
465,1,2,1,,,,,1,0
465,2,2,,,,,,0,0
558,1,1,2,2,4,4,1,0,0
558,2,1,2,2,2,3,2,0,0
558,3,1,2,2,3,4,1,0,0
632,1,1,1,2,1,4,1,23,7
632,2,1,2,2,4,4,1,0,0
632,3,1,2,2,4,4,1,0,0
823,1,1,2,2,4,4,1,0,0
1371,1,1,1,1,2,3,1,2,2
2178,3,1,2,2,3,3,1,0,0
2970,1,2,,,,,,0,0
3078,1,2,1,,,,,300,0
4732,1,1,2,2,4,3,1,0,3
5028,1,1,2,1,2,2,3,0,3
5028,3,1,2,2,4,2,1,0,0
5416,3,1,2,2,4,4,1,0,0
6090,2,1,2,2,5,4,1,0,0
6522,2,1,2,1,4,4,1,0,15
7089,1,2,1,,,,,1,0
7091,3,1,1,2,3,4,1,,0
7098,1,2,1,,,,,1,0
7160,3,1,2,1,1,3,1,0,8
7165,1,1,2,2,4,4,3,0,0
7165,2,1,2,2,4,4,3,0,0
7886,1,1,2,2,4,4,1,0,0
7895,1,1,2,2,4,4,1,0,0
8481,1,1,2,2,2,3,1,0,0
9248,1,1,2,2,2,2,5,0,2
11972,1,2,,,,,,0,6
11972,2,2,,,,,,0,6
11972,3,2,,,,,,0,6
20010,3,1,2,2,2,4,1,0,5
20297,1,1,2,2,2,3,1,0,1
20704,1,2,,,,,,0,0
20704,3,1,2,2,4,4,1,0,0
20711,3,1,2,2,4,4,1,0,0
20711,4,1,2,2,4,4,1,0,0
20711,5,1,2,2,4,4,1,0,0
20711,6,1,2,1,4,4,1,0,0
20767,1,1,2,2,4,2,1,0,0
20784,1,2,,,,,,0,0
20784,2,1,2,2,4,4,2,0,0
20839,1,1,2,2,4,3,1,0,0
20862,2,1,2,2,2,3,1,0,0
20862,3,1,1,1,1,3,2,6,50
20944,1,2,,,,,,0,0
20944,2,1,2,2,4,4,1,0,0
21003,4,1,2,2,5,2,2,0,0
21368,1,1,2,2,4,4,1,0,0
21368,3,1,2,2,4,4,1,0,0
21384,1,1,2,1,4,4,1,0,52
21472,2,2,,,,,,0,20
21472,3,1,2,2,4,3,1,0,0
21474,1,1,2,2,4,4,1,0,0
21474,2,1,2,2,4,4,1,0,0
21627,1,1,2,2,4,4,1,0,0
21639,1,2,,,,,,0,0
21639,2,1,1,1,4,4,1,48,48
21693,1,1,2,1,2,2,1,0,52
21693,2,1,2,1,3,2,1,0,52
21926,3,1,2,2,4,4,1,0,0
22099,1,2,,,,,,0,0
22167,1,1,1,1,1,4,2,10,40
22168,1,1,2,2,4,3,1,0,0
22203,1,1,2,2,1,4,1,0,0
22203,4,1,2,2,4,4,1,0,0
22203,5,1,2,2,4,4,1,0,0
22279,1,1,2,2,2,2,2,0,50
22286,1,1,1,1,4,4,2,84,45
22374,1,1,2,2,4,3,1,0,0
22374,2,1,2,2,4,3,1,0,0
22516,1,1,2,2,3,4,4,0,1
22516,2,1,1,1,2,4,3,40,25
22516,3,1,2,2,4,4,1,0,0
22571,2,1,1,2,4,4,1,2,0
22669,2,1,1,2,3,2,1,2,0
22685,1,2,,,,,,0,10
22685,2,1,2,2,2,2,1,0,3
22807,1,1,1,1,4,2,2,2,10
22807,3,2,,,,,,0,0
22904,2,1,2,2,4,4,4,0,0
22964,3,1,2,2,4,4,1,0,0
22992,1,1,2,2,4,2,1,0,0
22992,2,2,,,,,,0,0
22993,1,1,2,2,4,2,1,0,0
22993,2,1,2,2,4,2,1,0,0
22996,1,2,,,,,,0,0
22996,3,2,,,,,,0,0
22996,4,2,,,,,,0,0
23370,1,1,1,1,2,2,1,20,10
23386,1,1,2,2,4,4,1,0,0
23386,2,1,2,2,4,4,4,0,4
23466,1,2,,,,,,0,6
23474,2,1,2,2,4,4,4,0,0
23683,1,1,2,2,2,3,1,0,0
23683,2,1,2,2,1,4,1,0,0
23732,1,1,2,2,4,4,1,0,0
23732,2,1,2,1,4,4,2,0,20
23821,4,1,1,2,3,2,2,5,4
23865,1,1,2,2,4,4,1,0,0
23958,1,2,1,,,,,3,15
23958,2,2,1,,,,,2,0
24071,1,1,1,2,1,3,3,10,12
24080,1,1,2,2,2,4,1,0,0
24080,2,1,2,2,4,3,1,0,0
24132,2,1,2,1,2,3,2,0,30
24147,1,1,2,2,2,4,1,0,0
24147,2,1,2,2,1,4,2,0,3
24170,1,1,2,2,3,4,1,0,0
24170,2,1,1,1,4,3,5,70,30
24194,1,1,2,2,1,4,1,0,0
24194,2,1,1,1,2,3,1,2,60
24195,3,1,2,1,4,4,1,0,0
24195,4,1,2,2,4,4,1,0,4
24202,3,1,2,2,2,3,1,0,0
24304,1,1,1,1,1,1,2,6,20
24304,2,1,2,2,4,4,1,0,0
24382,3,1,2,2,4,4,1,0,0
24390,2,1,2,2,3,3,1,0,0
24415,1,1,1,1,3,4,1,,1
24415,2,1,2,2,4,4,1,0,0
24431,1,1,2,1,2,2,1,0,25
24431,2,1,2,2,2,4,1,0,0
24434,1,1,2,2,4,4,1,0,0
24434,2,1,2,2,4,4,1,0,0
24438,3,1,2,2,4,4,1,0,0
24438,4,1,2,2,5,4,1,0,0
24531,1,1,2,2,4,4,1,0,0
24531,2,1,2,2,3,4,1,0,0
24624,1,1,1,2,4,4,1,4,3
24624,2,1,2,2,5,3,1,0,0
24630,1,1,2,2,1,3,1,0,0
24630,2,1,1,2,4,4,3,60,0
24630,3,1,2,2,4,4,3,0,0
24633,3,2,,,,,,0,0
24635,1,1,1,2,1,3,1,,0
24646,2,1,2,2,2,4,1,0,0
24731,3,1,2,2,4,2,1,0,10
24849,1,1,2,2,4,4,1,0,0
24849,2,1,2,2,4,4,1,0,0
24912,1,1,2,2,4,2,1,0,0
24912,2,2,,,,,,0,15
24919,1,1,2,2,4,4,1,0,0
24924,1,1,2,2,4,2,1,0,0
24924,2,2,,,,,,0,5
24979,1,2,1,,,,,1,0
24984,1,1,1,1,4,4,1,60,60
24984,2,2,,,,,,0,0
25081,1,1,1,2,2,3,1,2,10
25081,2,1,2,2,4,3,1,0,0
25090,3,1,2,2,5,4,1,0,2
25128,1,1,2,2,3,4,1,0,0
25128,2,1,2,2,4,3,1,0,0
25137,1,2,,,,,,0,4
25138,1,1,2,1,2,4,1,0,25
25138,3,2,1,,,,,5,15
25141,1,1,2,2,2,3,1,0,0
