NQUEST,PROBTEL,NORD,SITUAT,PENSVOL,PROBLAV,MINLAV,MAXLAV,PROBLTX
34,1,1,1,2,100,100000,110000,50
34,1,2,1,2,100,32000,35000,50
304,1,1,1,2,100,20000,23000,80
304,1,2,3,,0,5000,10000,0
376,,1,1,2,100,48000,53000,100
376,,3,3,,20,2500,2800,40
376,,4,1,2,,,,
561,,1,1,2,100,35000,45000,70
629,,3,1,2,100,18000,20000,100
629,,4,1,2,100,20000,22000,100
1084,2,1,1,2,100,30000,30000,0
1084,2,2,1,2,100,27000,27000,0
1238,,3,3,,90,15000,15000,80
1238,,4,3,,50,12000,13000,50
1763,1,1,1,2,100,16900,17000,100
1763,1,2,2,,100,4000,4000,100
1763,1,3,2,,20,5000,7000,20
1927,1,2,1,2,100,16000,16000,30
1946,,1,2,,0,,,0
1946,,3,2,,0,,,0
1946,,4,1,2,100,20000,24000,90
2447,1,1,1,2,70,23000,23000,90
2447,1,2,1,2,70,24000,24000,70
2866,1,2,1,2,30,20000,30000,30
2866,1,3,3,,50,30000,40000,50
2866,1,4,2,,70,20000,30000,50
2886,1,1,1,2,100,24000,24000,50
2886,1,2,1,2,100,24000,24000,50
3193,1,2,1,2,100,18000,25000,80
3203,1,2,1,2,50,18000,22000,60
3299,1,1,1,2,10,5000,10000,70
3299,1,2,2,,40,3500,18000,20
3299,1,3,1,2,100,12000,24000,30
3299,1,4,1,2,100,24000,30000,30
3299,1,5,2,,100,25000,70000,70
3905,,3,1,2,100,18000,19000,0
4266,2,2,1,2,60,6000,10000,80
4266,2,3,2,,60,18000,24000,40
4266,2,4,1,2,80,18000,24000,70
4370,2,1,1,2,100,40000,50000,40
4370,2,2,1,2,100,17000,17000,30
4370,2,3,1,2,10,24000,25500,10
4939,,1,1,2,60,15000,20000,50
4939,,3,3,,2,20000,22000,2
6501,,1,1,2,100,40000,45000,50
7015,,1,1,2,100,35000,38000,80
7097,,1,1,2,100,30000,32000,10
7097,,3,1,2,80,10000,11000,20
7166,1,2,1,2,100,26000,28000,90
7166,1,3,1,2,100,35000,40000,80
8754,,1,1,2,,,,
8868,2,1,1,2,100,27000,28000,100
8868,2,2,1,2,100,50000,55000,70
8868,2,3,1,2,100,17000,17000,100
8915,,3,1,2,100,25000,32000,40
8915,,4,2,,60,15000,18000,50
8954,1,1,1,2,100,25000,26000,60
8954,1,2,1,2,100,26800,27500,50
9526,,1,1,2,100,100000,110000,30
20020,1,1,1,2,100,30000,40000,80
20020,1,2,1,2,100,18000,19000,100
20047,,3,1,2,100,24000,25000,60
20047,,4,1,2,100,24000,25000,60
20154,1,1,1,2,90,50000,55000,90
20154,1,2,1,2,80,30000,30000,90
20154,1,3,1,2,90,26000,26000,90
20178,,1,1,2,100,34000,35000,20
20179,1,1,1,2,100,40000,40000,10
20179,1,2,1,2,100,30000,35000,30
20223,,1,1,2,,,,
20231,,1,1,2,100,35000,40000,100
20258,,1,1,2,80,24700,24700,0
20284,1,1,1,2,100,40000,50000,50
20284,1,2,1,2,100,20000,30000,50
20372,,1,1,2,100,33000,33000,100
20372,,3,1,2,100,12000,15000,50
20393,,1,1,2,100,42000,44000,100
20729,1,1,1,2,100,45000,50000,60
20729,1,2,1,2,100,32000,35000,50
20766,,1,1,2,10,20000,25000,90
20849,,1,1,2,100,50000,70000,100
20849,,3,1,2,100,34000,36000,100
20936,,1,1,2,100,10000,30000,60
20936,,4,1,2,100,10000,20000,80
20981,1,1,1,2,80,40000,50000,50
20981,1,2,1,2,100,18000,18000,0
21453,2,2,1,2,80,22000,25000,40
21453,2,3,1,2,90,25000,40000,60
21699,,1,1,2,90,30000,35000,50
21761,1,1,1,2,0,30000,35000,10
21761,1,2,1,2,20,20000,30000,20
21772,2,1,1,2,100,29900,32000,100
21772,2,2,1,2,100,3600,3600,100
21952,2,2,1,2,100,25000,30000,70
21952,2,3,1,2,100,20000,25000,80
22067,1,2,1,2,100,30000,35000,80
22074,,1,1,2,100,30000,35000,50
22155,1,1,2,,0,,,0
22155,1,2,1,2,100,22000,25000,40
22155,1,3,3,,0,12000,18000,0
22225,1,1,1,2,100,85000,120000,90
22225,1,2,1,2,100,38000,42000,50
22225,1,3,1,2,100,34000,38000,80
22226,,1,1,2,100,30000,32000,30
22262,,3,1,2,100,22000,22000,0
22262,,4,3,,70,20000,30000,70
22263,,3,1,2,70,15000,30000,80
22272,1,2,1,2,100,7500,7500,100
22274,,1,4,,,,,
22274,,3,2,,50,18500,20000,50
22276,,1,1,2,100,20000,22000,0
22277,1,1,1,2,100,23000,24000,100
22277,1,2,1,2,100,22000,25000,100
22278,1,1,1,2,100,21000,22000,100
22278,1,2,1,2,100,27000,28000,100
22353,,1,1,2,100,30000,32000,100
22509,,3,2,,30,24000,30000,30
22509,,4,2,,30,18000,24000,30
