NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YM3,YL,YTP,YTA3,YTA,YT,YM1,YM2,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
34,1,0,0,48000,0,0,0,0,0,48000,0,0,48000,60000,0,60000,0,18000,18000,880,0,0,1440,-560,17440,125440
34,2,0,29000,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000
123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,963.08330219,0,0,10400,-9436.916698,2563.0833022,2563.0833022
173,1,2000,28600,0,0,0,0,0,30600,0,0,0,0,0,0,0,0,9600,9600,528,0,0,0,528,10128,40728
304,1,0,22000,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,3000,3000,1760,0,0,0,1760,4760,26760
325,1,0,0,14300,0,0,0,0,0,14300,0,0,14300,0,0,0,0,7200,7200,838.74897388,0,0,0,838.74897388,8038.7489739,22338.748974
325,2,0,0,9100,0,0,0,0,0,9100,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,9100
375,1,0,1300,26780,0,0,0,0,1300,26780,0,0,26780,0,0,0,0,6000,6000,0,0,0,0,0,6000,34080
376,1,0,48000,0,0,0,0,0,48000,0,0,0,0,0,0,0,0,8400,8400,220,0,0,0,220,8620,56620
376,4,0,24000,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
465,1,0,15000,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,8000,8000,352,0,0,0,352,8352,23352
465,2,0,15000,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000
474,1,0,0,19500,0,0,0,0,0,19500,0,0,19500,0,0,0,0,12000,12000,352,4920,0,0,5272,17272,36772
558,1,0,22000,10400,0,0,0,0,22000,10400,0,0,10400,5000,0,5000,0,9600,9600,528,0,0,0,528,10128,47528
558,2,2385.0595452,23000,0,0,0,0,0,25385.059545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25385.059545
558,3,0,8000,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
561,1,0,0,0,0,0,0,0,0,0,0,0,0,35000,1000,34000,0,10800,10800,88,2914.6189491,0,336,2666.6189491,13466.618949,47466.618949
629,1,0,0,22100,0,0,0,0,0,22100,0,0,22100,0,0,0,0,12000,12000,4620,0,0,0,4620,16620,38720
629,2,0,0,10400,0,0,0,0,0,10400,0,0,10400,0,0,0,0,0,0,0,0,0,0,0,0,10400
629,3,0,19000,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000
629,4,0,21000,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000
632,1,0,30000,0,0,0,0,0,30000,0,0,0,0,0,0,0,1400,18000,19400,308,0,1222,0,1530,20930,50930
632,2,0,10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
632,3,0,21000,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000
632,4,0,0,0,0,0,1500,0,0,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,1500
633,1,0,0,26000,0,0,0,0,0,26000,0,0,26000,0,0,0,0,9700,9700,528,4100,0,0,4628,14328,40328
633,2,0,0,9100,0,0,0,0,0,9100,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,9100
686,1,0,0,28600,0,0,0,0,0,28600,0,0,28600,0,0,0,0,9600,9600,255.03086855,0,0,0,255.03086855,9855.0308685,38455.030869
823,1,0,42800,0,0,0,0,0,42800,0,0,0,0,0,0,0,7000,20000,27000,1452,2460,2820,0,6732,33732,76532
824,1,0,0,8840,0,0,0,0,0,8840,0,0,8840,0,0,0,0,9400,9400,2200,0,0,0,2200,11600,20440
923,1,0,0,8710,0,0,0,0,0,8710,6000,6000,14710,0,0,0,0,11600,11600,44,0,0,0,44,11644,26354
1084,1,0,30000,0,0,0,0,0,30000,0,0,0,0,0,0,0,7000,12000,19000,2992,0,8648,0,11640,30640,60640
