NQUEST,NORDP,MOTUSC,ANNOENUS
824,2,2,3
1371,3,4,2
2970,3,4,1
3663,2,1,3
4266,3,1,2
4732,1,5,1
5416,2,5,2
9526,3,4,3
11940,3,4,3
20033,1,1,1
21466,2,2,3
21699,3,1,2
22067,2,1,2
22168,3,4,1
22226,6,1,2
22251,3,4,3
22279,2,1,3
22563,3,5,2
23474,3,4,3
23490,2,1,2
23681,2,1,2
24132,3,5,2
24308,4,4,3
24316,2,1,2
24379,1,1,1
24616,3,4,2
24919,3,5,2
25429,6,4,1
26047,3,4,1
26499,5,3,2
26875,3,4,1
27105,4,4,1
27109,1,1,2
27123,3,4,2
27154,3,4,1
27881,2,1,1
27881,3,2,2
27929,1,1,2
28346,1,1,3
28936,2,4,1
28945,3,5,2
28954,2,5,2
28954,3,4,2
29280,3,1,3
29283,3,4,3
31120,3,4,1
31183,3,2,2
31219,3,4,3
31223,3,4,1
31280,1,4,1
31356,3,4,2
31409,3,5,
31420,2,1,1
31473,3,5,2
31473,4,5,2
31560,4,4,2
31561,3,2,2
31693,1,4,2
31716,4,3,2
31716,5,4,3
31791,1,1,3
31798,2,1,3
31798,3,4,3
31913,2,1,2
32063,2,1,2
32063,3,5,2
32209,3,4,3
32275,3,1,3
32275,4,4,1
32280,2,5,3
32285,1,1,2
32339,4,4,1
32464,3,5,1
32464,4,5,1
32492,1,1,2
32704,1,1,1
32751,3,4,1
32780,3,4,2
32833,3,5,2
32866,2,4,3
32982,2,4,2
33228,2,1,2
33451,1,5,2
33761,4,4,2
34032,3,4,2
34302,2,1,2
34340,4,4,1
34476,2,4,1
34600,4,4,3
34726,3,5,1
34731,3,4,3
34757,3,5,3
34791,3,4,2
35001,5,4,1
35323,3,4,2
35326,2,1,1
35340,5,4,2
35349,3,4,2
35405,3,5,3
35488,3,4,1
35518,3,4,2
35718,2,4,3
35802,3,4,2
35802,4,4,2
35802,5,4,2
36107,7,3,3
36161,3,4,3
36428,1,4,2
36446,3,2,2
36494,3,4,1
36494,4,3,2
36524,6,5,3
36815,4,4,1
37233,3,4,2
37245,3,4,3
37245,4,4,3
37250,2,5,2
37250,3,5,2
37291,3,4,3
37291,4,4,1
37339,3,5,3
37342,1,1,1
37343,3,5,1
37349,4,5,3
37379,3,4,2
37389,3,4,2
37389,5,4,2
37389,6,4,2
37461,3,4,2
37518,3,5,3
37579,3,4,2
37793,3,2,2
37810,2,1,1
37810,3,1,1
38010,1,1,2
38121,3,4,2
38152,4,3,2
38177,3,4,3
38251,1,1,3
38812,3,4,1
38871,1,1,3
38901,3,5,2
38903,3,4,2
39111,2,1,3
39217,2,1,3
39384,2,1,2
39466,3,4,1
39466,4,5,1
39486,3,5,1
39496,3,5,3
39533,2,1,1
39753,3,4,2
50135,3,4,1
50146,3,4,3
50231,5,4,1
50232,3,4,1
50416,4,5,3
50868,2,1,3
50874,2,1,3
50999,2,1,1
51148,4,4,3
51199,2,1,1
51297,2,4,2
51363,3,4,1
51364,4,5,3
51381,3,2,3
51389,3,4,2
51525,3,4,3
51545,3,4,1
51761,3,4,2
52031,2,1,3
52452,3,1,2
52452,5,5,2
52452,6,5,2
52520,3,4,1
52696,3,3,2
52718,1,1,3
52733,2,1,3
52733,3,4,3
53042,3,4,3
53066,4,4,2
53453,3,1,1
53453,4,5,2
53485,1,1,3
53793,2,4,2
53839,3,4,1
53839,4,4,3
53905,3,4,3
53997,3,3,1
53997,4,4,3
54908,3,2,3
55295,1,5,1
55555,1,4,1
56327,3,5,3
56572,4,1,3
56677,3,4,2
56721,1,1,1
56928,2,1,2
56928,3,4,1
57207,3,1,1
57215,3,4,3
57215,4,4,2
57410,1,1,2
57499,3,4,
57616,3,2,3
58395,3,4,1
58395,4,4,1
91083,2,5,3
119079,3,4,3
119079,4,4,3
123018,3,4,1
136040,3,4,1
136040,4,4,2
147068,3,4,1
147078,6,5,
176061,3,4,2
211021,3,4,2
215007,3,4,3
216022,3,4,3
230055,3,4,2
230060,3,4,3
250054,3,4,3
289004,2,1,3
289011,2,1,2
289073,1,5,3
289089,2,5,2
294039,5,5,
297048,3,5,2
310002,3,1,3
330057,1,1,2
330057,3,4,2
355063,3,4,2
360020,2,4,1
368078,3,4,2
